scenario_family,scenario,baseline_scenario,unit_type,iter,error_rate,error_pct,pool_source,unit,total_abundance,q0,q1,q2,coverage_zhanghuang,coverage_chao,coverage_turing
appendix_error_gradient,appendix_species_baseline,appendix_species_baseline,species_units,1,0,0,observed,1030,10,6,4.999999999999999,4.1666666666666705,0.626984126984127,0.6210526315789473,0.6
appendix_error_gradient,appendix_species_baseline,appendix_species_baseline,species_units,1,0,0,observed,1058,9,5,4.166436205292808,3.5217391304347823,0.7023809523809523,0.6923076923076923,0.6666666666666667
appendix_error_gradient,appendix_species_baseline,appendix_species_baseline,species_units,1,0,0,observed,1064,27,4,3.0448664473908282,2.5400696864111496,1,1,1
appendix_error_gradient,appendix_species_baseline,appendix_species_baseline,species_units,1,0,0,observed,1090,27,5,2.715748885009223,1.9234828496042216,0.9679012345679012,0.9679012345679012,0.962962962962963
appendix_error_gradient,appendix_species_baseline,appendix_species_baseline,species_units,1,0,0,observed,1141,20,4,2.225324570645812,1.6949152542372878,0.9095238095238095,0.9095238095238095,0.9
appendix_error_gradient,appendix_species_baseline,appendix_species_baseline,species_units,1,0,0,observed,1166,7,3,2.6004900059896596,2.333333333333333,0.8928571428571429,0.8928571428571429,0.8571428571428572
appendix_error_gradient,appendix_species_baseline,appendix_species_baseline,species_units,1,0,0,observed,1174,15,5,2.9463698355480297,2.102803738317757,0.8090909090909091,0.8090909090909091,0.8
appendix_error_gradient,appendix_species_baseline,appendix_species_baseline,species_units,1,0,0,observed,1180,11,4,3.0677684028710237,2.574468085106383,0.8484848484848485,0.8484848484848485,0.8181818181818181
appendix_error_gradient,appendix_species_baseline,appendix_species_baseline,species_units,1,0,0,observed,1237,10,3,2.2295918739204166,1.851851851851852,0.9181818181818182,0.9181818181818182,0.9
appendix_error_gradient,appendix_species_baseline,appendix_species_baseline,species_units,1,0,0,observed,1243,20,4,3.8003195872049766,3.6363636363636362,1,1,1
appendix_error_gradient,appendix_species_baseline,appendix_species_baseline,species_units,1,0,0,observed,1274,25,8,5.78411681499514,4.562043795620436,0.8862370411031065,0.8863157894736842,0.88
appendix_error_gradient,appendix_species_baseline,appendix_species_baseline,species_units,1,0,0,observed,1310,45,3,1.3329097102826746,1.1447145279819106,0.978743961352657,0.978743961352657,0.9777777777777777
appendix_error_gradient,appendix_species_baseline,appendix_species_baseline,species_units,1,0,0,observed,1366,5,3,2.8717458874925876,2.7777777777777786,1,0.9,0.8
appendix_error_gradient,appendix_species_baseline,appendix_species_baseline,species_units,1,0,0,observed,137,1,1,1,1,0,0,0
appendix_error_gradient,appendix_species_baseline,appendix_species_baseline,species_units,1,0,0,observed,1372,50,5,3.433108298924018,3.1407035175879408,0.9600000000081028,0.9615686274509804,0.96
appendix_error_gradient,appendix_species_baseline,appendix_species_baseline,species_units,1,0,0,observed,1464,15,3,2.347230565787614,2.1028037383177574,1,1,0.9333333333333333
appendix_error_gradient,appendix_species_baseline,appendix_species_baseline,species_units,1,0,0,observed,1477,55,7,3.57348373030898,2.8727445394112054,0.9272727223448717,0.928159645232816,0.9272727272727272
appendix_error_gradient,appendix_species_baseline,appendix_species_baseline,species_units,1,0,0,observed,1491,4,3,2.82842712474619,2.6666666666666665,0.625,0.625,0.5
appendix_error_gradient,appendix_species_baseline,appendix_species_baseline,species_units,1,0,0,observed,152,15,3,2.347230565787614,2.1028037383177574,1,1,0.9333333333333333
appendix_error_gradient,appendix_species_baseline,appendix_species_baseline,species_units,1,0,0,observed,1537,13,7,5.655670782899209,4.5675675675675675,0.7171717171717171,0.7159763313609467,0.6923076923076923
appendix_error_gradient,appendix_species_baseline,appendix_species_baseline,species_units,1,0,0,observed,1549,91,13,6.173101513169628,4.049388753056236,0.9794789265151147,0.9793956043956044,0.978021978021978
appendix_error_gradient,appendix_species_baseline,appendix_species_baseline,species_units,1,0,0,observed,1556,14,7,6.257530051692513,5.7647058823529385,0.7884615384615384,0.7961672473867596,0.7857142857142857
appendix_error_gradient,appendix_species_baseline,appendix_species_baseline,species_units,1,0,0,observed,157,3,1,1,1,1,1,1
appendix_error_gradient,appendix_species_baseline,appendix_species_baseline,species_units,1,0,0,observed,1587,14,6,5.107954878248904,4.454545454545454,0.8758741258741258,0.8761904761904762,0.8571428571428572
appendix_error_gradient,appendix_species_baseline,appendix_species_baseline,species_units,1,0,0,observed,1660,19,8,4.887233348120303,3.1946902654867255,0.748040313549832,0.748040313549832,0.736842105263158
appendix_error_gradient,appendix_species_baseline,appendix_species_baseline,species_units,1,0,0,observed,1677,87,8,4.107250009228649,2.9235225955967556,0.9887669801462905,0.9887669801462905,0.9885057471264368
appendix_error_gradient,appendix_species_baseline,appendix_species_baseline,species_units,1,0,0,observed,1686,1,1,1,1,0,0,0
appendix_error_gradient,appendix_species_baseline,appendix_species_baseline,species_units,1,0,0,observed,1694,10,3,2.5685676074155555,2.3809523809523814,1,1,0.9
appendix_error_gradient,appendix_species_baseline,appendix_species_baseline,species_units,1,0,0,observed,1706,42,12,8.337409095186032,6.631578947368415,0.8831971050898031,0.8832308042834358,0.8809523809523809
appendix_error_gradient,appendix_species_baseline,appendix_species_baseline,species_units,1,0,0,observed,1768,95,9,4.223790628452215,3.1766983456529387,0.9686453332137624,0.9686434395848776,0.968421052631579
appendix_error_gradient,appendix_species_baseline,appendix_species_baseline,species_units,1,0,0,observed,1826,5,3,2.586409289858933,2.272727272727273,0.7333333333333334,0.7333333333333334,0.6
appendix_error_gradient,appendix_species_baseline,appendix_species_baseline,species_units,1,0,0,observed,1837,184,10,3.9435660848447776,3.1963746223564957,0.9893670418438772,0.9893629388514299,0.9891304347826086
appendix_error_gradient,appendix_species_baseline,appendix_species_baseline,species_units,1,0,0,observed,1875,42,6,3.3132072098192915,2.2615384615384615,1,1,0.9761904761904762
appendix_error_gradient,appendix_species_baseline,appendix_species_baseline,species_units,1,0,0,observed,1887,10,5,3.8932204747617334,3.1250000000000018,0.7206896551724138,0.7206896551724138,0.7
appendix_error_gradient,appendix_species_baseline,appendix_species_baseline,species_units,1,0,0,observed,1893,8,3,2.4602329762891006,2.1333333333333333,0.9027777777777778,0.9027777777777778,0.875
appendix_error_gradient,appendix_species_baseline,appendix_species_baseline,species_units,1,0,0,observed,1992,4,2,1.7547653506033232,1.6,1,1,0.75
appendix_error_gradient,appendix_species_baseline,appendix_species_baseline,species_units,1,0,0,observed,1996,72,7,5.841908123315165,5.3114754098360635,1,1,1
appendix_error_gradient,appendix_species_baseline,appendix_species_baseline,species_units,1,0,0,observed,2011,29,6,3.6892753281617985,2.7394136807817584,0.9334126040428061,0.9334126040428061,0.9310344827586207
appendix_error_gradient,appendix_species_baseline,appendix_species_baseline,species_units,1,0,0,observed,2021,14,5,4.456676065491858,4.083333333333332,0.9335664335664335,0.9380952380952381,0.9285714285714286
appendix_error_gradient,appendix_species_baseline,appendix_species_baseline,species_units,1,0,0,observed,2034,314,5,1.172105551459513,1.0594429639817762,0.9904762870704694,0.9904762870704694,0.9904458598726115
appendix_error_gradient,appendix_species_baseline,appendix_species_baseline,species_units,1,0,0,observed,2076,2,2,2,2,0,0,0
appendix_error_gradient,appendix_species_baseline,appendix_species_baseline,species_units,1,0,0,observed,2142,12,3,2.0574424589560696,1.6744186046511624,0.9294871794871795,0.9294871794871795,0.9166666666666666
appendix_error_gradient,appendix_species_baseline,appendix_species_baseline,species_units,1,0,0,observed,215,19,6,3.810763680563225,2.983471074380165,0.7894997159703042,0.7969924812030076,0.7894736842105263
appendix_error_gradient,appendix_species_baseline,appendix_species_baseline,species_units,1,0,0,observed,2182,5,3,2.586409289858933,2.272727272727273,0.7333333333333334,0.7333333333333334,0.6
