candidate_key,candidate_label,genus,gbif_usage_key,gbif_raw_usage_key,gbif_accepted_usage_key,gbif_scientific_name,gbif_canonical_name,gbif_rank,gbif_status,gbif_match_type,gbif_confidence,gbif_genus,gbif_match_ok
cdref:215792,Acherongia minima,Acherongia,2121402,2121402,NA,"Acherongia minima Massoud & Thibaud, 1985",Acherongia minima,SPECIES,ACCEPTED,EXACT,99,Acherongia,TRUE
cdref:215793,Acherontiella bougisi,Acherontiella,2121425,2121425,NA,"Acherontiella bougisi P.Cassagnau & C.Delamare Deboutteville, 1955",Acherontiella bougisi,SPECIES,ACCEPTED,EXACT,99,Acherontiella,TRUE
cdref:215794,Acherontiella cassagnaui,Acherontiella,2121412,2121412,NA,"Acherontiella cassagnaui Thibaud, 1967",Acherontiella cassagnaui,SPECIES,ACCEPTED,EXACT,99,Acherontiella,TRUE
cdref:215795,Acherontiella variabilis,Acherontiella,2121410,2121410,NA,"Acherontiella variabilis Delamare Deboutteville, 1948",Acherontiella variabilis,SPECIES,ACCEPTED,EXACT,99,Acherontiella,TRUE
cdref:216198,Actaletes neptuni,Actaletes,2121866,2121866,NA,"Actaletes neptuni Giard, 1889",Actaletes neptuni,SPECIES,ACCEPTED,EXACT,97,Actaletes,TRUE
cdref:215975,Aethiopellina hebrardi,Aethiopellina,4537504,4537504,NA,"Aethiopellina hebrardi Poinsot-Balaguer, 1978",Aethiopellina hebrardi,SPECIES,ACCEPTED,EXACT,99,Aethiopellina,TRUE
cdref:216415,Allacma fusca,Allacma,4537246,4537246,NA,"Allacma fusca (C.Linnæus, 1758)",Allacma fusca,SPECIES,ACCEPTED,EXACT,99,Allacma,TRUE
cdref:216416,Allacma gallica,Allacma,4537243,4537243,NA,"Allacma gallica (Carl, 1899)",Allacma gallica,SPECIES,ACCEPTED,EXACT,99,Allacma,TRUE
cdref:216052,Allonychiurus vandeli,Allonychiurus,10376372,4537776,10376372,"Allonychiurus vandeli (Cassagnau, 1960)",Allonychiurus vandeli,SPECIES,SYNONYM,EXACT,98,Spinonychiurus,FALSE
cdref:215970,Anurida bonneti,Anurida,4537520,4537520,NA,"Anurida bonneti P.Cassagnau, 1955",Anurida bonneti,SPECIES,ACCEPTED,EXACT,99,Anurida,TRUE
cdref:215971,Anurida ellipsoides,Anurida,4537530,4537530,NA,"Anurida ellipsoides J.Stach, 1949",Anurida ellipsoides,SPECIES,ACCEPTED,EXACT,97,Anurida,TRUE
cdref:215972,Anurida granaria,Anurida,2122004,2122004,NA,"Anurida granaria (H.Nicolet, 1847)",Anurida granaria,SPECIES,ACCEPTED,EXACT,97,Anurida,TRUE
