pays;region;dpt;num_dpt;CD_INSEE;city;lieu-dit;project_yr;lon;lat;alt;date;date_fin;habitat;habitat_complet;
France;GRAND-EST;MARNE;51;51559;Suippes;;RMQS_2024;49.1161109411299;4.51525817503008;143;17/04/2024;17/05/2024;cropland;Monoculture;
France;GRAND-EST;MEURTHE-ET-MOSELLE;54;54490;Saizerais;;RMQS_2024;48.7932010535351;6.02441183229234;274;27/03/2024;26/04/2024;cropland;Monoculture;
France;GRAND-EST;VOSGES;88;88151;Dompaire;;RMQS_2025;48.21201181;6.19833365;356;16/05/2025;16/06/2025;cropland;Monoculture;
France;HAUT-DE-FRANCE;AISNE;2;2237;Crecy-Sur-Serre;;RMQS_2024;49.7054460263859;3.65039504410087;97;03/05/2024;02/06/2024;cropland;Monoculture;
France;HAUT-DE-FRANCE;OISE;60;60366;Litz;;RMQS_2025;49.42495105;2.32278617;80;05/05/2025;04/06/2025;cropland;Monoculture;
France;NORMANDIE;CALVADOS;14;14614;Sainte-Marguerite-D'Elle;;RMQS_2024;49.2362523222868;-0.971023266931689;39;02/04/2024;29/04/2024;cropland;Monoculture;
France;NORMANDIE;EURE;27;27138;Chamblac;;RMQS_2025;48.98206549;0.572704795;193;07/03/2025;18/03/2025;cropland;Monoculture;
France;NORMANDIE;SEINE-MARITIME;76;76388;Lintot;;RMQS_2024;49.5559367282316;0.555290562591357;144;03/04/2024;29/04/2024;cropland;Monoculture;
France;NORMANDIE;SEINE-MARITIME;76;76423;Menerval;;RMQS_2024;49.5671766642783;1.6591608703299;164;04/04/2024;29/04/2024;cropland;Monoculture;
France;NOUVELLE-AQUITAINE;CHARENTE;16;16263;Plassac-Rouffiac;;RMQS_2024;45.5173490694814;0.0710220240044624;114;19/03/2024;17/04/2024;cropland;Monoculture;
France;NOUVELLE-AQUITAINE;CHARENTE-MARITIME;17;17226;Mazeray;;RMQS_2024;45.9346254946214;-0.567270869874808;61;11/03/2024;08/04/2024;cropland;Monoculture;
France;NOUVELLE-AQUITAINE;DEUX-SEVRES;79;79319;Souvigne;;RMQS_2024;46.3766366548151;-0.172179021232904;92;21/03/2024;12/04/2024;cropland;Culture;
France;NOUVELLE-AQUITAINE;DORDOGNE;24;24083;Carsac-de-Gurson;;RMQS_2025;44.941649;0.090381004;82;13/03/2025;08/04/2025;cropland;Monoculture (blé);
France;NOUVELLE-AQUITAINE;DORDOGNE;24;24171;Eyzerac;;RMQS_2024;45.3884443655317;0.892398066995418;203;15/03/2024;11/04/2024;cropland;Monoculture;
France;NOUVELLE-AQUITAINE;DORDOGNE;24;24435;Saint-Laurent-Des-Batons;;RMQS_2024;44.9526610124959;0.70364058861398;129;19/03/2024;11/04/2024;cropland;Monoculture;
France;NOUVELLE-AQUITAINE;GIRONDE;33;33229;Lanton;;RMQS_2024;44.7733595204167;-0.907607097076179;51;08/04/2024;06/05/2024;cropland;Monoculture;
France;NOUVELLE-AQUITAINE;LOT-ET-GARONNE;47;47114;Grezet-Cavagnan;;RMQS_2024;44.3664478290357;0.117461238742218;87;12/03/2024;09/04/2024;cropland;Monoculture;
France;NOUVELLE-AQUITAINE;PYRENEES-ATLANTIQUES;64;64302;Lagos;;RMQS_2024;43.2099108298878;-0.231911972629328;245;18/04/2024;16/05/2024;cropland;Culture;
France;NOUVELLE-AQUITAINE;VIENNE;86;86236;Saint-Pierre-De-Maille;;RMQS_2024;46.6834260740623;0.860928957263222;112;19/03/2024;16/04/2024;cropland;Monoculture;
France;OCCITANIE;AVEYRON;12;12050;Canet-de-Salars;La Matherie;RMQS_2025;44.24530388;2.726739151;790;07/05/2025;05/06/2025;cropland;Monoculture (maïs);
France;OCCITANIE;GERS;32;32150;Goutz;;RMQS_2024;43.7995981085167;0.738134796235499;197;13/03/2024;09/04/2024;cropland;Monoculture;
France;OCCITANIE;LOT;46;46063;Castelnau-Montratier;;RMQS_2024;44.2406504349493;1.32315689391354;191;14/03/2024;09/04/2024;cropland;Monoculture;
France;OCCITANIE;TARN;81;81025;Belcastel;;RMQS_2024;44.3889199310117;2.32434462405189;579;30/05/2024;03/07/2024;cropland;Culture;
