method,p_med,n_sp
GPD,0.717939660238452,36
Pitfall10,0.8903254830986279,36
Pitfall2,0.3769859062178079,36
Pitfall4,0.6182368006529755,36
Pitfall6,0.7253096750954149,36
Pitfall8,0.8061786474400507,36
