species,mean_BL
Dyschirius angustatus,3.2
Dyschirius obscurus,4.05
Dyschirius thoracicus,4.05
Egadroma marginatum,6.5
Elaphrus cupreus,8.75
Elaphrus lapponicus,9.25
Elaphrus riparius,7.25
Elaphrus uliginosus,9.25
Epomis circumscriptus,21.5
Eurynebria complanata,20.5
Gynandromorphus etruscus,10.333333333333334
Harpalus affinis,10.5625
Harpalus albanicus,8.5
Harpalus anxius,7.45
Harpalus atratus,11.25
Harpalus attenuatus,8
Harpalus autumnalis,6.5
Harpalus bellieri,8.5
Harpalus chobautianus,10
Harpalus cupreus,13
Harpalus decipiens,9
Harpalus dimidiatus,12.25
Harpalus dispar,10
Harpalus distinguendus,9.85
Harpalus flavescens,12
Harpalus froelichii,8.966666666666667
Harpalus fuscicornis,8
Harpalus fuscipalpis,8
Harpalus hirtipes,13.5
Harpalus honestus,8.75
Harpalus italus,12
Harpalus laevipes,10.495
Harpalus latus,9.431111111111111
Harpalus luteicornis,6.75
Harpalus modestus,6.5
Harpalus neglectus,7.133333333333334
Harpalus oblitus,10.25
Harpalus picipennis,6.5
Harpalus progrediens,7.449999999999999
Harpalus punctipennis,12
Harpalus pygmaeus,6.25
Harpalus rubripes,9.5
Harpalus serripes,10.25
Harpalus servus,7.82
Harpalus smaragdinus,9.416666666666666
Harpalus solitaris,9.3
Harpalus subcylindricus,6.75
Harpalus sulphuripes,6.875
Harpalus tardus,9.475
Harpalus zabroides,13.5
Laemostenus complanatus,14.5
Laemostenus terricola,14.625
Leistus ferrugineus,7.09
Leistus fulvibarbis,7.375
Leistus montanus,8.25
Leistus piceus,8
Leistus rufomarginatus,8.963333333333333
Leistus spinibarbis,9.25
Licinus aequatus,12.5
Licinus cassideus,14.5
Licinus hoffmanseggii,12.5
Licinus oblongus,10.5
Licinus planicollis,12.5
Licinus punctatulus,16.5
Licinus silphoides,15.75
Limodromus assimilis,11.32
Lophyra flexuosa,12.5
Loricera pilicornis,7.287
Masoreus wetterhallii,6
Metallina lampros,3.45
Metallina properans,3.566666666666667
Microlestes abeillei,2.75
Microlestes luctuosus,2.4
Microlestes maurus,2.5
Microlestes minutulus,2.8
Microlestes seladon,3.25
Miscodera arctica,7.25
Molops elatus,16.666666666666668
Molops ovipennis,13.5
Molops piceus,13.066666666666666
Myas chalybaeus,16
Myriochila melancholica,11.5
Nebria brevicollis,11.695833333333333
Nebria livida,14
Nebria salina,11.4
Notaphus dentellus,5.5
Notiophilus aquaticus,4.925
Notiophilus biguttatus,5.128571428571428
Notiophilus germinyi,4.75
Notiophilus palustris,5.2134375
Notiophilus quadripunctatus,5.25
Notiophilus rufipes,5.658125
Notiophilus substriatus,4.875
Ocydromus tetracolus,5.5
Omophron limbatum,5.625
Oodes gracilis,8
Oodes helopioides,7.5
Ophonus ardosiacus,12
Ophonus azureus,7.7
Ophonus brevicollis,7
Ophonus cordatus,8.625
Ophonus cribricollis,7.7
Ophonus diffinis,11.3
Ophonus incisus,12
Ophonus melletii,7.25
Ophonus opacus,13
Ophonus parallelus,7.25
Ophonus puncticeps,7.5
Ophonus puncticollis,8.483333333333333
Ophonus rotundatus,9.5
Ophonus rufibarbis,8.425
Ophonus rupicola,8
Ophonus sabulicola,15
Ophonus schaubergerianus,9
Ophonus similis,8.25
Ophonus subquadratus,7.5
Ophonus subsinuatus,7.1
Oxypselaphus obscurus,5.5
Panagaeus bipustulatus,17.214285714285715
Panagaeus cruxmajor,7.75
Paradromius linearis,4.5
Paranchus albipes,7.95
Paratachys bistriatus,2.175
Parophonus hirsutulus,8.5
Parophonus maculicornis,6.5
Parophonus mendax,7.5
Parophonus planicollis,8
Patrobus assimilis,7.9
Patrobus atrorufus,8.7
Patrobus septentrionis,8.7
Pedius longicollis,5.5
Pelophila borealis,10.75
Percus corsicus,22
Percus espagnoli,17.5
Percus grandicollis,27.5
Percus paykullii,24.783333333333335
Percus plicatus,24
Percus reichei,15.5
Percus strictus,21
Philochthus biguttatus,3.75
Philochthus guttula,3.25
Philochthus lunulatus,3.5
Philochthus mannerheimii,3.225
Philorhizus melanocephalus,3
Philorhizus sigma,2.75
Phyla obtusa,2.95
Platyderus rufus,7
Platynus livens,9.5
Platynus peirolerii,11.5
Platynus scrobiculatus,11
Poecilus cupreus,11.428571428571429
Poecilus cursorius,10.5
Poecilus koyi,12.5
Poecilus kugelanni,12.66875
Poecilus laevigatus,15.5
Poecilus lepidus,12.05
Poecilus puncticollis,9.41
Poecilus punctulatus,12.58
Poecilus purpurascens,10
Poecilus sericeus,12.69
Poecilus striatopunctatus,9.97
Poecilus versicolor,10.242307692307692
Pseudoophonus calceatus,12.14
Pseudoophonus griseus,10
Pseudoophonus rufipes,13.714285714285714
Pterostichus aethiops,12.735
Pterostichus ambiguus,14
Pterostichus amoenus,6.25
Pterostichus anthracinus,10.92
Pterostichus arvernus,8
Pterostichus burmeisteri,12.645
Pterostichus cantabricus,7.5
Pterostichus cantalicus,13
Pterostichus colasi,9
Pterostichus cristatus,15
Pterostichus devillei,17
Pterostichus diligens,5.53125
Pterostichus dufourii,15.5
Pterostichus foveolatus,13.266666666666667
Pterostichus glacialis,6.25
Pterostichus hagenbachii,14.918
Pterostichus honnoratii,15.5
Pterostichus impressus,17.5
Pterostichus infimus,6.25
Pterostichus jurinei,11.756
Pterostichus macer,12.046666666666667
Pterostichus madidus,15.75
Pterostichus mascareauxi,12
Pterostichus melanarius,15.283214285714285
Pterostichus microphthalmus,15
Pterostichus nadari,4
Pterostichus negligens,7.8995
Pterostichus niger,18.9055
Pterostichus oblongopunctatus,10.828333333333333
Pterostichus pumilio,5.6
Pterostichus pusillus,6.25
Pterostichus rhaeticus,10.25
Pterostichus rutilans,13.5
Pterostichus selmanni,15.538333333333334
Pterostichus strenuus,6.106875
Pterostichus sudrei,12
Pterostichus vagepunctatus,14.5
Pterostichus vernalis,6.95
Scybalicus oblongiusculus,11.5
Semiophonus signaticornis,6.5
Sphodropsis ghilianii,16.5
Sphodrus leucophthalmus,30
Stenolophus abdominalis,5.75
Stenolophus discophorus,6
Stenolophus mixtus,5.75
Stenolophus proximus,6.5
Stenolophus skrimshiranus,5.75
Stenolophus teutonus,5.75
Stomis pumicatus,7.125
Syntomus foveatus,3.2333333333333334
Syntomus obscuroguttatus,3.25
Syntomus truncatellus,3.15
Synuchus vivalis,7.4
Trechicus nigriceps,2.25
Trechoblemus micros,4.5
Trechus fulvus,5.25
Trechus obtusus,3.709090909090909
