npar,AIC,BIC,logLik,-2*log(L),Chisq,Df,Pr(>Chisq)
10,792.3633700305479,827.4166853898715,-386.18168501527396,772.3633700305479,NA,NA,NA
11,794.3552594618664,832.9139063571223,-386.1776297309332,772.3552594618664,0.008110568681559016,1,0.9282405718019223
