npar,AIC,BIC,logLik,-2*log(L),Chisq,Df,Pr(>Chisq)
10,361.1681027632438,390.86623575900376,-170.5840513816219,341.1681027632438,NA,NA,NA
11,362.84659641244616,395.5145427077822,-170.42329820622308,340.84659641244616,0.3215063507976197,1,0.5707037865255169
