npar,AIC,BIC,logLik,-2*log(L),Chisq,Df,Pr(>Chisq)
9,359.5399610188481,386.2682807150321,-170.76998050942404,341.5399610188481,NA,NA,NA
14,368.8064451693648,410.3838313634288,-170.4032225846824,340.8064451693648,0.7335158494832967,5,0.981078735216007
