npar,AIC,BIC,logLik,-2*log(L),Chisq,Df,Pr(>Chisq)
10,361.1681027632438,390.86623575900376,-170.5840513816219,341.1681027632438,NA,NA,NA
15,363.7593201807853,408.3065196744253,-166.87966009039266,333.7593201807853,7.408782582458457,5,0.19196993333267134
