scenario_family,scenario,baseline_scenario,alpha_metric,term,estimate_mean,estimate_sd,p_median,p_prop_lt_005,adj_r2_mean,n_iter,n_valid,baseline_estimate,baseline_abs_estimate_rank,estimate_sign_changed,estimate_ratio
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,coverage_chao,mos,0.003436301628225509,NA,0.7346558892530068,0,0.27897409754381475,1,1,0.012474426259253761,31,FALSE,0.2754677094408568
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,coverage_chao,p_h,-0.007916758120782663,NA,0.4534542185162348,0,0.27897409754381475,1,1,-0.008746364399977913,43,FALSE,0.9051484432551946
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,coverage_chao,t360_mean,0.05370061141633613,NA,3.097146130882681e-6,1,0.27897409754381475,1,1,0.04801609361254615,10,FALSE,1.1183877607716233
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,q0,mos,0.04235686923987067,NA,0.3267777126581457,0,-0.014584760557221355,1,1,0.0716403557294472,2,FALSE,0.5912431451322374
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,q0,p_h,-0.0145601204853291,NA,0.744924550883068,0,-0.014584760557221355,1,1,0.011582049796614546,35,TRUE,-1.2571281198933413
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,q0,t360_mean,-0.019212835781908022,NA,0.667108536091927,0,-0.014584760557221355,1,1,0.009248682401175209,41,TRUE,-2.0773592332964848
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,q1,mos,-0.005713312174168789,NA,0.8775201385017402,0,-0.028911631647623448,1,1,0.050163722517726744,7,TRUE,-0.11389330550877343
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,q1,p_h,0.013475300403292166,NA,0.7267429430915033,0,-0.028911631647623448,1,1,0.015056345867463718,28,FALSE,0.8949914223484903
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,q1,t360_mean,-0.041444118651283536,NA,0.2834108237437295,0,-0.028911631647623448,1,1,-0.0469482380599569,12,FALSE,0.8827619600623962
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,q2,mos,-0.018030794673071258,NA,0.6044481843324259,0,-0.02510478047708986,1,1,0.04119507637058283,14,TRUE,-0.43769295414990284
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,q2,p_h,0.00915307173845228,NA,0.8001715173865034,0,-0.02510478047708986,1,1,-0.0031327093756596865,46,TRUE,-2.921774936918566
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,q2,t360_mean,-0.041101160937930446,NA,0.2569920592713195,0,-0.02510478047708986,1,1,-0.05181145949568255,5,FALSE,0.7932832106641468
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,coverage_chao,mos,0.012474426259253761,NA,0.27353878311242763,0,0.1796277485991029,1,1,0.012474426259253761,31,FALSE,1
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,coverage_chao,p_h,-0.008746364399977913,NA,0.45909266713958974,0,0.1796277485991029,1,1,-0.008746364399977913,43,FALSE,1
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,coverage_chao,t360_mean,0.04801609361254615,NA,1.227112499085601e-4,1,0.1796277485991029,1,1,0.04801609361254615,10,FALSE,1
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,q0,mos,0.0716403557294472,NA,0.20404802652577653,0,-0.02099819800765501,1,1,0.0716403557294472,2,FALSE,1
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,q0,p_h,0.011582049796614546,NA,0.8424507847748823,0,-0.02099819800765501,1,1,0.011582049796614546,35,FALSE,1
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,q0,t360_mean,0.009248682401175209,NA,0.873606287789813,0,-0.02099819800765501,1,1,0.009248682401175209,41,FALSE,1
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,q1,mos,0.050163722517726744,NA,0.32560256440914603,0,-0.010703653423369985,1,1,0.050163722517726744,7,FALSE,1
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,q1,p_h,0.015056345867463718,NA,0.7758015750504904,0,-0.010703653423369985,1,1,0.015056345867463718,28,FALSE,1
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,q1,t360_mean,-0.0469482380599569,NA,0.37482909657944385,0,-0.010703653423369985,1,1,-0.0469482380599569,12,FALSE,1
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,q2,mos,0.04119507637058283,NA,0.38490178225802607,0,-0.001305659823965133,1,1,0.04119507637058283,14,FALSE,1
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,q2,p_h,-0.0031327093756596865,NA,0.9491727074862022,0,-0.001305659823965133,1,1,-0.0031327093756596865,46,FALSE,1
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,q2,t360_mean,-0.05181145949568255,NA,0.2928430257345309,0,-0.001305659823965133,1,1,-0.05181145949568255,5,FALSE,1
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,coverage_chao,mos,0.010245050628597931,NA,0.3668741666966576,0,0.18310732517563932,1,1,0.012441950372025952,33,FALSE,0.8234280255314751
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,coverage_chao,p_h,-0.006305133748009505,NA,0.5924697542060873,0,0.18310732517563932,1,1,-0.009765242082026532,37,FALSE,0.6456710130734447
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,coverage_chao,t360_mean,0.04797138051789027,NA,1.2114807680039416e-4,1,0.18310732517563932,1,1,0.04884474682040795,9,FALSE,0.982119544897451
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,q0,mos,0.05896331705849716,NA,0.3120935471547678,0,-0.028030907410777406,1,1,0.06405028240659552,4,FALSE,0.9205785648874121
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,q0,p_h,0.002455185390417521,NA,0.9675744860572477,0,-0.028030907410777406,1,1,0.007453189837435506,45,FALSE,0.329414042036839
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,q0,t360_mean,0.03707279450992599,NA,0.5390537801391356,0,-0.028030907410777406,1,1,0.03596896075059609,20,FALSE,1.0306885085444568
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,q1,mos,0.035256490538223426,NA,0.5078992928657451,0,-0.03852028590502843,1,1,0.04102966325376385,16,FALSE,0.8592927102561383
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,q1,p_h,0.010015350382047658,NA,0.8562115608463453,0,-0.03852028590502843,1,1,0.009514340283146367,39,FALSE,1.0526584170831872
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,q1,t360_mean,-0.013080315940593236,NA,0.8125364657446794,0,-0.03852028590502843,1,1,-0.01945470361523827,26,FALSE,0.6723472225168122
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,q2,mos,0.024915987350276808,NA,0.6119507930775465,0,-0.037808187526543025,1,1,0.031406310221177784,22,FALSE,0.7933433496264567
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,q2,p_h,-0.006464013947951419,NA,0.8991752562846395,0,-0.037808187526543025,1,1,-0.009715434851672559,38,FALSE,0.6653344957419592
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,q2,t360_mean,-0.01675852859793677,NA,0.7420816498270276,0,-0.037808187526543025,1,1,-0.023621169712673206,24,FALSE,0.7094707333204376
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,coverage_chao,mos,0.012441950372025952,NA,0.27022623772398335,0,0.18831953769713128,1,1,0.012441950372025952,33,FALSE,1
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,coverage_chao,p_h,-0.009765242082026532,NA,0.40425535289764847,0,0.18831953769713128,1,1,-0.009765242082026532,37,FALSE,1
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,coverage_chao,t360_mean,0.04884474682040795,NA,8.401313194793853e-5,1,0.18831953769713128,1,1,0.04884474682040795,9,FALSE,1
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,q0,mos,0.06405028240659552,NA,0.27445690098472264,0,-0.0256043838010791,1,1,0.06405028240659552,4,FALSE,1
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,q0,p_h,0.007453189837435506,NA,0.9021872354624456,0,-0.0256043838010791,1,1,0.007453189837435506,45,FALSE,1
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,q0,t360_mean,0.03596896075059609,NA,0.5527696432303004,0,-0.0256043838010791,1,1,0.03596896075059609,20,FALSE,1
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,q1,mos,0.04102966325376385,NA,0.43867701838308915,0,-0.03332153182963915,1,1,0.04102966325376385,16,FALSE,1
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,q1,p_h,0.009514340283146367,NA,0.862556583583031,0,-0.03332153182963915,1,1,0.009514340283146367,39,FALSE,1
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,q1,t360_mean,-0.01945470361523827,NA,0.7228564820113539,0,-0.03332153182963915,1,1,-0.01945470361523827,26,FALSE,1
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,q2,mos,0.031406310221177784,NA,0.5237035895315635,0,-0.029809168119647067,1,1,0.031406310221177784,22,FALSE,1
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,q2,p_h,-0.009715434851672559,NA,0.849306861075372,0,-0.029809168119647067,1,1,-0.009715434851672559,38,FALSE,1
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,q2,t360_mean,-0.023621169712673206,NA,0.6436157102572356,0,-0.029809168119647067,1,1,-0.023621169712673206,24,FALSE,1
species_error_strict,species_baseline,species_baseline,coverage_chao,mos,0.024075693644531725,NA,0.21194313227772238,0,0.033343172078928895,1,1,0.024075693644531725,23,FALSE,1
species_error_strict,species_baseline,species_baseline,coverage_chao,p_h,-0.022263462486237673,NA,0.2662935786864638,0,0.033343172078928895,1,1,-0.022263462486237673,25,FALSE,1
species_error_strict,species_baseline,species_baseline,coverage_chao,t360_mean,0.03840685520329464,NA,0.05699950973390159,0,0.033343172078928895,1,1,0.03840685520329464,17,FALSE,1
species_error_strict,species_baseline,species_baseline,q0,mos,0.07726182121183414,NA,0.21717178071258683,0,-0.020838351002653077,1,1,0.07726182121183414,1,FALSE,1
species_error_strict,species_baseline,species_baseline,q0,p_h,0.011998511029674598,NA,0.8528790875866461,0,-0.020838351002653077,1,1,0.011998511029674598,34,FALSE,1
species_error_strict,species_baseline,species_baseline,q0,t360_mean,0.036283578912531686,NA,0.5745253822729066,0,-0.020838351002653077,1,1,0.036283578912531686,19,FALSE,1
species_error_strict,species_baseline,species_baseline,q1,mos,0.038360289429903875,NA,0.4550402649321058,0,-0.03862488824995913,1,1,0.038360289429903875,18,FALSE,1
species_error_strict,species_baseline,species_baseline,q1,p_h,0.009455173567785476,NA,0.8591341248078457,0,-0.03862488824995913,1,1,0.009455173567785476,40,FALSE,1
species_error_strict,species_baseline,species_baseline,q1,t360_mean,0.013076620783804602,NA,0.805705450459011,0,-0.03862488824995913,1,1,0.013076620783804602,30,FALSE,1
species_error_strict,species_baseline,species_baseline,q2,mos,0.03347620430189949,NA,0.46207733149727204,0,-0.03796391404257604,1,1,0.03347620430189949,21,FALSE,1
species_error_strict,species_baseline,species_baseline,q2,p_h,-0.0024396527105669664,NA,0.9587986928129728,0,-0.03796391404257604,1,1,-0.0024396527105669664,48,FALSE,1
species_error_strict,species_baseline,species_baseline,q2,t360_mean,0.017891954478090246,NA,0.7043170927218587,0,-0.03796391404257604,1,1,0.017891954478090246,27,FALSE,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,coverage_chao,mos,0.026827178225862898,0.002511048277244986,0.15932677413987162,0,0.03601137200096574,20,20,0.024075693644531725,23,FALSE,1.114284748009996
species_error_strict,species_same_genus_observed_10pct,species_baseline,coverage_chao,p_h,-0.02380632442746473,0.003103200482347373,0.2485761073370831,0,0.03601137200096574,20,20,-0.022263462486237673,25,FALSE,1.069300179259214
species_error_strict,species_same_genus_observed_10pct,species_baseline,coverage_chao,t360_mean,0.037282070382373474,0.003231811422101079,0.07241538701374722,0.25,0.03601137200096574,20,20,0.03840685520329464,17,FALSE,0.9707139567931956
species_error_strict,species_same_genus_observed_10pct,species_baseline,q0,mos,0.08502921557033105,0.008431304949059752,0.21049248220026778,0,-0.017080595255112276,20,20,0.07726182121183414,1,FALSE,1.1005334101198638
species_error_strict,species_same_genus_observed_10pct,species_baseline,q0,p_h,0.01693833685523754,0.008716185907525938,0.7982395011783601,0,-0.017080595255112276,20,20,0.011998511029674598,34,FALSE,1.4117032366220952
species_error_strict,species_same_genus_observed_10pct,species_baseline,q0,t360_mean,0.044685720649919054,0.006689533419047277,0.5150677988516432,0,-0.017080595255112276,20,20,0.036283578912531686,19,FALSE,1.2315687148073868
species_error_strict,species_same_genus_observed_10pct,species_baseline,q1,mos,0.039840160136300436,0.006858912194510781,0.4649435926899016,0,-0.03582472775538316,20,20,0.038360289429903875,18,FALSE,1.0385781944920083
species_error_strict,species_same_genus_observed_10pct,species_baseline,q1,p_h,0.016904393609265805,0.007843146119203254,0.7501266983159218,0,-0.03582472775538316,20,20,0.009455173567785476,40,FALSE,1.7878459330308236
species_error_strict,species_same_genus_observed_10pct,species_baseline,q1,t360_mean,0.021371801315595716,0.004668692349190801,0.7099727934835813,0,-0.03582472775538316,20,20,0.013076620783804602,30,FALSE,1.6343519988026798
species_error_strict,species_same_genus_observed_10pct,species_baseline,q2,mos,0.02959708237929066,0.005609723128816097,0.5309926816599126,0,-0.03847428680684267,20,20,0.03347620430189949,21,FALSE,0.8841230060724442
species_error_strict,species_same_genus_observed_10pct,species_baseline,q2,p_h,0.0020070976648376183,0.007588945891378602,0.8869879712198283,0,-0.03847428680684267,20,20,-0.0024396527105669664,48,TRUE,-0.8226981062280689
species_error_strict,species_same_genus_observed_10pct,species_baseline,q2,t360_mean,0.02311030375503712,0.004525893891924239,0.6448259940072409,0,-0.03847428680684267,20,20,0.017891954478090246,27,FALSE,1.2916589846758804
species_error_strict,species_same_genus_observed_3pct,species_baseline,coverage_chao,mos,0.0253016927296272,0.0018028658581735121,0.19209515555553702,0,0.03773709095187906,20,20,0.024075693644531725,23,FALSE,1.0509226900456898
species_error_strict,species_same_genus_observed_3pct,species_baseline,coverage_chao,p_h,-0.023401172442904666,0.002528817135592182,0.25332499388058205,0,0.03773709095187906,20,20,-0.022263462486237673,25,FALSE,1.0511021121431707
species_error_strict,species_same_genus_observed_3pct,species_baseline,coverage_chao,t360_mean,0.038585468364815766,0.0019000259640062247,0.055064451276682073,0.25,0.03773709095187906,20,20,0.03840685520329464,17,FALSE,1.0046505541934034
species_error_strict,species_same_genus_observed_3pct,species_baseline,q0,mos,0.08646083802879412,0.006700323879556851,0.16805831053557405,0,-0.014617071380141945,20,20,0.07726182121183414,1,FALSE,1.1190629041960891
species_error_strict,species_same_genus_observed_3pct,species_baseline,q0,p_h,0.017023709682951416,0.006993768068616127,0.8078240304361765,0,-0.014617071380141945,20,20,0.011998511029674598,34,FALSE,1.4188185218022926
species_error_strict,species_same_genus_observed_3pct,species_baseline,q0,t360_mean,0.044336204161714576,0.0033189928005792424,0.4998638322177428,0,-0.014617071380141945,20,20,0.036283578912531686,19,FALSE,1.2219358037583679
species_error_strict,species_same_genus_observed_3pct,species_baseline,q1,mos,0.04031485976723112,0.003899581357826004,0.44167718917944154,0,-0.03688696232106958,20,20,0.038360289429903875,18,FALSE,1.0509529611578883
species_error_strict,species_same_genus_observed_3pct,species_baseline,q1,p_h,0.014127340230172813,0.005199534255399683,0.8067188514164241,0,-0.03688696232106958,20,20,0.009455173567785476,40,FALSE,1.494138645778622
species_error_strict,species_same_genus_observed_3pct,species_baseline,q1,t360_mean,0.016499908850656272,0.0030345898413540193,0.7681642789345153,0,-0.03688696232106958,20,20,0.013076620783804602,30,FALSE,1.2617869037765026
species_error_strict,species_same_genus_observed_3pct,species_baseline,q2,mos,0.03299899502260193,0.0031784029868604595,0.46624672894754304,0,-0.03799452048634635,20,20,0.03347620430189949,21,FALSE,0.9857448211573234
species_error_strict,species_same_genus_observed_3pct,species_baseline,q2,p_h,6.627543150988694e-4,0.004738803438267645,0.9488673920392723,0,-0.03799452048634635,20,20,-0.0024396527105669664,48,TRUE,-0.2716592866797208
species_error_strict,species_same_genus_observed_3pct,species_baseline,q2,t360_mean,0.019435517566525697,0.002766425231304903,0.6755152032952443,0,-0.03799452048634635,20,20,0.017891954478090246,27,FALSE,1.0862713512000959
species_error_strict,species_same_genus_observed_5pct,species_baseline,coverage_chao,mos,0.02573216842248196,0.00230004945937748,0.1896605192866162,0,0.03617558417271263,20,20,0.024075693644531725,23,FALSE,1.0688027851827424
species_error_strict,species_same_genus_observed_5pct,species_baseline,coverage_chao,p_h,-0.02265744466280917,0.0024491418118691606,0.25574057043086973,0,0.03617558417271263,20,20,-0.022263462486237673,25,FALSE,1.0176963568364552
species_error_strict,species_same_genus_observed_5pct,species_baseline,coverage_chao,t360_mean,0.03823062325985583,0.0023890800644464196,0.0601855649141677,0.25,0.03617558417271263,20,20,0.03840685520329464,17,FALSE,0.9954114456258919
species_error_strict,species_same_genus_observed_5pct,species_baseline,q0,mos,0.0845401521056949,0.008410622718195463,0.19118002588641525,0,-0.01619263487646374,20,20,0.07726182121183414,1,FALSE,1.0942034601269008
species_error_strict,species_same_genus_observed_5pct,species_baseline,q0,p_h,0.01306153854383846,0.00800947793832763,0.8208354114486414,0,-0.01619263487646374,20,20,0.011998511029674598,34,FALSE,1.0885966193250807
species_error_strict,species_same_genus_observed_5pct,species_baseline,q0,t360_mean,0.0445492371925318,0.005886366173090053,0.4891161645631668,0,-0.01619263487646374,20,20,0.036283578912531686,19,FALSE,1.227807138318026
