source_pool,genus,n_candidate_species
taxref_mainland,Megalothorax,5
taxref_mainland,Mesachorutes,1
taxref_mainland,Mesaphorura,15
taxref_mainland,Mesogastrura,4
taxref_mainland,Metaphorura,2
taxref_mainland,Micranurida,4
taxref_mainland,Micranurophorus,1
taxref_mainland,Micraphorura,1
taxref_mainland,Micronychiurus,1
taxref_mainland,Minotaurella,1
taxref_mainland,Monobella,11
taxref_mainland,Mucrella,1
taxref_mainland,Najtiaphorura,2
taxref_mainland,Neanura,3
taxref_mainland,Neelides,1
taxref_mainland,Neonaphorura,2
taxref_mainland,Neosminthurus,1
taxref_mainland,Neotullbergia,1
taxref_mainland,Odontellina,1
taxref_mainland,Oligaphorura,1
taxref_mainland,Oncopodura,8
taxref_mainland,Ongulogastrura,1
taxref_mainland,Onychiuroides,2
taxref_mainland,Onychiurus,9
taxref_mainland,Orchesella,13
taxref_mainland,Orogastrura,4
taxref_mainland,Pachyotoma,3
taxref_mainland,Paranurophorus,1
taxref_mainland,Paratullbergia,1
taxref_mainland,Paraxenylla,1
taxref_mainland,Parisotoma,2
taxref_mainland,Podura,1
taxref_mainland,Pogonognathellus,2
taxref_mainland,Pongeia,1
taxref_mainland,Pongeiella,1
taxref_mainland,Proctostephanus,3
taxref_mainland,Proisotoma,3
taxref_mainland,Protachorutes,1
taxref_mainland,Protanura,1
taxref_mainland,Protaphorura,5
taxref_mainland,Pseudachorudina,2
taxref_mainland,Pseudachorutella,1
taxref_mainland,Pseudachorutes,7
taxref_mainland,Pseudanurophorus,3
taxref_mainland,Pseudisotoma,3
taxref_mainland,Pseudosinella,63
taxref_mainland,Pseudostachia,1
taxref_mainland,Ptenothrix,1
taxref_mainland,Rusekella,2
taxref_mainland,Scaphaphorura,1
taxref_mainland,Schaefferia,16
taxref_mainland,Schoettella,1
taxref_mainland,Seira,4
taxref_mainland,Sensillanura,1
taxref_mainland,Sinella,1
taxref_mainland,Sminthurides,8
taxref_mainland,Sminthurinus,7
taxref_mainland,Sminthurus,6
taxref_mainland,Spatulosminthurus,1
taxref_mainland,Sphaeridia,1
taxref_mainland,Stachorutes,1
taxref_mainland,Stenaphorurella,3
taxref_mainland,Stenognathellus,1
taxref_mainland,Subisotoma,4
taxref_mainland,Superodontella,12
taxref_mainland,Tetracanthella,29
taxref_mainland,Thalassaphorura,1
taxref_mainland,Thaumanura,1
taxref_mainland,Tomocerina,1
taxref_mainland,Tomocerus,7
taxref_mainland,Triacanthella,3
taxref_mainland,Tritomurus,1
taxref_mainland,Uzelia,1
taxref_mainland,Vertagopus,3
taxref_mainland,Vitronura,1
taxref_mainland,Wankeliella,2
taxref_mainland,Willemia,2
taxref_mainland,Willowsia,3
taxref_mainland,Xenylla,10
taxref_mainland,Xenyllodes,1
taxref_mainland,Xenyllogastrura,2
