scenario_family,scenario,baseline_scenario,unit_type,abundance_cor_mean,q0_cor_mean,q1_cor_mean,q2_cor_mean,coverage_chao_cor_mean,bray_curtis_cor_mean,jaccard_pa_cor_mean,sorensen_pa_cor_mean,bray_mean_ratio_mean,jaccard_mean_ratio_mean,sorensen_mean_ratio_mean,procrustes_r2_mean,n_common_units_mean,abundance_cor_sd,q0_cor_sd,q1_cor_sd,q2_cor_sd,coverage_chao_cor_sd,bray_curtis_cor_sd,jaccard_pa_cor_sd,sorensen_pa_cor_sd,bray_mean_ratio_sd,jaccard_mean_ratio_sd,sorensen_mean_ratio_sd,procrustes_r2_sd,n_common_units_sd,n_iter
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,family_units,1,0.8606324395396759,0.7390279161831446,0.6930593914179797,0.867772241261012,0.5434069292152773,0.5084485879364934,0.5204714784888549,0.7713549177934,0.7412881919113111,0.6370989428118662,0.11924237239334334,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,mixed_RTU_family_resolvable,1,1,1,0.9999999999999998,0.9999999999999999,1,1,1,1,1,1,0.9999999999999996,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,0.9888394615787783,0.9748511989231337,0.9595448033061266,0.9745261747407851,0.9614874480675492,0.9247045601017616,0.9321403236541307,0.9852037524630124,0.9695272377521429,0.9528239988463135,0.9701827565241938,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,0.9999999999999998,1,1,1,1,1,1,1,1,1,1,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
species_error_strict,species_baseline,species_baseline,species_units,1,1,1,1,1,1,1,1,1,1,1,1.0000000000000004,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,1,0.9699618659614349,0.971512912257163,0.9717200120198963,0.9591039464946028,0.9857330827474604,0.936170067342331,0.9451453730662936,0.9982593530251856,1.007647257549432,1.0109986376216522,0.9921557200198905,68,0,0.005512833297063947,0.005071134875498441,0.0071550171603018175,0.022700105800904875,0.0030484274538024364,0.010417861080921508,0.009376296460161677,9.701454718657352e-4,0.001964609030822169,0.00313558869535711,0.0037497851353461976,0,50
species_error_strict,species_same_genus_observed_3pct,species_baseline,species_units,1,0.9841531145264906,0.9914142788529711,0.992592944928175,0.9835731266335905,0.9960929200886582,0.97677443418539,0.9800784358514513,0.999344600996178,1.0041145093639152,1.0057720211317056,0.9978598865455134,68,0,0.0036452286510036034,0.003196062300534675,0.004192121975261395,0.018539753532690127,0.0019918563114583628,0.007919143181935153,0.007184534851189256,4.888182579076065e-4,0.001378926681484203,0.0021460998047170016,0.0018198012708464943,0,50
species_error_strict,species_same_genus_observed_5pct,species_baseline,species_units,1,0.9785322160518639,0.9866541299786746,0.9887949908927312,0.982247150929934,0.993758829881085,0.9638225520578629,0.9693777253040171,0.9991737106492979,1.0062222657666644,1.0089026449526273,0.995954135039066,68,0,0.004785399394081207,0.003763907483473783,0.005416177267588364,0.013688596379612892,0.0023071306194395605,0.009020309691122956,0.007903472990747206,5.256451206638825e-4,0.0015282928201325212,0.002310882436722803,0.003386606525501803,0,50
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,species_units,1,0.9678577316514996,0.9664002044135115,0.9641401165309849,0.9480024934279189,0.983174322685031,0.9276602947880749,0.9376866104091115,0.9973561324043042,1.0075100249142608,1.0106930100683638,0.9905058358137726,68,0,0.005609514029082532,0.0075918467213898335,0.011473989317682039,0.029322234192555925,0.003925851060572305,0.011144183359762317,0.010003013288898625,0.0011790057641987454,0.0021640523355256867,0.003444207779852942,0.004854264914562523,0,50
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,species_units,1,0.982459712313661,0.9892596999848419,0.9904620862592409,0.9771288902559034,0.993513701830722,0.9664285517306359,0.9711116100307721,0.9989327389439424,1.0044651635303892,1.0062767295538773,0.9968387540005632,68,0,0.003927021671715173,0.003273358794135757,0.004746914758080913,0.022513852024078816,0.002516405130382538,0.009652691114812312,0.008691096622957986,7.491361276324924e-4,0.001568581965752923,0.0025054066536273787,0.002011223363397449,0,50
