scenario_family,scenario,baseline_scenario,unit_type,iter,coverage_estimator,mean,p10,median,p90
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,10,coverage_chao,0.8268754957935758,0.6000175073859284,0.9064890008223685,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,10,coverage_turing,0.8027717424155985,0.5,0.8973684210526316,0.9885641924800311
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,10,coverage_zhanghuang,0.8284994843461749,0.6026515151515152,0.9084025186538682,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,11,coverage_chao,0.8299271061057281,0.6238157894736842,0.9020158481365378,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,11,coverage_turing,0.8042411275609975,0.5700000000000001,0.8775,0.9888295259150086
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,11,coverage_zhanghuang,0.8300904818465326,0.6263888888888889,0.9040204678362573,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,12,coverage_chao,0.8344255951143437,0.6478260869565218,0.8924162257495591,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,12,coverage_turing,0.8086661566349658,0.6,0.8727272727272728,0.9848747236551216
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,12,coverage_zhanghuang,0.8365613250874036,0.638095238095238,0.8924674951070701,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,13,coverage_chao,0.8309738542915744,0.625,0.8967275494672755,0.9963164251207729
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,13,coverage_turing,0.806141004283747,0.5700000000000001,0.8844444444444444,0.986829501915709
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,13,coverage_zhanghuang,0.8320001821669788,0.6263888888888889,0.8984880106800706,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,14,coverage_chao,0.8246168166407423,0.6097368421052631,0.8964285714285715,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,14,coverage_turing,0.8006215210707084,0.5700000000000001,0.8768939393939394,0.9832442888725129
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,14,coverage_zhanghuang,0.8263675013766612,0.6138888888888889,0.8978174603174603,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,15,coverage_chao,0.8246780191272561,0.5930584430584431,0.9013888888888889,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,15,coverage_turing,0.7995075086518393,0.5348178137651822,0.8768939393939394,0.9780936454849498
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,15,coverage_zhanghuang,0.8263115656821157,0.592929292929293,0.9040204678362573,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,16,coverage_chao,0.8250181505008354,0.6238157894736842,0.8891455490578297,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,16,coverage_turing,0.7999875337695389,0.5700000000000001,0.8775,0.9832442888725129
