scenario_family,scenario,baseline_scenario,unit_type,iter,n_units,total_abundance,mean_local_q0,mean_local_q1,mean_local_q2,mean_coverage_chao,p10_coverage_chao,median_coverage_chao,p90_coverage_chao,gamma_taxon_units
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,family_units,1,68,3055,4.3088235294117645,2.7186798761399738,2.249409210850784,0.943364457886325,0.8793333333333333,0.9941921497174557,1,16
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,mixed_RTU_family_resolvable,1,68,3055,6.955882352941177,4.4590431729959565,3.5345332167562264,0.8809165551767177,0.763995427398283,0.9151220550086334,0.9896143381519078,69
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,68,3040,6.588235294117647,4.22456694658653,3.3528334611627875,0.8905603352908295,0.7923076923076924,0.9264102564102564,1,46
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,68,3040,6.897058823529412,4.403852361936717,3.4847056460278263,0.8813459932831056,0.7782135627530363,0.9132410985784689,0.9896143381519078,67
species_error_strict,species_baseline,species_baseline,species_units,1,68,2352,5.352941176470588,3.582867936622921,2.905406941235482,0.852733656036106,0.7002849002849003,0.9207575757575758,1,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,1,68,2352,5.955882352941177,3.834280728925079,3.022645084751842,0.8379798763159676,0.6336348684210527,0.9083777424582398,1,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,2,68,2352,6.044117647058823,3.9720681650616823,3.162689847162711,0.8270976905052551,0.5736139986139985,0.8946019189921629,1,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,3,68,2352,5.955882352941177,3.9152674219619006,3.1074100665041384,0.8405845109982472,0.6387968117408906,0.9013888888888889,1,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,4,68,2352,5.985294117647059,3.914150530163826,3.11935431839751,0.8310296682768806,0.6238157894736842,0.8924162257495591,1,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,5,68,2352,5.970588235294118,3.88590912204084,3.104690923981402,0.8307557149469279,0.6610284331518451,0.9020158481365378,1,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,6,68,2352,5.9411764705882355,3.845715905904628,3.051641572925283,0.8423427538844398,0.6873931623931624,0.9073934837092732,1,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,7,68,2352,6,3.8972224602147243,3.0841401819151377,0.8306286698100325,0.6336348684210527,0.9013888888888889,0.9933334009493286,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,8,68,2352,5.882352941176471,3.835412424065012,3.043257365035178,0.8405684375887251,0.6861778846153845,0.9062474166437036,1,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,9,68,2352,5.926470588235294,3.8157988293380614,3.0124744100264005,0.8367428294169696,0.6238157894736842,0.9026315789473685,1,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,10,68,2352,6.014705882352941,3.8999358192870623,3.0948815848749254,0.8268754957935758,0.6000175073859284,0.9064890008223685,1,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,11,68,2352,6.014705882352941,3.8962823538674183,3.0777443396551893,0.8299271061057281,0.6238157894736842,0.9020158481365378,1,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,12,68,2352,5.970588235294118,3.8989680392195702,3.1155276481865792,0.8344255951143437,0.6478260869565218,0.8924162257495591,1,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,13,68,2352,5.970588235294118,3.879758217297938,3.0798320728209845,0.8309738542915744,0.625,0.8967275494672755,0.9963164251207729,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,14,68,2352,6.0588235294117645,3.9430105230005634,3.1326411933326868,0.8246168166407423,0.6097368421052631,0.8964285714285715,1,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,15,68,2352,6.117647058823529,3.940913845385945,3.0917861931131934,0.8246780191272561,0.5930584430584431,0.9013888888888889,1,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,16,68,2352,6.044117647058823,3.886896307497336,3.084794809128403,0.8250181505008354,0.6238157894736842,0.8891455490578297,1,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,17,68,2352,5.882352941176471,3.864842848374332,3.072265027344173,0.8308022464201053,0.6238157894736842,0.8895864661654136,1,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,18,68,2352,6,3.906555039241661,3.0924564054147474,0.8298875802866217,0.625,0.9040204678362573,1,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,19,68,2352,5.955882352941177,3.9195369757457694,3.145347078012009,0.8214170343110864,0.6097368421052631,0.9062474166437036,1,50
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,20,68,2352,6.0588235294117645,3.9089299802966475,3.080830614364258,0.8249774262623659,0.625,0.893583042973287,0.9933334009493286,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,21,68,2352,5.9411764705882355,3.8742129394468434,3.084189920214872,0.8355674516245862,0.6606481481481481,0.9040204678362573,1,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,22,68,2352,5.897058823529412,3.8227836446540384,3.0456242922756376,0.8421819354004708,0.6721153846153847,0.9062474166437036,1,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,23,68,2352,5.882352941176471,3.8253409655045836,3.0519962535443916,0.8330759972616679,0.6387968117408906,0.9013888888888889,1,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,24,68,2352,6.044117647058823,3.889289601641859,3.0646440253758818,0.82710913804487185,0.6238157894736842,0.8964285714285715,0.9933334009493286,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,25,68,2352,6,3.919798461314818,3.105713069412979,0.8369951891014145,0.6238157894736842,0.9040204678362573,1,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,26,68,2352,6.044117647058823,3.8925039612733414,3.084453957519588,0.8262681477548912,0.6238157894736842,0.8964285714285715,0.9933334009493286,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,27,68,2352,6,3.880753924955349,3.0601618731468605,0.8288943477416961,0.6622126436781609,0.8924162257495591,1,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,28,68,2352,6.117647058823529,3.957369403340775,3.1314539480622807,0.8254643490052943,0.6238157894736842,0.8974474474474474,1,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,29,68,2352,5.9411764705882355,3.8919102231329177,3.0924069683968205,0.8335954013195895,0.6758160425101214,0.9040204678362573,1,50
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,30,68,2352,5.911764705882353,3.8206125864303013,3.0457529892908135,0.8296754215947941,0.633911943319838,0.9111255411255411,1,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,31,68,2352,6.014705882352941,3.87594426203428,3.060611113340231,0.8210435749247549,0.6238157894736842,0.8959073204261656,1,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,32,68,2352,5.9411764705882355,3.896110669777505,3.1027108265949632,0.8359053224005066,0.6238157894736842,0.9073934837092732,1,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,33,68,2352,5.911764705882353,3.8689012814276267,3.0681261046116064,0.8357461075218939,0.6721153846153847,0.9040204678362573,1,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,34,68,2352,5.955882352941177,3.8937513750222186,3.100303965934423,0.8266514662061498,0.6764423076923076,0.8883867165479424,1,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,35,68,2352,6.044117647058823,3.914404376231464,3.0951765839645162,0.8239282504181411,0.6000175073859284,0.8895864661654136,1,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,36,68,2352,5.985294117647059,3.8968633814051867,3.083077153035816,0.836745676824355,0.6336348684210527,0.9073934837092732,1,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,37,68,2352,6.014705882352941,3.8876722675448065,3.08053300830447,0.8398481708968658,0.6336348684210527,0.9138528138528139,1,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,38,68,2352,5.926470588235294,3.880199210075184,3.098227344138445,0.836670187230118,0.6800925925925927,0.9013888888888889,1,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,39,68,2352,5.970588235294118,3.911239618318238,3.111899990470129,0.8372978230557504,0.6238157894736842,0.9073934837092732,1,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,40,68,2352,5.970588235294118,3.885457899001515,3.088805102283893,0.8315336887542787,0.6336348684210527,0.8959073204261656,1,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,41,68,2352,6.132352941176471,3.9446423359512046,3.1107199618459314,0.8261957455325004,0.625,0.8902347652347653,0.9907914027176752,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,42,68,2352,6.088235294117647,3.9409743150135474,3.1073562039863685,0.8244931455476081,0.625,0.8869123118552342,0.9961330822347771,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,43,68,2352,6,3.9349756743751154,3.1340172030096887,0.8211232220292376,0.5681747176159577,0.8964285714285715,1,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,44,68,2352,5.955882352941177,3.871094920875205,3.081465408057869,0.8315781465159825,0.625,0.8964285714285715,1,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,45,68,2352,5.926470588235294,3.877629112656635,3.0840577100153004,0.8334029042535088,0.6336348684210527,0.9026315789473685,1,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,46,68,2352,5.9411764705882355,3.9051130848490603,3.1196067406420203,0.831492418182615,0.6238157894736842,0.8964285714285715,1,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,47,68,2352,5.985294117647059,3.9111176409073494,3.1210730520971577,0.8366350327811458,0.6721153846153847,0.9026315789473685,0.9933334009493286,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,48,68,2352,5.9411764705882355,3.8467308973296848,3.0579183157255905,0.8338242503973764,0.6350961538461538,0.888095238095238,1,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,49,68,2352,5.970588235294118,3.89047010701586,3.088138874896551,0.8335469614274451,0.6097368421052631,0.9040204678362573,1,51
