binomial,genus,famille,total_abundance,n_rows,taxref_direct_match,taxref_direct_fr_status,taxref_nom_valide,taxref_valid_binomial,in_taxref_lb_nom,in_mainland_kept_status
Arrhopalites caecus,Arrhopalites,Arrhopalitidae,10,5,TRUE,P,"Arrhopalites caecus (Tullberg, 1871)",Arrhopalites caecus,TRUE,TRUE
Bourletiella arvalis,Bourletiella,Bourletiellidae,12,7,TRUE,P,"Bourletiella arvalis (Fitch, 1863)",Bourletiella arvalis,TRUE,TRUE
Bourletiella hortensis,Bourletiella,Bourletiellidae,5,2,NA,NA,NA,NA,FALSE,FALSE
Brachystomella parvula,Brachystomella,Brachystomellidae,11,7,TRUE,P,"Brachystomella parvula (Schaeffer, 1896)",Brachystomella parvula,TRUE,TRUE
Ceratophysella bengtssoni,Ceratophysella,Hypogastruridae,16,7,TRUE,P,"Ceratophysella bengtssoni (Agren, 1904)",Ceratophysella bengtssoni,TRUE,TRUE
Ceratophysella denticulata,Ceratophysella,Hypogastruridae,18,7,TRUE,P,"Ceratophysella denticulata (Bagnall, 1941)",Ceratophysella denticulata,TRUE,TRUE
Ceratophysella gibbosa,Ceratophysella,Hypogastruridae,47,7,NA,NA,NA,NA,FALSE,FALSE
Cyphoderus bidenticulatus,Cyphoderus,Cyphoderidae,1,1,TRUE,P,"Cyphoderus bidenticulatus Parona, 1888",Cyphoderus bidenticulatus,TRUE,TRUE
Dicyrtomina minuta,Dicyrtomina,Dicyrtomidae,1,1,TRUE,P,"Dicyrtomina minuta (O. Fabricius, 1783)",Dicyrtomina minuta,TRUE,TRUE
Entomobrya lanuginosa,Entomobrya,Entomobryidae,60,12,TRUE,P,"Entomobrya lanuginosa (Nicolet, 1841)",Entomobrya lanuginosa,TRUE,TRUE
Folsomia candida,Folsomia,Isotomidae,38,4,TRUE,P,"Folsomia candida Willem, 1902",Folsomia candida,TRUE,TRUE
Folsomia quadrioculata,Folsomia,Isotomidae,145,36,TRUE,P,"Folsomia quadrioculata (Tullberg, 1871)",Folsomia quadrioculata,TRUE,TRUE
Folsomides parvulus,Folsomides,Isotomidae,21,10,NA,NA,NA,NA,FALSE,FALSE
Friesea truncata,Friesea,Neanuridae,15,13,TRUE,P,"Friesea truncata Cassagnau, 1958",Friesea truncata,TRUE,TRUE
Hemisotoma thermophila,Hemisotoma,Isotomidae,179,17,NA,NA,NA,NA,FALSE,FALSE
Heteromurus major,Heteromurus,Entomobryidae,135,15,TRUE,P,"Heteromurus major (Moniez, 1889)",Heteromurus major,TRUE,TRUE
Heteromurus nitidus,Heteromurus,Entomobryidae,11,8,TRUE,P,"Heteromurus nitidus (Templeton, 1835)",Heteromurus nitidus,TRUE,TRUE
Hypogastrura manubrialis,Hypogastrura,Hypogastruridae,4,3,TRUE,P,"Hypogastrura manubrialis (Tullberg, 1869)",Hypogastrura manubrialis,TRUE,TRUE
Hypogastrura vernalis,Hypogastrura,Hypogastruridae,59,10,TRUE,P,"Hypogastrura vernalis (Carl, 1901)",Hypogastrura vernalis,TRUE,TRUE
Isotoma viridis,Isotoma,Isotomidae,106,29,TRUE,P,"Isotoma viridis Bourlet, 1839",Isotoma viridis,TRUE,TRUE
Isotomiella minor,Isotomiella,Isotomidae,167,52,TRUE,P,"Isotomiella minor (Schaeffer, 1896)",Isotomiella minor,TRUE,TRUE
Isotomodes productus,Isotomodes,Isotomidae,1,1,TRUE,P,"Isotomodes productus (Axelson, 1906)",Isotomodes productus,TRUE,TRUE
Lathriopyga longiseta,Lathriopyga,Neanuridae,12,6,TRUE,P,"Lathriopyga longiseta (Caroli, 1910)",Lathriopyga longiseta,TRUE,TRUE
Lepidocyrtus cyaneus,Lepidocyrtus,Entomobryidae,19,10,TRUE,P,"Lepidocyrtus cyaneus Tullberg, 1871",Lepidocyrtus cyaneus,TRUE,TRUE
Lepidocyrtus lanuginosus,Lepidocyrtus,Entomobryidae,97,35,TRUE,P,"Lepidocyrtus lanuginosus (Gmelin, 1788)",Lepidocyrtus lanuginosus,TRUE,TRUE
Lepidocyrtus lignorum,Lepidocyrtus,Entomobryidae,5,2,TRUE,P,"Lepidocyrtus lignorum (Fabricius, 1793)",Lepidocyrtus lignorum,TRUE,TRUE
Megalothorax minimus,Megalothorax,Neelidae,6,5,TRUE,P,"Megalothorax minimus Willem, 1900",Megalothorax minimus,TRUE,TRUE
Metaphorura affinis,Metaphorura,Tullbergiidae,4,2,TRUE,P,"Metaphorura affinis (B̦rner, 1903)",Metaphorura affinis,TRUE,TRUE
Neanura muscorum,Neanura,Neanuridae,2,2,TRUE,P,"Neanura muscorum (Templeton, 1835)",Neanura muscorum,TRUE,TRUE
Neelus murinus,Neelus,Neelidae,1,1,NA,NA,NA,NA,FALSE,FALSE
Parisotoma notabilis,Parisotoma,Isotomidae,402,77,TRUE,C,"Parisotoma notabilis (Schaeffer, 1896)",Parisotoma notabilis,TRUE,TRUE
Proisotoma minima,Proisotoma,Isotomidae,1,1,TRUE,P,"Proisotoma minima (Absolon, 1901)",Proisotoma minima,TRUE,TRUE
Proisotoma minuta,Proisotoma,Isotomidae,4,3,TRUE,C,"Proisotoma minuta (Tullberg, 1871)",Proisotoma minuta,TRUE,TRUE
Proisotomodes debilis,Proisotomodes,Isotomidae,20,3,NA,NA,NA,NA,FALSE,FALSE
Pseudosinella alba,Pseudosinella,Entomobryidae,107,32,TRUE,P,"Pseudosinella alba (Packard, 1873)",Pseudosinella alba,TRUE,TRUE
Pseudosinella immaculata,Pseudosinella,Entomobryidae,1,1,TRUE,P,"Pseudosinella immaculata (Lie-Pettersen, 1896)",Pseudosinella immaculata,TRUE,TRUE
Pseudosinella octopunctata,Pseudosinella,Entomobryidae,1,1,TRUE,P,"Pseudosinella octopunctata B̦rner, 1901",Pseudosinella octopunctata,TRUE,TRUE
Sminthurides parvulus,Sminthurides,Sminthurididae,56,11,TRUE,P,"Sminthurides parvulus (Krausbauer, 1898)",Sminthurides parvulus,TRUE,TRUE
Sminthurides pseudassimilis,Sminthurides,Sminthurididae,1,1,NA,NA,NA,NA,FALSE,FALSE
Sminthurinus aureus,Sminthurinus,Katiannidae,115,40,TRUE,P,"Sminthurinus aureus (Lubbock, 1862)",Sminthurinus aureus,TRUE,TRUE
Sminthurinus elegans,Sminthurinus,Katiannidae,21,12,TRUE,P,"Sminthurinus elegans (Fitch, 1863)",Sminthurinus elegans,TRUE,TRUE
Sminthurus viridis,Sminthurus,Sminthuridae,18,8,TRUE,P,"Sminthurus viridis (Linnaeus, 1758)",Sminthurus viridis,TRUE,TRUE
Sphaeridia pumilis,Sphaeridia,Sminthurididae,55,26,TRUE,C,"Sphaeridia pumilis (Krausbauer, 1898)",Sphaeridia pumilis,TRUE,TRUE
Stenaphorura denisi,Stenaphorura,Tullbergiidae,6,4,NA,NA,NA,NA,FALSE,FALSE
Tetracanthella perezi,Tetracanthella,Isotomidae,3,2,TRUE,P,"Tetracanthella perezi Delamare, 1944",Tetracanthella perezi,TRUE,TRUE
Tomocerina minuta,Tomocerina,Tomoceridae,4,3,TRUE,P,"Tomocerina minuta (Tullberg, 1876)",Tomocerina minuta,TRUE,TRUE
Triacanthella perfecta,Triacanthella,Hypogastruridae,3,1,TRUE,P,"Triacanthella perfecta Denis, 1926",Triacanthella perfecta,TRUE,TRUE
Willemia intermedia,Willemia,Hypogastruridae,1,1,NA,NA,NA,NA,FALSE,FALSE
