scenario_family,scenario,baseline_scenario,iter,term,df,sumsq,r2,f,p,n_units,n_taxa,model
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,1,t360_mean,1,0.431097112930356,0.025721389355296248,1.6934527905280397,0.09,66,16,multivariate_margin
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,1,mos,1,0.2121748855097234,0.012659404755727629,0.8334738071058594,0.55,66,16,multivariate_margin
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,1,p_h,1,0.37399655106058916,0.0223144869655423,1.4691480969016244,0.13,66,16,multivariate_margin
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,1,t360_mean,1,0.3729639977557184,0.014229281158692063,0.9521730623197042,0.545,66,69,multivariate_margin
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,1,mos,1,0.7129908542486412,0.027201948149764534,1.8202579583580238,0.02,66,69,multivariate_margin
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,1,p_h,1,0.5843351351727541,0.022293489396586045,1.4918012956383506,0.05,66,69,multivariate_margin
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,1,t360_mean,1,0.3619829336656686,0.014219763569192169,0.9543875917418697,0.485,66,46,multivariate_margin
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,1,mos,1,0.7200671860328995,0.028286375370332704,1.898496099280224,0.005,66,46,multivariate_margin
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,1,p_h,1,0.6072797443278404,0.023855750041180356,1.6011259062228957,0.035,66,46,multivariate_margin
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,1,t360_mean,1,0.37246522269905213,0.014234690513458156,0.9522478435346392,0.53,66,67,multivariate_margin
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,1,mos,1,0.6986930016834414,0.02670230141437631,1.7862846343734475,0.015,66,67,multivariate_margin
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,1,p_h,1,0.5833932635828241,0.02229583340576122,1.4915083162764051,0.04,66,67,multivariate_margin
species_error_strict,species_baseline,species_baseline,1,t360_mean,1,0.35671257142266555,0.01347718217589755,0.8872298269744214,0.665,66,51,multivariate_margin
species_error_strict,species_baseline,species_baseline,1,mos,1,0.5787526237046592,0.0218662171432256,1.4394967582514817,0.065,66,51,multivariate_margin
species_error_strict,species_baseline,species_baseline,1,p_h,1,0.469058497597139,0.017721794323248156,1.1666611244011478,0.305,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_10pct,species_baseline,1,t360_mean,1,0.3412678171388386,0.012883678850024899,0.8460805810265143,0.76,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_10pct,species_baseline,1,mos,1,0.5563129107408749,0.021002147059158788,1.379226305891894,0.085,66,51,multivariate_margin
