scenario_family,scenario,baseline_scenario,unit_type,iter,abundance_cor,q0_cor,q1_cor,q2_cor,coverage_chao_cor,bray_curtis_cor,jaccard_pa_cor,sorensen_pa_cor,bray_mean_ratio,jaccard_mean_ratio,sorensen_mean_ratio,procrustes_r2,n_common_units
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,family_units,1,1,0.8606324395396759,0.7390279161831446,0.6930593914179797,0.867772241261012,0.5434069292152773,0.5084485879364934,0.5204714784888549,0.7713549177934,0.7412881919113111,0.6370989428118662,0.11924237239334334,68
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,mixed_RTU_family_resolvable,1,1,1,1,0.9999999999999998,0.9999999999999999,1,1,1,1,1,1,0.9999999999999996,68
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,1,0.9888394615787783,0.9748511989231337,0.9595448033061266,0.9745261747407851,0.9614874480675492,0.9247045601017616,0.9321403236541307,0.9852037524630124,0.9695272377521429,0.9528239988463135,0.9701827565241938,68
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,1,0.9999999999999998,1,1,1,1,1,1,1,1,1,1,68
species_error_strict,species_baseline,species_baseline,species_units,1,1,1,1,1,1,1,1,1,1,1,1,1.0000000000000004,68
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,1,1,0.9726790223915314,0.9815495437625072,0.9882298216615392,0.9766314552031812,0.9879281510336453,0.9355767447650771,0.9469618662957041,1.0006501314378677,1.0127914259315727,1.019215110867111,0.9952640653972415,68
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,2,1,0.9733952732239536,0.9679275219979507,0.9657607768008033,0.9423459616034755,0.983931561169689,0.9287629354981417,0.939881998182731,0.9979123304527152,1.0085471333692198,1.0123077630920212,0.9904703125934118,68
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,3,1,0.9816419397606978,0.9756302629698863,0.9773179954862176,0.9853469531448269,0.9891986181539254,0.9474706027600767,0.954431120266606,0.9976580880085825,1.0070699457207037,1.010042073911163,0.991725943552952,68
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,4,1,0.9582868869030151,0.9589874854583861,0.9609388640309492,0.9630731889751921,0.9826049068026999,0.9245083670512017,0.9369916838034164,0.9969950464263562,1.006339809589813,1.0089112183313256,0.9841849718014106,68
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,5,1,0.9827767053133762,0.9747586961545657,0.960782789026237,0.9359064314834912,0.9854596511292557,0.9418464175092105,0.9495875968282529,0.9975505052460285,1.0065256271458736,1.0086315105593342,0.9966956444907635,68
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,6,1,0.9679778440268256,0.9739832290567815,0.9738684702102024,0.9776804710974256,0.990428291488441,0.9430859578635346,0.9514464917049362,0.9981821987313125,1.0080099182633722,1.01138325757297,0.9915928562982088,68
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,7,1,0.969636519839738,0.9749326867450843,0.9784621574958697,0.9792781349336336,0.9859058379619108,0.9263686804655046,0.9355922611625996,0.9982989578837215,1.0080988956609955,1.0117946444692105,0.9941151780138544,68
