scenario_family,scenario,baseline_scenario,iter,alpha_metric,term,estimate,std_error,statistic,p,adj_r2,n_units
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,1,coverage_chao,t360_mean,0.05370061141633613,0.010470535096427447,5.128736107733292,3.097146130882681e-6,0.27897409754381475,66
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,1,coverage_chao,mos,0.003436301628225509,0.010092910246170832,0.34046687668992337,0.7346558892530068,0.27897409754381475,66
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,1,coverage_chao,p_h,-0.007916758120782663,0.010493860730785438,-0.7544180663230619,0.4534542185162348,0.27897409754381475,66
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,1,q0,t360_mean,-0.019212835781908022,0.0444554223429405,-0.4321820549514814,0.667108536091927,-0.014584760557221355,66
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,1,q0,mos,0.04235686923987067,0.042852116298813345,0.9884428797987653,0.3267777126581457,-0.014584760557221355,66
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,1,q0,p_h,-0.0145601204853291,0.04455445748462636,-0.32679380038132233,0.744924550883068,-0.014584760557221355,66
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,1,q1,t360_mean,-0.041444118651283536,0.038300670263411586,-1.0820729341354338,0.2834108237437295,-0.028911631647623448,66
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,1,q1,mos,-0.005713312174168789,0.03691933829329253,-0.1547512073152941,0.8775201385017402,-0.028911631647623448,66
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,1,q1,p_h,0.013475300403292166,0.03838599421505329,0.35104732022305546,0.7267429430915033,-0.028911631647623448,66
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,1,q2,t360_mean,-0.041101160937930446,0.03592535745324559,-1.1440710364933964,0.2569920592713195,-0.02510478047708986,66
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,1,q2,mos,-0.018030794673071258,0.03462969227436413,-0.5206744122996206,0.6044481843324259,-0.02510478047708986,66
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,1,q2,p_h,0.00915307173845228,0.036005389824506205,0.25421393249914104,0.8001715173865034,-0.02510478047708986,66
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,1,coverage_chao,t360_mean,0.04801609361254615,0.01171415047716149,4.098982141825887,1.227112499085601e-4,0.1796277485991029,66
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,1,coverage_chao,mos,0.012474426259253761,0.011291674044096395,1.1047455151945111,0.27353878311242763,0.1796277485991029,66
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,1,coverage_chao,p_h,-0.008746364399977913,0.011740246563782506,-0.7449898392219102,0.45909266713958974,0.1796277485991029,66
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,1,q0,t360_mean,0.009248682401175209,0.057898870284661626,0.1597385640808494,0.873606287789813,-0.02099819800765501,66
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,1,q0,mos,0.0716403557294472,0.055810719868286764,1.2836307415227461,0.20404802652577653,-0.02099819800765501,66
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,1,q0,p_h,0.011582049796614546,0.05802785393884579,0.1995946603302028,0.8424507847748823,-0.02099819800765501,66
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,1,q1,t360_mean,-0.0469482380599569,0.052520327426925716,-0.8939060428608036,0.37482909657944385,-0.010703653423369985,66
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,1,q1,mos,0.050163722517726744,0.050626156728162834,0.9908657057868498,0.32560256440914603,-0.010703653423369985,66
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,1,q1,p_h,0.015056345867463718,0.05263732908373125,0.2860393209448999,0.7758015750504904,-0.010703653423369985,66
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,1,q2,t360_mean,-0.05181145949568255,0.048836490838746825,-1.0609169210531275,0.2928430257345309,-0.001305659823965133,66
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,1,q2,mos,0.04119507637058283,0.04707517946638605,0.8750912229659816,0.38490178225802607,-0.001305659823965133,66
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,1,q2,p_h,-0.0031327093756596865,0.04894528586384738,-0.06400431257821318,0.9491727074862022,-0.001305659823965133,66
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,1,coverage_chao,t360_mean,0.04797138051789027,0.011692471088347447,4.102758104375206,1.2114807680039416e-4,0.18310732517563932,66
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,1,coverage_chao,mos,0.010245050628597931,0.011270776532796649,0.9089924371036925,0.3668741666966576,0.18310732517563932,66
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,1,coverage_chao,p_h,-0.006305133748009505,0.011718518878917504,-0.5380486914052692,0.5924697542060873,0.18310732517563932,66
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,1,q0,t360_mean,0.03707279450992599,0.060020200769017346,0.6176719510252473,0.5390537801391356,-0.028030907410777406,66
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,1,q0,mos,0.05896331705849716,0.057855543555318155,1.0191472317967216,0.3120935471547678,-0.028030907410777406,66
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,1,q0,p_h,0.002455185390417521,0.060153910196886894,0.04081505894432417,0.9675744860572477,-0.028030907410777406,66
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,1,q1,t360_mean,-0.013080315940593236,0.05492062710852529,-0.2381676362643497,0.8125364657446794,-0.03852028590502843,66
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,1,q1,mos,0.035256490538223426,0.052939888455069785,0.6659721349459529,0.5078992928657451,-0.03852028590502843,66
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,1,q1,p_h,0.010015350382047658,0.055042976009975625,0.18195510323120143,0.8562115608463453,-0.03852028590502843,66
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,1,q2,t360_mean,-0.01675852859793677,0.050695407918219804,-0.33057291155386476,0.7420816498270276,-0.037808187526543025,66
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,1,q2,mos,0.024915987350276808,0.04886705381334242,0.5098729185812685,0.6119507930775465,-0.037808187526543025,66
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,1,q2,p_h,-0.006464013947951419,0.050808344128054295,-0.12722347202774228,0.8991752562846395,-0.037808187526543025,66
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,1,coverage_chao,t360_mean,0.04884474682040795,0.011602410255320843,4.2098793048632155,8.401313194793853e-5,0.18831953769713128,66
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,1,coverage_chao,mos,0.012441950372025952,0.01118396378673718,1.1124812820639307,0.27022623772398335,0.18831953769713128,66
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,1,coverage_chao,p_h,-0.009765242082026532,0.011628257413732008,-0.8397855099504927,0.40425535289764847,0.18831953769713128,66
