method,p_med,n_sp
GPD,0.6977223554627323,47
Pitfall10,0.99999846547077,47
Pitfall2,0.4624557352843248,47
Pitfall4,0.723802418229962,47
Pitfall6,0.8476356910433149,47
Pitfall8,0.954941360185964,47
