IL_GPD_m,contrast,estimate_logit,lcl_logit,ucl_logit,odds_ratio,lcl_OR,ucl_OR,p_value
0.8,GPD - Pitfall4,-1.1281435149428725,-1.6800593772174697,-0.5762276526682751,0.3236335198533987,0.18636290999984256,0.5620144865348408,1.7582597017516216e-4
0.8,GPD - Pitfall6,-1.1077041861356147,-1.5842330483980105,-0.631175323873219,0.3303164362854969,0.2051050384471236,0.5319662008619022,2.640411234908321e-5
0.8,GPD - Pitfall8,-1.0154034765743687,-1.5153478032679526,-0.5154591498807848,0.36225623843594384,0.21973174813598853,0.5972263152639347,1.7334183200939498e-4
0.8500000000000001,GPD - Pitfall4,-0.8265824731194719,-1.4685538103438094,-0.18461113589513445,0.4375420457987054,0.23025824160154237,0.8314275333215002,0.013007126621761515
0.8500000000000001,GPD - Pitfall6,-0.8076303329901905,-1.359925126989876,-0.2553355389905049,0.4459134817042664,0.2566799946379411,0.7746565268792858,0.00518581534151757
0.8500000000000001,GPD - Pitfall8,-0.712043544127197,-1.28587059612155,-0.13821649213284404,0.49064052672058034,0.2764098375183611,0.8709101261443257,0.016239685884972578
0.9,GPD - Pitfall4,-0.3336097128185123,-1.090769159581973,0.4235497339449484,0.7163333033828814,0.3359579889974129,1.5273737143943393,0.37696152932849636
0.9,GPD - Pitfall6,-0.32797244496134464,-0.9868138580819821,0.33086896815929273,0.7203828696096364,0.37276247512816874,1.3921773607941108,0.32011840273020564
0.9,GPD - Pitfall8,-0.2844222714300501,-0.9664552784898044,0.3976107356297042,0.7524488399632961,0.3804291663180194,1.4882645887587207,0.40394109813019774
0.9500000000000001,GPD - Pitfall4,-0.0731342338436507,-0.8882359686456693,0.7419675009583679,0.9294760545080535,0.4113808016925512,2.1000633290357578,0.8560008451578822
0.9500000000000001,GPD - Pitfall6,-0.051293584797699965,-0.7635559409872044,0.6609687713918044,0.9499997241103981,0.46600638604684436,1.9366676140766677,0.8845991628467683
0.9500000000000001,GPD - Pitfall8,-0.049274902284901945,-0.78453140171048,0.6859815971406761,0.9519194089057804,0.4563334887839112,1.9857200563262238,0.8924968860595042
1,GPD - Pitfall4,0.20934015837832382,-0.6579725638652556,1.0766528806219033,1.2328642963321155,0.5179002805397918,2.934839833618703,0.6250515958017464
1,GPD - Pitfall6,0.2527457179600071,-0.5060459112949951,1.0115373472150093,1.2875558328810468,0.602874692110614,2.7498252032809445,0.5023275071074733
1,GPD - Pitfall8,0.2308618793120324,-0.5500625306896575,1.0117862893137222,1.2596852388411548,0.5769137344388844,2.750509835751529,0.5510053797266632
1.05,GPD - Pitfall4,0.37795381382017157,-0.5174192532481728,1.2733268808885159,1.4592955420329878,0.5960568364763765,3.572718822564417,0.3935769197597734
1.05,GPD - Pitfall6,0.419188833992803,-0.3655841986308615,1.2039618666164675,1.5207274927230578,0.6937912205824298,3.33329687450116,0.28369158019602014
1.05,GPD - Pitfall8,0.4045301587455933,-0.39885689951098435,1.207917217002171,1.4985982313496071,0.6710867273214521,3.3465073403670953,0.3113702259787875
1.1,GPD - Pitfall4,0.47232738800646745,-0.43632724222922914,1.3809820182421642,1.603722337249061,0.6464061599278994,3.9788069706490194,0.29398470937906135
1.1,GPD - Pitfall6,0.4939209847918781,-0.3049492208492887,1.292791190433045,1.6387290711593876,0.7371608058409094,3.6429405190629014,0.21523085227349814
1.1,GPD - Pitfall8,0.5045555322610171,-0.3077917187607715,1.3169027832828057,1.6562492074988446,0.7350684030240465,3.7318451263246755,0.21296641775256026
1.1500000000000001,GPD - Pitfall4,0.5567311747805244,-0.36126608386320924,1.474728433424258,1.7449592008520654,0.6967935682734702,4.369848906876327,0.22173523992301025
1.1500000000000001,GPD - Pitfall6,0.5525467871896499,-0.2572641788788208,1.3623577532581206,1.7376728702724886,0.773163933202314,3.905390402232994,0.17198732810117306
1.1500000000000001,GPD - Pitfall8,0.5954192484424445,-0.22217815180885914,1.4130166486937483,1.8137912147197552,0.800772692522758,4.108330118288928,0.1458151611778466
1.2,GPD - Pitfall4,0.6358660227998694,-0.28681204646231584,1.5585440920620546,1.8886570534904656,0.7506528034288954,4.751897880625406,0.1662351921115197
1.2,GPD - Pitfall6,0.6033668068186571,-0.2135087070740581,1.4202423207113721,1.8282638612036706,0.8077451270233028,4.138123071693783,0.13989814436236372
1.2,GPD - Pitfall8,0.6809505522983108,-0.13774295602496667,1.4996440606215882,1.9757548982763107,0.8713226311960812,4.480094144581414,0.09853612813507014
