IL_GPD_m,method,n_visits,min_eff_z,q25_eff_z,median_eff_z,q75_eff_z,max_eff_z,common_reference_within_observed_range
1,Pitfall8,35,-0.15859165549022275,0.0998179611874713,0.16180609261806483,0.20130182838686436,0.41427569615087956,TRUE
1,Pitfall10,32,0.10000478295759083,0.3387826642249264,0.4223771637294702,0.4620815191909493,0.6760684618194749,FALSE
1,GPD,63,-0.10333618979909756,1.4178922010215638,1.5249977641946415,1.5652181990405354,1.7817068302763912,TRUE
1.05,Pitfall2,50,-2.2728139975690533,-1.4283832832453836,-1.3913472099459065,-1.3554445036054892,-1.16043303126693,FALSE
1.05,Pitfall4,41,-0.9424415854302541,-0.6765669391726549,-0.6375716672998973,-0.5998308233685667,-0.3958026347104036,FALSE
1.05,Pitfall6,36,-0.49338750732692405,-0.23232398944545973,-0.18235741986189152,-0.14396130741131163,0.06326113371852207,TRUE
1.05,Pitfall8,35,-0.16941860262370367,0.0839964256252937,0.144786439091315,0.18351879404097207,0.3923762638580964,TRUE
1.05,Pitfall10,32,0.0841796364700024,0.31834237508847124,0.40032114478660913,0.4392580871892928,0.6491090509742846,FALSE
1.05,GPD,63,-0.059848534446702496,1.4333186971598084,1.5383989360931007,1.5778577758298329,1.7902385311843794,TRUE
1.1,Pitfall2,50,-2.244232237726767,-1.415254154969328,-1.3788958220523941,-1.343650116083823,-1.1522072496499527,FALSE
1.1,Pitfall4,41,-0.9382049309731079,-0.6771956488972357,-0.6389139696956748,-0.6018637630734532,-0.40156918141818704,FALSE
1.1,Pitfall6,36,-0.49736830292759804,-0.24108210814532666,-0.19202990012784826,-0.15433641605069223,0.04909396496015469,TRUE
1.1,Pitfall8,35,-0.17932785634222798,0.06944981208736234,0.12912740073857926,0.16715097425646558,0.37218646380191756,TRUE
1.1,Pitfall10,32,0.06962967027135632,0.2995073556995122,0.37998595764805226,0.41821037477772277,0.6242211778814618,FALSE
1.1,GPD,63,-0.019844794025701697,1.4471977603748676,1.5503951299274719,1.58914599911449,1.7977085806002275,TRUE
1.1500000000000001,Pitfall2,50,-2.2174953916289364,-1.4029074482570016,-1.3671802556432695,-1.3325463760090464,-1.1444267452428551,FALSE
1.1500000000000001,Pitfall4,41,-0.9341392692845746,-0.6776608186361012,-0.640043666894409,-0.603636610734962,-0.4068189206985829,FALSE
1.1500000000000001,Pitfall6,36,-0.5009550757916278,-0.24911772488376843,-0.20091700875156437,-0.16387784171978947,0.03602121367596418,TRUE
1.1500000000000001,Pitfall8,35,-0.18843545834732262,0.05602370589118649,0.11466535784305758,0.15202888432925724,0.3535051853570588,TRUE
1.1500000000000001,Pitfall10,32,0.05620044193674143,0.2820877059005266,0.3611692886471382,0.3987301723229495,0.6011648565482237,FALSE
1.1500000000000001,GPD,63,0.017095303268335856,1.4597497078846762,1.5611916386372213,1.5992824996373938,1.8042859656934007,FALSE
1.2,Pitfall2,50,-2.1924253591803815,-1.391275608463349,-1.3561378045108028,-1.3220752772403095,-1.137059041093416,FALSE
1.2,Pitfall4,41,-0.9302406609372942,-0.6779933149346593,-0.640996730359897,-0.6051902785165946,-0.41161947429300266,FALSE
1.2,Pitfall6,36,-0.5042026727062621,-0.25651986259014503,-0.20911430984669377,-0.17268617501395897,0.02391516152921567,TRUE
1.2,Pitfall8,35,-0.19683866658891647,0.043587674217790834,0.10126191949130013,0.1380090628462817,0.33616162532548494,TRUE
1.2,Pitfall10,32,0.04376149466282828,0.2659223143597503,0.3436992945118224,0.38064053927052116,0.579735674575647,FALSE
1.2,GPD,63,0.05132695763130726,1.471155522986647,1.5709564095307829,1.6084303129611404,1.8101071491011664,FALSE
