IL_GPD_m,method,n_visits,min_eff_z,q25_eff_z,median_eff_z,q75_eff_z,max_eff_z,common_reference_within_observed_range
0.8,Pitfall2,50,-2.451517627824951,-1.5086087285593885,-1.467253478785109,-1.4271637701306679,-1.209409903995918,FALSE
0.8,Pitfall4,41,-0.9659961214835225,-0.6691149614393104,-0.6255720297879521,-0.5834298184673391,-0.3556076993478349,FALSE
0.8,Pitfall6,36,-0.46457299781818956,-0.17306404378735074,-0.1172703329156975,-0.074396435137299,0.15699245273060577,TRUE
0.8,Pitfall8,35,-0.10282258046790853,0.1801459109553265,0.2480253043872598,0.29127465753376997,0.5244892524415182,TRUE
0.8,Pitfall10,32,0.18035048799520378,0.44182147238092784,0.5333606717350478,0.5768384714869036,0.8111624224232505,FALSE
0.8,GPD,63,-0.3237953548591823,1.3341942685802965,1.4512168736507898,1.4951674497060767,1.731783650153089,TRUE
0.8500000000000001,Pitfall2,50,-2.4100742821295422,-1.4903194449602966,-1.4499797143120199,-1.4108744481676994,-1.1984677439296336,FALSE
0.8500000000000001,Pitfall4,41,-0.9610312279800858,-0.6714402789204602,-0.628966587090782,-0.5878592195165305,-0.3656314982196752,FALSE
0.8500000000000001,Pitfall6,36,-0.47192104584168015,-0.18757038295489545,-0.13314674192467912,-0.0913256551784444,0.13438124932684253,TRUE
0.8500000000000001,Pitfall8,35,-0.11905376835063808,0.15696615144832016,0.22317869913109625,0.2653660215669409,0.49285380106710586,TRUE
0.8500000000000001,Pitfall10,32,0.15716570489632287,0.41221601023917465,0.5015073738715792,0.5439175331800689,0.7724874273725878,FALSE
0.8500000000000001,GPD,63,-0.2602333907690162,1.3592760818906466,1.4735001618059962,1.5163979436128037,1.747331925874429,TRUE
0.9,Pitfall2,50,-2.371795151061193,-1.4732464612855474,-1.4338368157418822,-1.3956331725129405,-1.1881237818800137,FALSE
0.9,Pitfall4,41,-0.9561616744906268,-0.6732476224707729,-0.6317532170040373,-0.5915936334049432,-0.3744896620709247,FALSE
0.9,Pitfall6,36,-0.4783285655406157,-0.20053397806105971,-0.14736514505874698,-0.10650829801407308,0.11399463942165933,TRUE
0.9,Pitfall8,35,-0.13359710337171293,0.13605881716757168,0.20074474820347243,0.24195938689625648,0.464202138931091,TRUE
0.9,Pitfall10,32,0.13625376965055608,0.3854235575453785,0.47265619232782985,0.5140885300985174,0.7373884472600875,FALSE
0.9,GPD,63,-0.20286555368799294,1.3812492392827087,1.492905014954705,1.534836733216157,1.7605576131406586,TRUE
0.9500000000000001,Pitfall2,50,-2.3363497928132095,-1.4572943379065797,-1.4187396504585956,-1.3813648021506058,-1.17835714785669,FALSE
0.9500000000000001,Pitfall4,41,-0.9514272572981823,-0.6746507803775086,-0.634056560065698,-0.594768203818273,-0.3823741149339934,FALSE
0.9500000000000001,Pitfall6,36,-0.48396032341129486,-0.21219224868580291,-0.16017686742318873,-0.1202063742561752,0.09551294310681976,TRUE
0.9500000000000001,Pitfall8,35,-0.1467075114649812,0.11709845764406375,0.1803810834826483,0.22070160631813737,0.4381229945107596,TRUE
0.9500000000000001,Pitfall10,32,0.11728918080193493,0.36105344615472407,0.44639364454791086,0.4869271436685325,0.7053827627069267,FALSE
0.9500000000000001,GPD,63,-0.15080836339048226,1.4006476291483103,1.5099383350753086,1.5509805351830754,1.7719021832272788,TRUE
1,Pitfall2,50,-2.303443132867453,-1.4423694281744317,-1.4046034062826236,-1.3679930890207634,-1.1691381112281858,FALSE
1,Pitfall4,41,-0.9468502447709424,-0.6757354419178264,-0.6359716073634658,-0.5974869244274356,-0.3894375187276425,FALSE
1,Pitfall6,36,-0.48894570378129043,-0.22273685243410746,-0.17178548549267086,-0.13263261926834016,0.07867399482386575,TRUE
