site_id,n_gpd_eff,days_gpd,visit_available,IL_effective_m,eff_gpd,GPD
RMQS_25_AILLEVILLE_640,0,1,FALSE,NA,NA,0
RMQS_25_ALLANCHE_1589,3,1,TRUE,1.471238898038469,1.471238898038469,1
RMQS_25_ALLINGES_1275,2,1,TRUE,1.3141592653589793,1.3141592653589793,1
RMQS_25_ANTHENY_112,0,1,FALSE,NA,NA,0
RMQS_25_ARFEUILLES_1345,3,1,TRUE,1.471238898038469,1.471238898038469,1
RMQS_25_AVESSAC_831,3,1,TRUE,1.471238898038469,1.471238898038469,1
RMQS_25_AZAY-LE-FERRON_1126,4,1,TRUE,1.6283185307179586,1.6283185307179586,1
RMQS_25_BAZORDAN_2186,4,1,TRUE,1.6283185307179586,1.6283185307179586,1
RMQS_25_BEAUCHENE_438,4,1,TRUE,1.6283185307179586,1.6283185307179586,1
RMQS_25_BESSE_1747,4,1,TRUE,1.6283185307179586,1.6283185307179586,1
RMQS_25_BETTEVILLE_153,4,1,TRUE,1.6283185307179586,1.6283185307179586,1
RMQS_25_BEZIERS_2161,4,1,TRUE,1.6283185307179586,1.6283185307179586,1
RMQS_25_BIOL_1517,4,1,TRUE,1.6283185307179586,1.6283185307179586,1
RMQS_25_CANET-DE-SALARS_1882,4,1,TRUE,1.6283185307179586,1.6283185307179586,1
RMQS_25_CARSAC-DE-GURSON_1657,4,1,TRUE,1.6283185307179586,1.6283185307179586,1
RMQS_25_CASTANET_1878,2,1,TRUE,1.3141592653589793,1.3141592653589793,1
RMQS_25_CASTELLET-LES-SAUSSES_1948,0,1,FALSE,NA,NA,0
RMQS_25_CHAMBLAC_325,4,1,TRUE,1.6283185307179586,1.6283185307179586,1
RMQS_25_CHAMONIX-MONT-BLANC_1402,0,1,FALSE,NA,NA,0
RMQS_25_CHATEAU-L'EVEQUE_1578,4,1,TRUE,1.6283185307179586,1.6283185307179586,1
RMQS_25_CHATRES-SUR-CHER_997,4,1,TRUE,1.6283185307179586,1.6283185307179586,1
RMQS_25_CHAUSSEE-SUR-MARNE_401,0,1,FALSE,NA,NA,0
RMQS_25_CLEMONT_903,2,1,TRUE,1.3141592653589793,1.3141592653589793,1
RMQS_25_CUGNEY_970,4,1,TRUE,1.6283185307179586,1.6283185307179586,1
RMQS_25_DAMBACH-LA-VILLE_10594,2,1,TRUE,1.3141592653589793,1.3141592653589793,1
RMQS_25_DINGY-SAINT-CLAIR_1399,0,1,FALSE,NA,NA,0
RMQS_25_DOMPAIRE_647,2,1,TRUE,1.3141592653589793,1.3141592653589793,1
RMQS_25_EBERSHEIM_594,4,1,TRUE,1.6283185307179586,1.6283185307179586,1
RMQS_25_EPANNES_1283,4,1,TRUE,1.6283185307179586,1.6283185307179586,1
RMQS_25_ESPAGNAC_1584,4,1,TRUE,1.6283185307179586,1.6283185307179586,1
RMQS_25_FONDETTES_946,3,1,TRUE,1.471238898038469,1.471238898038469,1
RMQS_25_FRETOY_456,0,1,FALSE,NA,NA,0
RMQS_25_GAREIN_1911,0,1,FALSE,NA,NA,0
RMQS_25_GAS_509,3,1,TRUE,1.471238898038469,1.471238898038469,1
RMQS_25_GEDRE_2269,4,1,TRUE,1.6283185307179586,1.6283185307179586,1
RMQS_25_HORPS_557,4,1,TRUE,1.6283185307179586,1.6283185307179586,1
RMQS_25_HOUTAUD_1107,4,1,TRUE,1.6283185307179586,1.6283185307179586,1
RMQS_25_JOUILLAT_1295,4,1,TRUE,1.6283185307179586,1.6283185307179586,1
RMQS_25_LAGUIOLE_1756,4,1,TRUE,1.6283185307179586,1.6283185307179586,1
RMQS_25_LESCOUT_2110,4,1,TRUE,1.6283185307179586,1.6283185307179586,1
RMQS_25_LITZ_199,4,1,TRUE,1.6283185307179586,1.6283185307179586,1
RMQS_25_LIVRE-SUR-CHANGEON_612,4,1,TRUE,1.6283185307179586,1.6283185307179586,1
RMQS_25_LONDE-LES-MAURES_2207,4,1,TRUE,1.6283185307179586,1.6283185307179586,1
RMQS_25_LUGNY-LES-CHAROLLES_1264,2,1,TRUE,1.3141592653589793,1.3141592653589793,1
RMQS_25_MALREVERS_1635,3,1,TRUE,1.471238898038469,1.471238898038469,1
RMQS_25_MELLERAY_680,3,1,TRUE,1.471238898038469,1.471238898038469,1
RMQS_25_MONPEZAT_2099,0,1,FALSE,NA,NA,0
RMQS_25_MONT-PRES-CHAMBORD_899,4,1,TRUE,1.6283185307179586,1.6283185307179586,1
RMQS_25_MONTPEZAT_2099,4,1,TRUE,1.6283185307179586,1.6283185307179586,1
RMQS_25_NAIZIN_663,4,1,TRUE,1.6283185307179586,1.6283185307179586,1
RMQS_25_OUESSANT_418,4,1,TRUE,1.6283185307179586,1.6283185307179586,1
RMQS_25_PAUILLAC_1571,4,1,TRUE,1.6283185307179586,1.6283185307179586,1
RMQS_25_PERREUX_803,4,1,TRUE,1.6283185307179586,1.6283185307179586,1
RMQS_25_POMMERAYE_939,4,1,TRUE,1.6283185307179586,1.6283185307179586,1
RMQS_25_PRESSAGNY-L'ORGUEILLEUX_277,4,1,TRUE,1.6283185307179586,1.6283185307179586,1
RMQS_25_RAUVILLE-LA-BIGOT_147,0,1,FALSE,NA,NA,0
RMQS_25_REALLON_1773,0,1,FALSE,NA,NA,0
RMQS_25_RHODES_412,4,1,TRUE,1.6283185307179586,1.6283185307179586,1
RMQS_25_ROCBARON_2172,1,1,TRUE,1.1570796326794897,1.1570796326794897,1
RMQS_25_SAILLY-EN-OSTREVENT_53,4,1,TRUE,1.6283185307179586,1.6283185307179586,1
RMQS_25_SAINT-AGNANT-PRES-CROCQ_1421,4,1,TRUE,1.6283185307179586,1.6283185307179586,1
RMQS_25_SAINT-GERMAIN_637,4,1,TRUE,1.6283185307179586,1.6283185307179586,1
RMQS_25_SAINT-GINEIS-EN-COIRON_1764,4,1,TRUE,1.6283185307179586,1.6283185307179586,1
RMQS_25_SAINT-SAUVEUR-SUR-TINEE_1904,4,1,TRUE,1.6283185307179586,1.6283185307179586,1
RMQS_25_SALON-DE_PROVENCE_2079,4,1,TRUE,1.6283185307179586,1.6283185307179586,1
RMQS_25_SANGUINET_1778,4,1,TRUE,1.6283185307179586,1.6283185307179586,1
RMQS_25_SCEAUX-DU-GATINAIS_688,2,1,TRUE,1.3141592653589793,1.3141592653589793,1
RMQS_25_SUSVILLE_1685,3,1,TRUE,1.471238898038469,1.471238898038469,1
RMQS_25_THARAUX_1890,3,1,TRUE,1.471238898038469,1.471238898038469,1
RMQS_25_THILLOMBOIS_347,4,1,TRUE,1.6283185307179586,1.6283185307179586,1
RMQS_25_TRIAIZE_1238,4,1,TRUE,1.6283185307179586,1.6283185307179586,1
RMQS_25_VOUZIERS_210,4,1,TRUE,1.6283185307179586,1.6283185307179586,1
RMQS_25_YGRANDE_1216,4,1,TRUE,1.6283185307179586,1.6283185307179586,1
