method_level,n_sites_available,n_sites_total,prop_sites_available
DVAC,41,73,0.5616438356164384
GPD,62,73,0.8493150684931506
Pitfall10,68,73,0.9315068493150684
Pitfall2,65,73,0.8904109589041096
Pitfall4,68,73,0.9315068493150684
Pitfall6,68,73,0.9315068493150684
Pitfall8,68,73,0.9315068493150684
TM,47,73,0.6438356164383562
