method,p_med,n_sp
GPD,0.7285694117074047,31
Pitfall10,0.9999975717330712,31
Pitfall2,0.5328357490358351,31
Pitfall4,0.7496111943178032,31
Pitfall6,0.8834470449739723,31
Pitfall8,0.954941360185964,31
