method,p_med,n_sp
GPD,0.7285694117074047,29
Pitfall10,0.9999975717330712,29
Pitfall2,0.5489284471988811,29
Pitfall4,0.7496111943178032,29
Pitfall6,0.8457560520933439,29
Pitfall8,0.9524042660252722,29
