npar,AIC,BIC,logLik,-2*log(L),Chisq,Df,Pr(>Chisq)
10,626.3497693463041,660.6432256358486,-303.17488467315206,606.3497693463041,NA,NA,NA
15,629.2664783482231,680.7066627825398,-299.63323917411157,599.2664783482231,7.083290998080997,5,0.21451918978184964
