species,genus,family,difficult_genus
cdref:216198,Actaletes,Actaletidae,FALSE
cdref:216344,Arrhopalites,Arrhopalitidae,FALSE
cdref:216345,Arrhopalites,Arrhopalitidae,FALSE
cdref:216346,Arrhopalites,Arrhopalitidae,FALSE
cdref:216347,Arrhopalites,Arrhopalitidae,FALSE
cdref:216348,Arrhopalites,Arrhopalitidae,FALSE
cdref:216349,Arrhopalites,Arrhopalitidae,FALSE
cdref:216350,Arrhopalites,Arrhopalitidae,FALSE
cdref:216351,Arrhopalites,Arrhopalitidae,FALSE
cdref:216352,Arrhopalites,Arrhopalitidae,FALSE
cdref:216353,Arrhopalites,Arrhopalitidae,FALSE
cdref:216354,Arrhopalites,Arrhopalitidae,FALSE
cdref:216355,Arrhopalites,Arrhopalitidae,FALSE
cdref:216356,Arrhopalites,Arrhopalitidae,FALSE
cdref:216357,Arrhopalites,Arrhopalitidae,FALSE
cdref:216358,Arrhopalites,Arrhopalitidae,FALSE
cdref:216359,Arrhopalites,Arrhopalitidae,FALSE
cdref:216360,Arrhopalites,Arrhopalitidae,FALSE
cdref:216361,Bourletiella,Bourletiellidae,FALSE
cdref:216365,Bourletiella,Bourletiellidae,FALSE
cdref:216366,Bourletiella,Bourletiellidae,FALSE
cdref:216367,Bourletiella,Bourletiellidae,FALSE
cdref:216362,Bourletiella,Bourletiellidae,FALSE
cdref:216368,Bourletiella,Bourletiellidae,FALSE
cdref:216363,Bourletiella,Bourletiellidae,FALSE
cdref:216369,Bourletiella,Bourletiellidae,FALSE
cdref:216364,Bourletiella,Bourletiellidae,FALSE
cdref:216370,Deuterosminthurus,Bourletiellidae,FALSE
cdref:216371,Deuterosminthurus,Bourletiellidae,FALSE
cdref:216372,Deuterosminthurus,Bourletiellidae,FALSE
cdref:216373,Deuterosminthurus,Bourletiellidae,FALSE
cdref:216374,Fasciosminthurus,Bourletiellidae,FALSE
cdref:216375,Fasciosminthurus,Bourletiellidae,FALSE
cdref:216376,Fasciosminthurus,Bourletiellidae,FALSE
cdref:216377,Fasciosminthurus,Bourletiellidae,FALSE
cdref:216378,Fasciosminthurus,Bourletiellidae,FALSE
cdref:216379,Fasciosminthurus,Bourletiellidae,FALSE
cdref:216380,Fasciosminthurus,Bourletiellidae,FALSE
cdref:216381,Fasciosminthurus,Bourletiellidae,FALSE
cdref:216382,Fasciosminthurus,Bourletiellidae,FALSE
cdref:216383,Heterosminthurus,Bourletiellidae,FALSE
cdref:216384,Heterosminthurus,Bourletiellidae,FALSE
cdref:216385,Heterosminthurus,Bourletiellidae,FALSE
cdref:215871,Brachystomella,Brachystomellidae,FALSE
cdref:215872,Brachystomella,Brachystomellidae,FALSE
cdref:215873,Brachystomella,Brachystomellidae,FALSE
cdref:216312,Cyphoderus,Cyphoderidae,FALSE
cdref:216313,Cyphoderus,Cyphoderidae,FALSE
cdref:216314,Cyphoderus,Cyphoderidae,FALSE
cdref:216315,Cyphoderus,Cyphoderidae,FALSE
cdref:216316,Megacyphoderus,Cyphoderidae,FALSE
cdref:216317,Megacyphoderus,Cyphoderidae,FALSE
cdref:216386,Dicyrtoma,Dicyrtomidae,FALSE
cdref:216387,Dicyrtomina,Dicyrtomidae,FALSE
cdref:216388,Dicyrtomina,Dicyrtomidae,FALSE
cdref:216389,Dicyrtomina,Dicyrtomidae,FALSE
cdref:216390,Dicyrtomina,Dicyrtomidae,FALSE
cdref:216391,Ptenothrix,Dicyrtomidae,FALSE
cdref:216291,Bessoniella,Entomobryidae,FALSE
cdref:216311,Coecobrya,Entomobryidae,FALSE
cdref:216295,Entomobrya,Entomobryidae,TRUE
cdref:216296,Entomobrya,Entomobryidae,TRUE
cdref:216297,Entomobrya,Entomobryidae,TRUE
cdref:216298,Entomobrya,Entomobryidae,TRUE
cdref:216299,Entomobrya,Entomobryidae,TRUE
cdref:216300,Entomobrya,Entomobryidae,TRUE
cdref:216301,Entomobrya,Entomobryidae,TRUE
cdref:216302,Entomobrya,Entomobryidae,TRUE
cdref:216303,Entomobrya,Entomobryidae,TRUE
cdref:216304,Entomobrya,Entomobryidae,TRUE
cdref:216305,Entomobrya,Entomobryidae,TRUE
cdref:216306,Entomobrya,Entomobryidae,TRUE
cdref:216307,Entomobrya,Entomobryidae,TRUE
cdref:216308,Entomobrya,Entomobryidae,TRUE
cdref:216309,Entomobrya,Entomobryidae,TRUE
cdref:216310,Entomobrya,Entomobryidae,TRUE
cdref:216294,Entomobryoides,Entomobryidae,FALSE
cdref:216293,Haloentomobrya,Entomobryidae,FALSE
cdref:216288,Heteromurus,Entomobryidae,FALSE
cdref:216289,Heteromurus,Entomobryidae,FALSE
cdref:216290,Heteromurus,Entomobryidae,FALSE
cdref:216268,Lepidocyrtus,Entomobryidae,TRUE
cdref:216269,Lepidocyrtus,Entomobryidae,TRUE
cdref:216270,Lepidocyrtus,Entomobryidae,TRUE
cdref:216271,Lepidocyrtus,Entomobryidae,TRUE
cdref:28902,Lepidocyrtus,Entomobryidae,TRUE
cdref:216272,Lepidocyrtus,Entomobryidae,TRUE
cdref:216273,Lepidocyrtus,Entomobryidae,TRUE
cdref:216274,Lepidocyrtus,Entomobryidae,TRUE
cdref:216275,Orchesella,Entomobryidae,FALSE
cdref:216276,Orchesella,Entomobryidae,FALSE
cdref:216277,Orchesella,Entomobryidae,FALSE
cdref:216278,Orchesella,Entomobryidae,FALSE
cdref:216279,Orchesella,Entomobryidae,FALSE
cdref:216280,Orchesella,Entomobryidae,FALSE
cdref:216281,Orchesella,Entomobryidae,FALSE
cdref:216282,Orchesella,Entomobryidae,FALSE
cdref:216283,Orchesella,Entomobryidae,FALSE
cdref:216284,Orchesella,Entomobryidae,FALSE
