IL_GPD_m,method,n_species,median_p,q25_p,q75_p,mean_logit_p
0.8,Pitfall2,42,0.3637701841532235,0.2520446652905921,0.506311489530208,-0.5898033083503562
0.8,Pitfall4,42,0.6020033970276457,0.3963255033012268,0.6782863818206661,0.7179578694925736
0.8,Pitfall6,42,0.6863378575668266,0.5892999154228371,0.8543567702383358,1.5632184471186783
0.8,Pitfall8,42,0.7872877344250511,0.6681729855561214,0.8908168201755833,3.0535554096879274
0.8,Pitfall10,42,0.871670400047858,0.7803982785512945,0.9998587166611012,4.125977110057871
0.8,GPD,42,0.7289868837779274,0.6304592732516249,0.8142857420968915,1.2503388510491764
0.8500000000000001,Pitfall2,42,0.36377669149091457,0.252039773390354,0.5063337988731199,-0.5896145906504954
0.8500000000000001,Pitfall4,42,0.6019984055753078,0.3963283507303479,0.6782063043648634,0.7179855527644663
0.8500000000000001,Pitfall6,42,0.6863310556646712,0.5892707833304618,0.8542975625373941,1.555551357269463
0.8500000000000001,Pitfall8,42,0.7872111527214809,0.6681698519977552,0.8907952517337199,3.0565626648475717
0.8500000000000001,Pitfall10,42,0.8716445231269261,0.7803652976134687,0.9998459425191852,4.087453005780652
0.8500000000000001,GPD,42,0.7289957185169396,0.630494670836502,0.8144144016878764,1.2504381746014972
0.9,Pitfall2,42,0.36377682804401146,0.2521333415901389,0.5063533323220184,-0.5895686304639746
0.9,Pitfall4,42,0.6019879315115961,0.39641090693689573,0.6783303045003606,0.7170238911476632
0.9,Pitfall6,42,0.6863188675133434,0.5893705956594821,0.8542946749694045,1.563261041317885
0.9,Pitfall8,42,0.787216498211203,0.6681651633462393,0.8907837274227338,3.059419677924213
0.9,Pitfall10,42,0.8716235941712163,0.7803324760278131,0.9997927174842934,4.055869432467745
0.9,GPD,42,0.728993061172676,0.6305250596683116,0.8144151704337868,1.250570705998421
0.9500000000000001,Pitfall2,42,0.36376659599383776,0.25211497075065903,0.5063692339207546,-0.5895662128749158
0.9500000000000001,Pitfall4,42,0.6019796640387949,0.39640248279137896,0.678307614119068,0.7180129093773091
0.9500000000000001,Pitfall6,42,0.6863153233832091,0.5892756895020456,0.8543063677461699,1.5631884359554071
0.9500000000000001,Pitfall8,42,0.7872316388388184,0.6681597506452486,0.8907832221073329,3.0592860548857312
0.9500000000000001,Pitfall10,42,0.8715990726341718,0.7803041713450269,0.9998563012315488,4.0907444940150555
0.9500000000000001,GPD,42,0.728983752357661,0.6305493102217568,0.8144947662268466,1.250440486081626
1,Pitfall2,42,0.36378638113499584,0.2520324108828963,0.5063820603453743,-0.589732808858974
1,Pitfall4,42,0.6019744079569262,0.39630376771088915,0.6782974967411352,0.7178885146156629
1,Pitfall6,42,0.6863051756900771,0.5892326693834855,0.8542784024164054,1.5631323368368717
1,Pitfall8,42,0.7871932592594659,0.6681622360713294,0.8907574888855946,3.0294696671383314
1,Pitfall10,42,0.8715850657436194,0.7802807838188816,0.9997826179259426,3.9317594187484106
1,GPD,42,0.7289834715548157,0.6305719620732111,0.8144503545026294,1.2506544500457775
1.05,Pitfall2,42,0.3637659915321362,0.25202365363266516,0.5063939942496685,-0.5897992554886565
1.05,Pitfall4,42,0.601969446570304,0.39630437474490804,0.678295598590688,0.7179089441299862
1.05,Pitfall6,42,0.6863022723498491,0.5892911304871933,0.8542554679289849,1.5606886581512005
1.05,Pitfall8,42,0.7872424136444751,0.6681549515541985,0.8907431862842523,3.0349768535224078
1.05,Pitfall10,42,0.8715617373576399,0.7802770272973861,0.9998555645392333,4.062424392696516
1.05,GPD,42,0.7289391850424329,0.6305926098637908,0.814558254237637,1.250854963686269
1.1,Pitfall2,42,0.3637559296518652,0.25202030291904687,0.5064038181427258,-0.5900295324792464
1.1,Pitfall4,42,0.6019632105690623,0.39632241318880407,0.6782703903699538,0.717736333008838
1.1,Pitfall6,42,0.6862978489131233,0.5892777433848454,0.8542545110834374,1.5629894595458955
1.1,Pitfall8,42,0.7872590566534592,0.668160281880288,0.8907309461133011,3.040833603120717
1.1,Pitfall10,42,0.8715408417555068,0.7802575399918192,0.9998415078563805,4.124226274979125
1.1,GPD,42,0.7289523681772777,0.6306107750728582,0.8144650857788411,1.250871341624864
1.1500000000000001,Pitfall2,42,0.3637452681701021,0.25201844015920716,0.5064123580613862,-0.589589422458682
1.1500000000000001,Pitfall4,42,0.6019577504261172,0.39631262153605873,0.67814315491681465,0.7179802697823447
1.1500000000000001,Pitfall6,42,0.6862920864840836,0.5892486585040773,0.8542418113440445,1.5633120202701782
1.1500000000000001,Pitfall8,42,0.7872544986942518,0.668158519869314,0.8907200502074951,3.059325625087933
1.1500000000000001,Pitfall10,42,0.8715201370168426,0.7802395602964078,0.999858865036262,4.192118639773721
1.1500000000000001,GPD,42,0.7289640291280051,0.6306262939781696,0.8144895406603282,1.2507195144007732
1.2,Pitfall2,42,0.36374700882995376,0.2520306199424978,0.506420126106658,-0.5893843726767168
1.2,Pitfall4,42,0.601954232099593,0.39630528794938874,0.6783142254040844,0.7180903184294906
1.2,Pitfall6,42,0.6862888378952421,0.5892229403951534,0.8542562422450437,1.5634272334390522
1.2,Pitfall8,42,0.7871534055939662,0.6681572137127174,0.8907105249134444,3.0524421539061057
1.2,Pitfall10,42,0.8714997897275395,0.780224425461044,0.9998800297275848,4.184123002014766
1.2,GPD,42,0.728945333920902,0.6306393122839979,0.8145832173956359,1.2510641433881882
