"metric","test_method","test_inter"
"Richness (q = 0)",7.30931938252668e-50,0.00128065217992746
"Hill diversity (q = 1)",4.77594970045347e-15,0.00173606764220185
"Hill diversity (q = 2)",3.47593903897407e-07,0.0326500301456353
