npar,AIC,BIC,logLik,-2*log(L),Chisq,Df,Pr(>Chisq)
10,500.8673578525836,532.7969263614857,-240.4336789262918,480.8673578525836,NA,NA,NA
11,502.51322770666263,537.635753066455,-240.25661385333132,480.51322770666263,0.35413014592097625,1,0.5517844146731169
