npar,AIC,BIC,logLik,-2*log(L),Chisq,Df,Pr(>Chisq)
9,498.8703243416882,527.6069359997001,-240.4351621708441,480.8703243416882,NA,NA,NA
14,508.1961261972399,552.8975221097028,-240.09806309861995,480.1961261972399,0.6741981444483258,5,0.9843546743795974
