method,p_med,n_sp
GPD,0.719889209047067,33
Pitfall10,0.8955440901492361,33
Pitfall2,0.3947539057477932,33
Pitfall4,0.6202367825319112,33
Pitfall6,0.7271454993788895,33
Pitfall8,0.8049334213900714,33
