k,estimate,se,lcl,ucl
5,1.8772026719175394,0.7046446129798032,0.49609923047712523,3.2583061133579534
6,1.3771528220109153,0.5803898831533573,0.2395886510303351,2.514716992991495
7,1.2254948207805236,0.5757265258475915,0.09707083011924422,2.353918811441803
8,1.22358314790358,0.6295958946466043,-0.010424805603764353,2.457591101410924
9,1.165866192042985,0.6459692604944636,-0.10023355852616356,2.431965942612133
10,1.3385180773530696,0.6378531599995476,0.08832588375395622,2.588710270952183
