k,estimate,se,lcl,ucl
5,4.417662988368316,5.043128236641603,-5.466868355449225,14.302194332185856
5,1.6545664316782753,1.6613003777526447,-1.601582308716908,4.910715172073459
5,2.8631027823135393,1.1968276472332804,0.5173205937363097,5.208884970890769
5,6.419558212111036,3.4957263906499216,-0.43206551356281064,13.271181937784881
5,10.583936191409743,6.332461789622003,-1.8276889162493823,22.995561299068868
5,13.669051108926189,5.254971019147953,3.3693079113962003,23.968794306456175
5,4.772637610362813,2.6754370849358122,-0.47121907611137903,10.016494296837006
5,1.626338854047276,1.605400331136437,-1.5202457949801405,4.772923503074693
5,-10.363517767351523,3.0477562255518746,-16.337119969433196,-4.389915565269848
5,0.44115952376499773,5.530370386152608,-10.398366433094113,11.28068548062411
5,2.5917507006507496,2.0339097949907736,-1.3947124975311667,6.578213898832666
5,15.567619301930373,5.682562735602908,4.429796340148673,26.705442263712072
5,-0.7854007386126043,0.9529643066323275,-2.653210779611966,1.0824093023867576
5,0.521426110438109,1.0906844289730155,-1.6163153703490012,2.659167591225219
5,-0.15316646701550657,2.067470326035971,-4.205408306046009,3.899075372014996
5,0.7300109956775181,0.8408490132599343,-0.918053070311953,2.3780750616669892
5,1.74139909010218,2.3761050344951893,-2.9157667775083906,6.398564957712751
5,3.312121413862375,4.667584822525886,-5.836344838288362,12.460587666013112
5,-3.4707545410328207,5.598522354707118,-14.443858356258772,7.50234927419313
5,4.06377509328254,2.1056176291361015,-0.0632354598242193,8.190785646389298
5,7.3828747370125924,4.447078401521115,-1.3333989299687943,16.09914840399398
5,-1.3923929331128093,2.362329113472185,-6.022557995518292,3.237772129292673
5,2.0300137749563656,3.9484164251963074,-5.708882418428397,9.768909968341127
5,0.559758296584253,2.512693988546374,-4.365121920966641,5.484638514135146
5,1.733946850040082,1.4663074340097964,-1.1400157206191188,4.607909420699283
5,0.7216468677778676,1.2746778776637637,-1.7767217724431092,3.2200155079988444
5,1.39689051620087,1.2953766151654922,-1.1420476495234948,3.935828681925235
5,4.318575314386842,4.4141484140856475,-4.333155577221027,12.97030620599471
5,26.75993894582289,12.084263110391962,3.0747832494546437,50.44509464219114
5,1.2688282664567292,0.9238183631356963,-0.5418557252892355,3.079512258202694
5,5.865796852655712,3.8701610169687384,-1.7197187406030157,13.45131244591444
5,2.6034807886735827,1.7364762204437219,-0.8000126033961119,6.006974180743278
5,-2.064135096658799,1.634796159792234,-5.268335569851578,1.1400653765339794
5,-1.5443610114124704,1.394281304731748,-4.277152368686696,1.1884303458617556
5,0.19186287535682198,0.9111104009109496,-1.5939135104286393,1.977639261142283
5,-1.0166644015294048,1.0963194214118703,-3.1654504674966706,1.1321216644378609
