protocol,n_cells_total,n_cells_missing,prop_missing,perc_missing
Pitfall10,11457,5985,0.5223880597014925,52.23880597014925
Pitfall8,11457,5472,0.47761194029850745,47.76119402985074
Pitfall6,11457,5301,0.4626865671641791,46.26865671641791
Pitfall4,11457,4446,0.3880597014925373,38.80597014925373
Pitfall2,11457,2907,0.2537313432835821,25.37313432835821
GPD,11457,684,0.05970149253731343,5.970149253731343
