DEPARTEMENT;CD_DEPT;NOM_LOCALITE;LIEU-DIT;ALTITUDE;HABITAT;REMARQUE_STATION;FAMILLE;LB_NOM;NOM_VALIDE;CD_COLLECTION;NOM_CITE;male;femelle;ABONDANCE_TOTALE;remarque;A VERIFIER/PHOTO;DETERMINATEUR;MASSE;
TARN;81;Belcastel;;579;ouvert;;Carabidae;Anchomenus dorsalis;Anchomenus dorsalis (Pontoppidan, 1763);LABR-15;Anchomenus dorsalis;1;;1;oui ;;L.ABRAHAM;12;
TARN;81;Belcastel;;579;ouvert;;Carabidae;Anchomenus dorsalis;Anchomenus dorsalis (Pontoppidan, 1763);LABR-16;Anchomenus dorsalis;;1;1;oui ;;L.ABRAHAM;15;
TARN;81;Belcastel;;579;ouvert;;Carabidae;Anchomenus dorsalis;Anchomenus dorsalis (Pontoppidan, 1763);LABR-17;Anchomenus dorsalis;;1;1;oui ;;L.ABRAHAM;8;
TARN;81;Belcastel;;579;ouvert;;Carabidae;Poecilus cupreus;Poecilus cupreus (Linnaeus, 1758);LABR-18;Poecilus cupreus;1;;1;oui;;L.ABRAHAM;95;
TARN;81;Belcastel;;579;ouvert;;Carabidae;Poecilus cupreus;Poecilus cupreus (Linnaeus, 1758);LABR-19;Poecilus cupreus;;1;1;oui;;L.ABRAHAM;109;
TARN;81;Belcastel;;579;ouvert;;Carabidae;Poecilus cupreus;Poecilus cupreus (Linnaeus, 1758);LABR-20;Poecilus cupreus;;1;1;oui;;L.ABRAHAM;113;
TARN;81;Belcastel;;579;ouvert;;Carabidae;Harpalus distinguendus;Harpalus distinguendus (Duftschmid, 1812);LABR-21;harpalus distinguendus;1;;1;oui;;L.ABRAHAM;59;
TARN;81;Belcastel;;579;ouvert;;Carabidae;Bembidion properans;Bembidion properans (Stephens, 1828);LABR-23;Bembidion properans;;;1;à verifier/determiner;x;L.ABRAHAM;2.16;
TARN;81;Belcastel;;579;ouvert;;Carabidae;Carabus auratus;Carabus auratus Linnaeus, 1761;LABR-26;Carabus auratus  ;;1;1;oui;;L.ABRAHAM;639;
TARN;81;Belcastel;;579;ouvert;;Carabidae;Carabus auratus;Carabus auratus Linnaeus, 1761;LABR-27;Carabus auratus;1;;1;oui;;L.ABRAHAM;598;
TARN;81;Belcastel;;579;ouvert;;Carabidae;Carabus auratus;Carabus auratus Linnaeus, 1761;LABR-28;Carabus auratus;1;;1;oui;;L.ABRAHAM;463;
TARN;81;Belcastel;;579;ouvert;;Carabidae;Carabus auratus;Carabus auratus Linnaeus, 1761;LABR-29;Carabus auratus;1;;1;oui;;L.ABRAHAM;163;
TARN;81;Belcastel;;579;ouvert;;Carabidae;Carabus auratus;Carabus auratus Linnaeus, 1761;LABR-30;Carabus auratus;1;;1;oui;;L.ABRAHAM;544;
TARN;81;Belcastel;;579;ouvert;;Carabidae;Poecilus cupreus;Poecilus cupreus (Linnaeus, 1758);LABR-31;Poecilus cupreus;1;;1;oui;;L.ABRAHAM;77;
TARN;81;Belcastel;;579;ouvert;;Carabidae;Poecilus cupreus;Poecilus cupreus (Linnaeus, 1758);LABR-32;Poecilus cupreus;;1;1;oui;;L.ABRAHAM;98;
TARN;81;Belcastel;;579;ouvert;;Carabidae;Anchomenus dorsalis;Anchomenus dorsalis (Pontoppidan, 1763);LABR-33;Anchomenus dorsalis;;1;1;oui;;L.ABRAHAM;11.64;
TARN;81;Belcastel;;579;ouvert;;Carabidae;Harpalus distinguendus;Harpalus distinguendus (Duftschmid, 1812);LABR-34;harpalus distinguendus;1;;1;oui;x;L.ABRAHAM;40;
TARN;81;Belcastel;;579;ouvert;;Carabidae;Parophonus maculicornis;Parophonus maculicornis (Duftschmid, 1812);LABR-37;Parophonus maculicornis;;1;1;properans;;L.ABRAHAM;14;
TARN;81;Belcastel;;579;ouvert;;Carabidae;Harpalus distinguendus;Harpalus distinguendus (Duftschmid, 1812);LABR-38;harpalus distinguendus;1;;0;oui;x;L.ABRAHAM;40;
TARN;81;Belcastel;;579;ouvert;;Carabidae;Carabus auratus;Carabus auratus Linnaeus, 1761;LABR-39;Carabus auratus;1;;1;oui;;L.ABRAHAM;556;
TARN;81;Belcastel;;579;ouvert;;Carabidae;Carabus auratus;Carabus auratus Linnaeus, 1761;LABR-40;Carabus auratus;1;;1;oui;;L.ABRAHAM;528;
TARN;81;Belcastel;;579;ouvert;;Carabidae;Carabus auratus;Carabus auratus Linnaeus, 1761;LABR-41;Carabus auratus;1;;1;oui;;L.ABRAHAM;401;
TARN;81;Belcastel;;579;ouvert;;Carabidae;Poecilus cupreus;Poecilus cupreus (Linnaeus, 1758);LABR-42;Poecilus cupreus;;1;1;oui;;L.ABRAHAM;104;
