no_campagne;id_site;date_complete;insee_commune;nom_commune;code_dept;site_officiel;x_theo;y_theo;classe_mat1p_million_dexpert;libelle_mat1p_million_dexpert;classe_mat2p_million_dexpert;libelle_mat2p_million_dexpert;classe_mat3p_million_dexpert;libelle_mat3p_million_dexpert;rp_95_nom;rp_2008_nom;rp_95_ger;signific_ger_95;rp_2008_ger;signific_ger_2008;occupation1;desc_code_occupation1;occupation3;desc_code_occupation3
1;49;10/10/2003;62683;QUOEUX-HAUT-MAINIL;62;True;635664.72;7021395.2;400;Sandy materials;220;Secondary chalk;ND;ND;RANKOSOL complexe issu de materiaux interstratifies a  texture variable;ND;115;RANKOSOL;ND;ND;1;successions culturales;150;jachere fixe
1;50;10/09/2003;62791;SERICOURT;62;True;651656.06;7021261.04;520;Eolian loam;ND;ND;ND;ND;BRUNISOL redoxique, luvique, limoneux, issu de loess;ND;16;BRUNISOL;ND;ND;1;successions culturales;112;systeme de rotations sans prairie sans interculture
1;51;02/09/2003;62630;NOYELLE-VION;62;True;667647.43;7021126.67;510;Residual loam;ND;ND;ND;ND;BRUNISOL luvique, limoneux, issu de limon colluvionne.;ND;16;BRUNISOL;ND;ND;1;successions culturales;112;systeme de rotations sans prairie sans interculture
1;52;23/07/2003;62041;ARRAS;62;True;683638.75;7020992.13;520;Eolian loam;ND;ND;ND;ND;BRUNISOL luvique, limoneux, tronque, issu de loess, cultive.;ND;16;BRUNISOL;ND;ND;1;successions culturales;112;systeme de rotations sans prairie sans interculture
1;53;04/03/2003;62734;SAILLY-EN-OSTREVENT;62;True;699630.08;7020857.39;510;Residual loam;910;Organic materials;200;Calcareous rocks;FLUVIOSOL limoneux  carbonatea  horizon tourbeux de profondeurb 50-70cm  sous prairie permanante;ND;47;FLUVIOSOL;ND;ND;2;surfaces toujours en herbe;220;STH > 10 ans naturelle ou semee
1;54;10/10/2002;59379;MARCQ-EN-OSTREVENT;59;True;715621.46;7020722.39;521;Loess;ND;ND;ND;ND;NEOLUVISOL redoxique, limoneux, issu de loess, sur materiau remanie en profondeur;ND;77;NEOLUVISOL;ND;ND;1;successions culturales;113;systeme de rotations sans prairie avec interculture
1;55;05/11/2002;59407;MONCHAUX-SUR-ECAILLON;59;True;731612.9;7020587.14;521;Loess;ND;ND;ND;ND;NEOLUVISOL issu de loess;ND;77;NEOLUVISOL;ND;ND;1;successions culturales;112;systeme de rotations sans prairie sans interculture
1;56;17/12/2002;59251;FRASNOY;59;True;747604.38;7020451.64;521;Loess;ND;ND;ND;ND;BRUNISOL luvique, limoneux, issu de loess;ND;16;BRUNISOL;ND;ND;1;successions culturales;112;systeme de rotations sans prairie sans interculture
1;57;19/11/2002;59225;FEIGNIES;59;True;763595.85;7020315.82;521;Loess;ND;ND;ND;ND;NEOLUVISOL redoxique limoneux, issu de loess;ND;77;NEOLUVISOL;ND;ND;2;surfaces toujours en herbe;220;STH > 10 ans naturelle ou semee
1;58;05/10/2006;59324;JEUMONT;59;True;779587.29;7020179.64;300;Clayey materials;ND;ND;ND;ND;ALOCRISOL TYPIQUE PACHIQUE COLLUVIAL sableux a  argileux de bas de pente a  hemimoder;ND;3;ALOCRISOL TYPIQUE;ND;ND;3;surfaces boisees;313;forets mixtes
1;60;24/04/2003;80110;BOISMONT;80;True;603548.35;7005671.72;510;Residual loam;ND;ND;ND;ND;BRUNISOL peu differencie sablo-limoneux, issu de limons de plateau, cultive;ND;16;BRUNISOL;ND;ND;1;successions culturales;112;systeme de rotations sans prairie sans interculture
1;61;12/03/2004;80260;DRUCAT;80;True;619539.48;7005537.99;110;River alluvium;ND;ND;ND;ND;CALCOSOL decarbonate en surface a  horizon reductique de profondeur issu d'alluvions carbonatees;ND;27;CALCOSOL;ND;ND;2;surfaces toujours en herbe;220;STH > 10 ans naturelle ou semee
1;62;03/10/2003;80245;DOMLEGER-LONGVILLERS;80;True;635530.68;7005404.02;510;Residual loam;ND;ND;ND;ND;LUVISOL limoneux battant cultive issu de limons de plateau;ND;69;LUVISOL;ND;ND;1;successions culturales;112;systeme de rotations sans prairie sans interculture
1;63;11/03/2003;80377;GEZAINCOURT;80;True;651521.83;7005269.94;220;Secondary chalk;ND;ND;ND;ND;CALCISOL peu caillouteux recarbonate en surface sur pente issu de craie turonienne en prairie;ND;24;CALCISOL;ND;ND;2;surfaces toujours en herbe;220;STH > 10 ans naturelle ou semee
1;64;23/09/2003;62242;COUIN;62;True;667513.05;7005135.55;510;Residual loam;ND;ND;ND;ND;COLLUVIOSOL brunifie limoneux;ND;34;COLLUVIOSOL;ND;ND;1;successions culturales;112;systeme de rotations sans prairie sans interculture
1;65;03/09/2003;62248;COURCELLES-LE-COMTE;62;True;683504.19;7005000.92;510;Residual loam;ND;ND;ND;ND;COLLUVIOSOL anthropise, brunifie, limoneux, a  granules de craie;ND;34;COLLUVIOSOL;ND;ND;1;successions culturales;112;systeme de rotations sans prairie sans interculture
1;66;24/09/2003;62096;BEAUMETZ-LES-CAMBRAI;62;True;699495.27;7004866.15;520;Eolian loam;ND;ND;ND;ND;BRUNISOL luvique, tronque, limoneux, issu de loess;ND;16;BRUNISOL;ND;ND;1;successions culturales;112;systeme de rotations sans prairie sans interculture
1;67;10/12/2002;59520;RUMILLY-EN-CAMBRESIS;59;True;715486.39;7004731.11;310;Old clayey sedimentary deposits;ND;ND;ND;ND;BRUNISOL-REDOXISOL issu de formations tertiaires argileuses;ND;21;BRUNISOL-REDOXISOL;ND;ND;1;successions culturales;150;jachere fixe
1;68;19/12/2002;59075;BETHENCOURT;59;True;731477.58;7004595.83;521;Loess;ND;ND;ND;ND;BRUNISOL luvique, limoneux, issu de loess;ND;16;BRUNISOL;ND;ND;1;successions culturales;120;grandes cultures et prairies courte duree
1;69;23/01/2003;59242;FONTAINE-AU-BOIS;59;True;747468.76;7004460.29;521;Loess;ND;ND;ND;ND;NEOLUVISOL  redoxique, limoneux, issu de loess;ND;77;NEOLUVISOL;ND;ND;1;successions culturales;120;grandes cultures et prairies courte duree
1;70;02/04/2003;59534;SAINT-HILAIRE-SUR-HELPE;59;True;763459.92;7004324.45;110;River alluvium;ND;ND;ND;ND;FLUVIOSOL-REDOXISOL  limoneux, brunifie;ND;155;FLUVIOSOL-REDOXISOL;ND;ND;2;surfaces toujours en herbe;200;Surface toujours en herbe (STH)
1;71;29/10/2002;59226;FELLERIES;59;True;779451.11;7004188.3;740;Schists;ND;ND;ND;ND;LUVISOL-REDOXISOL limoneux issu de schiste;ND;75;LUVISOL-REDOXISOL;ND;ND;2;surfaces toujours en herbe;220;STH > 10 ans naturelle ou semee
1;73;10/07/2008;8207;HAM-SUR-MEUSE;8;True;827424.32;7003778.41;112;Terraces;744;Calcschists;ND;ND;CALCISOL issu d'alluvions reposant sur  schistes calcareux ou dolomitiques;ND;24;CALCISOL;ND;ND;2;surfaces toujours en herbe;220;STH > 10 ans naturelle ou semee
1;76;17/05/2006;76638;SAINT-PIERRE-EN-VAL;76;True;587423.71;6989813.91;510;Residual loam;331;Clay-with-flints;ND;ND;NEOLUVISOL cultive issu de limon eolien, en situation de plateau;ND;77;NEOLUVISOL;ND;ND;1;successions culturales;112;systeme de rotations sans prairie sans interculture
1;77;30/04/2003;80809;VISMES;80;True;603414.61;6989680.55;510;Residual loam;ND;ND;ND;ND;NEOLUVISOL limono-sableux legerement battant tres peu caillouteux issu de loess decarbonate cultive;ND;77;NEOLUVISOL;ND;ND;1;successions culturales;112;systeme de rotations sans prairie sans interculture
