analyse_desc;PARAM;valeur;unite;STATION;VILLE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.0275;cmol+/kg;1366;MAZERAY;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.02;cmol+/kg;1826;GREZET-CAVAGNAN;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.02;cmol+/kg;2076;ARLES;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.02;cmol+/kg;2011;GOUTZ;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.02;cmol+/kg;1875;CASTELNAU-MONTRATIER;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.0371;cmol+/kg;1537;EYZERAC;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.0264;cmol+/kg;1166;SAINT-PIERRE-DE-MAILLE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.02;cmol+/kg;1660;SAINT-LAURENT-DES-BATONS;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.02;cmol+/kg;1491;PLASSAC-ROUFFIAC;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.02;cmol+/kg;1243;SOUVIGNE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.02;cmol+/kg;609;BEDEE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.0386;cmol+/kg;2034;LAURIS;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.02;cmol+/kg;408;SAIZERAIS;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;1.339;cmol+/kg;792;SAVIGNY-SUR-BRAYE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.02;cmol+/kg;2205;EVENOS;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.1132;cmol+/kg;620;AVESNES-EN-SAOSNOIS;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.0295;cmol+/kg;1893;CAIRANNE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.02;cmol+/kg;223;SAINTE-MARGUERITE-D'ELLE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.0243;cmol+/kg;1180;MALTAT;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.0337;cmol+/kg;152;LINTOT;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.1678;cmol+/kg;423;GUICLAN;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.0925;cmol+/kg;1141;TAGNIERE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.0204;cmol+/kg;157;MENERVAL;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.48;cmol+/kg;1694;LANTON;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.0312;cmol+/kg;2021;BELMONT-SUR-RANCE;;
