analyse_desc;PARAM;valeur;unite;STATION;VILLE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.0294;cmol+/kg;1706;CALES;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.02;cmol+/kg;1556;PEAGE-DE-ROUSSILLON;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.0905;cmol+/kg;730;MAISONCELLES-DU-MAINE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;1.336;cmol+/kg;1372;SAINT-MAURICE-DES-LIONS;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.02;cmol+/kg;1477;BREGNIER-CORDON;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.0335;cmol+/kg;1030;PLAINE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.0474;cmol+/kg;788;MEZERAY;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.02;cmol+/kg;1237;TRANCHE-SUR-MER;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.1101;cmol+/kg;2142;LESCAR;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.02;cmol+/kg;291;SUIPPES;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.1043;cmol+/kg;2182;LAGOS;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.2873;cmol+/kg;827;ILE-D'ARZ;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.02;cmol+/kg;391;PARIS;6E;ARRONDISSEMENT
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.0632;cmol+/kg;633;PONT-SUR-YONNE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.04;cmol+/kg;1768;AUCELON;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;4.652;cmol+/kg;805;AUXERRE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.0342;cmol+/kg;1992;PUIMOISSON;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.0252;cmol+/kg;476;DAHLENHEIM;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.02;cmol+/kg;1996;LE;MAS;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.0243;cmol+/kg;2260;QUINTILLAN;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.0228;cmol+/kg;137;CRECY-SUR-SERRE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.02;cmol+/kg;2257;FESTES-ET-SAINT-ANDRE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.0518;cmol+/kg;1058;LOSNE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.02;cmol+/kg;1064;COMBES;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.0281;cmol+/kg;1310;VONNAS;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.02;cmol+/kg;1274;CHENS-SUR-LEMAN;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.02;cmol+/kg;1090;BENGY-SUR-CRAON;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.0209;cmol+/kg;1174;DREVANT;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;2.779;cmol+/kg;926;LEVONCOURT;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.2539;cmol+/kg;870;MONTJUSTIN-ET-VELOTTE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.1924;cmol+/kg;1837;BELCASTEL;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.02;cmol+/kg;400;BUSSY-LETTRE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.0473;cmol+/kg;1549;AUZON;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.02;cmol+/kg;215;MERCY-LE-HAUT;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.5401;cmol+/kg;1464;AURIERES;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.02;cmol+/kg;288;BELVAL;SOUS;CHATILLON
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.0824;cmol+/kg;1587;TRIZAC;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.0511;cmol+/kg;812;VITRY-EN-MONTAGNE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.0759;cmol+/kg;644;ILLOUD;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;1.919;cmol+/kg;1677;SAINT-FRONT;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;2.366;cmol+/kg;1887;SAINT-MARTIN-DE-LANSUSCLE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.0281;cmol+/kg;2276;AULUS-LES-BAINS;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;3.809;cmol+/kg;2312;PORTA;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Al;0.0361;cmol+/kg;1686;PERIER;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;25.78;cmol+/kg;1366;MAZERAY;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;17.01;cmol+/kg;1826;GREZET-CAVAGNAN;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;11.51;cmol+/kg;2076;ARLES;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;22.71;cmol+/kg;2011;GOUTZ;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;20.79;cmol+/kg;1875;CASTELNAU-MONTRATIER;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;11.25;cmol+/kg;1537;EYZERAC;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;17.57;cmol+/kg;1166;SAINT-PIERRE-DE-MAILLE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;18.84;cmol+/kg;1660;SAINT-LAURENT-DES-BATONS;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;27.14;cmol+/kg;1491;PLASSAC-ROUFFIAC;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;28.81;cmol+/kg;1243;SOUVIGNE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;12.97;cmol+/kg;609;BEDEE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;45.22;cmol+/kg;2034;LAURIS;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;15.27;cmol+/kg;408;SAIZERAIS;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;1.711;cmol+/kg;792;SAVIGNY-SUR-BRAYE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;33.66;cmol+/kg;2205;EVENOS;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;5.586;cmol+/kg;620;AVESNES-EN-SAOSNOIS;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;13.04;cmol+/kg;1893;CAIRANNE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;18.45;cmol+/kg;223;SAINTE-MARGUERITE-D'ELLE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;4.735;cmol+/kg;1180;MALTAT;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;6.76;cmol+/kg;152;LINTOT;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;5.167;cmol+/kg;423;GUICLAN;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;2.532;cmol+/kg;1141;TAGNIERE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;14.73;cmol+/kg;157;MENERVAL;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;0.4691;cmol+/kg;1694;LANTON;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;9.313;cmol+/kg;2021;BELMONT-SUR-RANCE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;34.85;cmol+/kg;1706;CALES;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;9.841;cmol+/kg;1556;PEAGE-DE-ROUSSILLON;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;12.1;cmol+/kg;730;MAISONCELLES-DU-MAINE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;1.554;cmol+/kg;1372;SAINT-MAURICE-DES-LIONS;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;15.52;cmol+/kg;1477;BREGNIER-CORDON;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;5.12;cmol+/kg;1030;PLAINE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;2.812;cmol+/kg;788;MEZERAY;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;19.71;cmol+/kg;1237;TRANCHE-SUR-MER;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;5.511;cmol+/kg;2142;LESCAR;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;12.51;cmol+/kg;291;SUIPPES;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;8.532;cmol+/kg;2182;LAGOS;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;2.939;cmol+/kg;827;ILE-D'ARZ;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;15.5;cmol+/kg;391;PARIS;6E;ARRONDISSEMENT
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;35.01;cmol+/kg;633;PONT-SUR-YONNE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;32.73;cmol+/kg;1768;AUCELON;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;0.3836;cmol+/kg;805;AUXERRE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;22.53;cmol+/kg;1992;PUIMOISSON;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;19.04;cmol+/kg;476;DAHLENHEIM;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;31;cmol+/kg;1996;LE;MAS;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;23.58;cmol+/kg;2260;QUINTILLAN;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;15.44;cmol+/kg;137;CRECY-SUR-SERRE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;18.2;cmol+/kg;2257;FESTES-ET-SAINT-ANDRE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;4.261;cmol+/kg;1058;LOSNE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;32.18;cmol+/kg;1064;COMBES;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;22.1;cmol+/kg;1310;VONNAS;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;10.08;cmol+/kg;1274;CHENS-SUR-LEMAN;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;73.74;cmol+/kg;1090;BENGY-SUR-CRAON;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;7.403;cmol+/kg;1174;DREVANT;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;3.396;cmol+/kg;926;LEVONCOURT;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;9.086;cmol+/kg;870;MONTJUSTIN-ET-VELOTTE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;5.133;cmol+/kg;1837;BELCASTEL;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;14.15;cmol+/kg;400;BUSSY-LETTRE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;9.819;cmol+/kg;1549;AUZON;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;78.95;cmol+/kg;215;MERCY-LE-HAUT;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;4.312;cmol+/kg;1464;AURIERES;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;22.41;cmol+/kg;288;BELVAL;SOUS;CHATILLON
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;13.32;cmol+/kg;1587;TRIZAC;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;26.2;cmol+/kg;812;VITRY-EN-MONTAGNE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;15.26;cmol+/kg;644;ILLOUD;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;8.088;cmol+/kg;1677;SAINT-FRONT;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;1.059;cmol+/kg;1887;SAINT-MARTIN-DE-LANSUSCLE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;42.78;cmol+/kg;2276;AULUS-LES-BAINS;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;2.264;cmol+/kg;2312;PORTA;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Ca;12.81;cmol+/kg;1686;PERIER;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.005;cmol+/kg;1366;MAZERAY;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.005;cmol+/kg;1826;GREZET-CAVAGNAN;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.005;cmol+/kg;2076;ARLES;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.005;cmol+/kg;2011;GOUTZ;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.005;cmol+/kg;1875;CASTELNAU-MONTRATIER;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.0089;cmol+/kg;1537;EYZERAC;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.005;cmol+/kg;1166;SAINT-PIERRE-DE-MAILLE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.0065;cmol+/kg;1660;SAINT-LAURENT-DES-BATONS;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.005;cmol+/kg;1491;PLASSAC-ROUFFIAC;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.005;cmol+/kg;1243;SOUVIGNE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.005;cmol+/kg;609;BEDEE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.0065;cmol+/kg;2034;LAURIS;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.005;cmol+/kg;408;SAIZERAIS;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.0188;cmol+/kg;792;SAVIGNY-SUR-BRAYE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.005;cmol+/kg;2205;EVENOS;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.0061;cmol+/kg;620;AVESNES-EN-SAOSNOIS;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.0052;cmol+/kg;1893;CAIRANNE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.005;cmol+/kg;223;SAINTE-MARGUERITE-D'ELLE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.005;cmol+/kg;1180;MALTAT;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.005;cmol+/kg;152;LINTOT;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.0092;cmol+/kg;423;GUICLAN;;
