protocol,n_sites_total,n_sites_missing,prop_missing,perc_missing
Pitfall10,67,35,0.5223880597014925,52.23880597014925
Pitfall8,67,32,0.47761194029850745,47.76119402985074
Pitfall6,67,31,0.4626865671641791,46.26865671641791
Pitfall4,67,26,0.3880597014925373,38.80597014925373
Pitfall2,67,17,0.2537313432835821,25.37313432835821
GPD,67,4,0.05970149253731343,5.970149253731343
