predictor,baseline_ispline_weight,scenario_ispline_weight,delta_ispline_weight,distance,assemblage_id,scenario,scenario_family,baseline_scenario,unit_type,iter
Geographic,1.0235140322321374,0.9891649683620426,-0.03434906387009484,Sørensen,isopoda_hand_sorting,rtu_genus_level,resolution_genus,rtu_mixed_genus_resolvable,genus_units,1
mos,0.6459016190772212,0.22396870760616444,-0.42193291147105677,Sørensen,isopoda_hand_sorting,rtu_genus_level,resolution_genus,rtu_mixed_genus_resolvable,genus_units,1
p_h,1.8241312193981905,0.9884513841987187,-0.8356798351994718,Sørensen,isopoda_hand_sorting,rtu_genus_level,resolution_genus,rtu_mixed_genus_resolvable,genus_units,1
t360_mean,0,0.026752945467499865,0.026752945467499865,Sørensen,isopoda_hand_sorting,rtu_genus_level,resolution_genus,rtu_mixed_genus_resolvable,genus_units,1
Geographic,1.6349973117492722,1.6349973117492722,0,Bray-Curtis,isopoda_hand_sorting,rtu_mixed_family_resolvable,resolution_family,rtu_mixed_family_resolvable,family_resolvable_RTU,1
mos,1.0190390336509227,1.0190390336509227,0,Bray-Curtis,isopoda_hand_sorting,rtu_mixed_family_resolvable,resolution_family,rtu_mixed_family_resolvable,family_resolvable_RTU,1
p_h,2.486930880335079,2.486930880335079,0,Bray-Curtis,isopoda_hand_sorting,rtu_mixed_family_resolvable,resolution_family,rtu_mixed_family_resolvable,family_resolvable_RTU,1
t360_mean,0,0,0,Bray-Curtis,isopoda_hand_sorting,rtu_mixed_family_resolvable,resolution_family,rtu_mixed_family_resolvable,family_resolvable_RTU,1
Geographic,1.0235140322321374,1.0235140322321374,0,Sørensen,isopoda_hand_sorting,rtu_mixed_family_resolvable,resolution_family,rtu_mixed_family_resolvable,family_resolvable_RTU,1
mos,0.6459016190772212,0.6459016190772212,0,Sørensen,isopoda_hand_sorting,rtu_mixed_family_resolvable,resolution_family,rtu_mixed_family_resolvable,family_resolvable_RTU,1
p_h,1.8241312193981905,1.8241312193981905,0,Sørensen,isopoda_hand_sorting,rtu_mixed_family_resolvable,resolution_family,rtu_mixed_family_resolvable,family_resolvable_RTU,1
t360_mean,0,0,0,Sørensen,isopoda_hand_sorting,rtu_mixed_family_resolvable,resolution_family,rtu_mixed_family_resolvable,family_resolvable_RTU,1
Geographic,1.6349973117492722,1.399376675343521,-0.23562063640575115,Bray-Curtis,isopoda_hand_sorting,rtu_family_level,resolution_family,rtu_mixed_family_resolvable,family_units,1
mos,1.0190390336509227,0.36220307626400366,-0.6568359573869191,Bray-Curtis,isopoda_hand_sorting,rtu_family_level,resolution_family,rtu_mixed_family_resolvable,family_units,1
p_h,2.486930880335079,0.6232332568442718,-1.8636976234908074,Bray-Curtis,isopoda_hand_sorting,rtu_family_level,resolution_family,rtu_mixed_family_resolvable,family_units,1
t360_mean,0,0,0,Bray-Curtis,isopoda_hand_sorting,rtu_family_level,resolution_family,rtu_mixed_family_resolvable,family_units,1
Geographic,1.0235140322321374,0.8082022144525731,-0.21531181777956432,Sørensen,isopoda_hand_sorting,rtu_family_level,resolution_family,rtu_mixed_family_resolvable,family_units,1
mos,0.6459016190772212,0.11581891807010504,-0.5300827010071162,Sørensen,isopoda_hand_sorting,rtu_family_level,resolution_family,rtu_mixed_family_resolvable,family_units,1
p_h,1.8241312193981905,0.5829122911198276,-1.241218928278363,Sørensen,isopoda_hand_sorting,rtu_family_level,resolution_family,rtu_mixed_family_resolvable,family_units,1
t360_mean,0,0,0,Sørensen,isopoda_hand_sorting,rtu_family_level,resolution_family,rtu_mixed_family_resolvable,family_units,1
Geographic,1.4934468083278216,1.4934468083278216,0,Bray-Curtis,isopoda_hand_sorting,species_baseline,species_error,species_baseline,species_units,1
mos,0.82324226445168,0.82324226445168,0,Bray-Curtis,isopoda_hand_sorting,species_baseline,species_error,species_baseline,species_units,1
p_h,2.6181935689951956,2.6181935689951956,0,Bray-Curtis,isopoda_hand_sorting,species_baseline,species_error,species_baseline,species_units,1
t360_mean,0.13083909022440868,0.13083909022440868,0,Bray-Curtis,isopoda_hand_sorting,species_baseline,species_error,species_baseline,species_units,1
Geographic,1.3326915940505473,1.3326915940505473,0,Sørensen,isopoda_hand_sorting,species_baseline,species_error,species_baseline,species_units,1
mos,0.5831640170613913,0.5831640170613913,0,Sørensen,isopoda_hand_sorting,species_baseline,species_error,species_baseline,species_units,1
p_h,1.9056512866763833,1.9056512866763833,0,Sørensen,isopoda_hand_sorting,species_baseline,species_error,species_baseline,species_units,1
t360_mean,0,0,0,Sørensen,isopoda_hand_sorting,species_baseline,species_error,species_baseline,species_units,1
Geographic,1.4934468083278216,1.2706136013686662,-0.22283320695915543,Bray-Curtis,isopoda_hand_sorting,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,1
mos,0.82324226445168,0.49431108680404867,-0.32893117764763136,Bray-Curtis,isopoda_hand_sorting,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,1
p_h,2.6181935689951956,2.0038455501922496,-0.614348018802946,Bray-Curtis,isopoda_hand_sorting,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,1
t360_mean,0.13083909022440868,0,-0.13083909022440868,Bray-Curtis,isopoda_hand_sorting,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,1
Geographic,1.3326915940505473,1.260532780094633,-0.07215881395591417,Sørensen,isopoda_hand_sorting,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,1
mos,0.5831640170613913,0.16084289549763164,-0.42232112156375967,Sørensen,isopoda_hand_sorting,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,1
p_h,1.9056512866763833,1.5389807869537522,-0.3666704997226311,Sørensen,isopoda_hand_sorting,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,1
t360_mean,0,0,0,Sørensen,isopoda_hand_sorting,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,1
Geographic,1.4934468083278216,1.664632998277988,0.17118618995016632,Bray-Curtis,isopoda_hand_sorting,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,1
mos,0.82324226445168,0.6439895022732254,-0.17925276217845465,Bray-Curtis,isopoda_hand_sorting,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,1
p_h,2.6181935689951956,2.1289312267676412,-0.4892623422275544,Bray-Curtis,isopoda_hand_sorting,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,1
t360_mean,0.13083909022440868,0,-0.13083909022440868,Bray-Curtis,isopoda_hand_sorting,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,1
Geographic,1.3326915940505473,1.3772720297104994,0.04458043565995218,Sørensen,isopoda_hand_sorting,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,1
mos,0.5831640170613913,0.30160484040136754,-0.2815591766600238,Sørensen,isopoda_hand_sorting,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,1
p_h,1.9056512866763833,1.5906602994913457,-0.3149909871850376,Sørensen,isopoda_hand_sorting,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,1
t360_mean,0,0.09856974239341894,0.09856974239341894,Sørensen,isopoda_hand_sorting,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,1
Geographic,1.4934468083278216,1.645594785650287,0.15214797732246543,Bray-Curtis,isopoda_hand_sorting,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,2
mos,0.82324226445168,0.8274557951403506,0.004213530688670586,Bray-Curtis,isopoda_hand_sorting,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,2
p_h,2.6181935689951956,2.29967249297843,-0.3185210760167658,Bray-Curtis,isopoda_hand_sorting,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,2
t360_mean,0.13083909022440868,0.07454042072695491,-0.05629866949745377,Bray-Curtis,isopoda_hand_sorting,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,2
Geographic,1.3326915940505473,1.3563639341864082,0.023672340135860948,Sørensen,isopoda_hand_sorting,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,2
mos,0.5831640170613913,0.5161691775115291,-0.06699483954986218,Sørensen,isopoda_hand_sorting,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,2
p_h,1.9056512866763833,1.6038935529970773,-0.30175773367930603,Sørensen,isopoda_hand_sorting,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,2
t360_mean,0,0.08128780587456022,0.08128780587456022,Sørensen,isopoda_hand_sorting,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,2
Geographic,1.4934468083278216,1.5103829398435136,0.016936131515691955,Bray-Curtis,isopoda_hand_sorting,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,2
mos,0.82324226445168,0.6997753274217822,-0.12346693702989786,Bray-Curtis,isopoda_hand_sorting,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,2
p_h,2.6181935689951956,2.5164584349798265,-0.10173513401536916,Bray-Curtis,isopoda_hand_sorting,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,2
t360_mean,0.13083909022440868,0.051053626321532077,-0.07978546390287661,Bray-Curtis,isopoda_hand_sorting,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,2
Geographic,1.3326915940505473,1.295213909858024,-0.037477684192523286,Sørensen,isopoda_hand_sorting,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,2
mos,0.5831640170613913,0.42271259053396204,-0.16045142652742928,Sørensen,isopoda_hand_sorting,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,2
p_h,1.9056512866763833,2.055138545159064,0.14948725848268074,Sørensen,isopoda_hand_sorting,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,2
