predictor,baseline_ispline_weight,scenario_ispline_weight,delta_ispline_weight,distance,assemblage_id,scenario,scenario_family,baseline_scenario,unit_type,iter
Geographic,1.81073684234486,1.2543651172286983,-0.5563717251161617,Sørensen,isopoda_pitfall,rtu_genus_level,resolution_genus,rtu_mixed_genus_resolvable,genus_units,1
mos,2.660411579117059,1.4213650835941658,-1.2390464955228933,Sørensen,isopoda_pitfall,rtu_genus_level,resolution_genus,rtu_mixed_genus_resolvable,genus_units,1
p_h,2.624608994127383,1.6796414158869197,-0.9449675782404632,Sørensen,isopoda_pitfall,rtu_genus_level,resolution_genus,rtu_mixed_genus_resolvable,genus_units,1
t360_mean,1.1706568174420817,0.04799644773697747,-1.1226603697051043,Sørensen,isopoda_pitfall,rtu_genus_level,resolution_genus,rtu_mixed_genus_resolvable,genus_units,1
Geographic,4.211792171922344,4.211792171922344,0,Bray-Curtis,isopoda_pitfall,rtu_mixed_family_resolvable,resolution_family,rtu_mixed_family_resolvable,family_resolvable_RTU,1
mos,2.15233707488307,2.15233707488307,0,Bray-Curtis,isopoda_pitfall,rtu_mixed_family_resolvable,resolution_family,rtu_mixed_family_resolvable,family_resolvable_RTU,1
p_h,3.733388667684358,3.733388667684358,0,Bray-Curtis,isopoda_pitfall,rtu_mixed_family_resolvable,resolution_family,rtu_mixed_family_resolvable,family_resolvable_RTU,1
t360_mean,1.4661675279886452,1.4661675279886452,0,Bray-Curtis,isopoda_pitfall,rtu_mixed_family_resolvable,resolution_family,rtu_mixed_family_resolvable,family_resolvable_RTU,1
Geographic,1.890274164141091,1.890274164141091,0,Sørensen,isopoda_pitfall,rtu_mixed_family_resolvable,resolution_family,rtu_mixed_family_resolvable,family_resolvable_RTU,1
mos,2.6616930652732815,2.6616930652732815,0,Sørensen,isopoda_pitfall,rtu_mixed_family_resolvable,resolution_family,rtu_mixed_family_resolvable,family_resolvable_RTU,1
p_h,2.626976512573363,2.626976512573363,0,Sørensen,isopoda_pitfall,rtu_mixed_family_resolvable,resolution_family,rtu_mixed_family_resolvable,family_resolvable_RTU,1
t360_mean,1.197366138732026,1.197366138732026,0,Sørensen,isopoda_pitfall,rtu_mixed_family_resolvable,resolution_family,rtu_mixed_family_resolvable,family_resolvable_RTU,1
Geographic,4.211792171922344,0.31018186568407985,-3.901610306238264,Bray-Curtis,isopoda_pitfall,rtu_family_level,resolution_family,rtu_mixed_family_resolvable,family_units,1
mos,2.15233707488307,0.7987804641608531,-1.353556610722217,Bray-Curtis,isopoda_pitfall,rtu_family_level,resolution_family,rtu_mixed_family_resolvable,family_units,1
p_h,3.733388667684358,1.4428980999556433,-2.290490567728715,Bray-Curtis,isopoda_pitfall,rtu_family_level,resolution_family,rtu_mixed_family_resolvable,family_units,1
t360_mean,1.4661675279886452,0,-1.4661675279886452,Bray-Curtis,isopoda_pitfall,rtu_family_level,resolution_family,rtu_mixed_family_resolvable,family_units,1
Geographic,1.890274164141091,0.18428209098765613,-1.7059920731534348,Sørensen,isopoda_pitfall,rtu_family_level,resolution_family,rtu_mixed_family_resolvable,family_units,1
mos,2.6616930652732815,0.6802439589221008,-1.9814491063511808,Sørensen,isopoda_pitfall,rtu_family_level,resolution_family,rtu_mixed_family_resolvable,family_units,1
p_h,2.626976512573363,0.5409022423373018,-2.086074270236061,Sørensen,isopoda_pitfall,rtu_family_level,resolution_family,rtu_mixed_family_resolvable,family_units,1
t360_mean,1.197366138732026,0,-1.197366138732026,Sørensen,isopoda_pitfall,rtu_family_level,resolution_family,rtu_mixed_family_resolvable,family_units,1
Geographic,3.2591075612334794,3.2591075612334794,0,Bray-Curtis,isopoda_pitfall,species_baseline,species_error,species_baseline,species_units,1
mos,1.8818279683029724,1.8818279683029724,0,Bray-Curtis,isopoda_pitfall,species_baseline,species_error,species_baseline,species_units,1
p_h,3.652311684181681,3.652311684181681,0,Bray-Curtis,isopoda_pitfall,species_baseline,species_error,species_baseline,species_units,1
t360_mean,1.6686695860497023,1.6686695860497023,0,Bray-Curtis,isopoda_pitfall,species_baseline,species_error,species_baseline,species_units,1
Geographic,1.7843350230033828,1.7843350230033828,0,Sørensen,isopoda_pitfall,species_baseline,species_error,species_baseline,species_units,1
mos,2.3133811167501666,2.3133811167501666,0,Sørensen,isopoda_pitfall,species_baseline,species_error,species_baseline,species_units,1
p_h,2.5043362765754287,2.5043362765754287,0,Sørensen,isopoda_pitfall,species_baseline,species_error,species_baseline,species_units,1
t360_mean,1.2738525943969623,1.2738525943969623,0,Sørensen,isopoda_pitfall,species_baseline,species_error,species_baseline,species_units,1
Geographic,3.2591075612334794,2.501351541922202,-0.7577560193112776,Bray-Curtis,isopoda_pitfall,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,1
mos,1.8818279683029724,1.621581174321929,-0.26024679398104333,Bray-Curtis,isopoda_pitfall,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,1
p_h,3.652311684181681,3.3530731256277146,-0.2992385585539665,Bray-Curtis,isopoda_pitfall,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,1
t360_mean,1.6686695860497023,1.918992407039251,0.2503228209895487,Bray-Curtis,isopoda_pitfall,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,1
