source_taxon_unit,source_genus,target_taxon_unit,target_genus,mapping_type
species:cdnom:628325,Tapinoma,species:cdnom:52831,Tapinoma,coherent_random
species:cdnom:219406,Messor,NA,NA,no_candidate
species:cdnom:219350,Tetramorium,NA,NA,no_candidate
species:cdnom:52779,Camponotus,species:cdnom:219520,Camponotus,coherent_random
species:cdnom:219519,Camponotus,species:cdnom:52779,Camponotus,coherent_random
species:cdnom:219505,Formica,species:cdnom:52790,Formica,coherent_random
species:cdnom:52792,Formica,species:cdnom:219507,Formica,coherent_random
species:cdnom:52816,Lasius,species:cdnom:219493,Lasius,coherent_random
species:cdnom:52788,Formica,species:cdnom:199813,Formica,coherent_random
species:cdnom:264385,Lasius,species:cdnom:52817,Lasius,coherent_random
species:cdnom:52812,Crematogaster,species:cdnom:52811,Crematogaster,coherent_random
species:cdnom:264386,Lasius,species:cdnom:52815,Lasius,coherent_random
species:cdnom:52820,Pheidole,NA,NA,no_candidate
species:cdnom:52822,Plagiolepis,NA,NA,no_candidate
species:cdnom:938134,Aphaenogaster,species:cdnom:52777,Aphaenogaster,coherent_random
species:cdnom:52785,Camponotus,species:cdnom:52779,Camponotus,coherent_random
species:cdnom:52790,Formica,species:cdnom:199813,Formica,coherent_random
species:cdnom:52808,Myrmica,species:cdnom:219394,Myrmica,coherent_random
species:cdnom:219490,Lasius,species:cdnom:52816,Lasius,coherent_random
species:cdnom:219396,Myrmica,species:cdnom:219394,Myrmica,coherent_random
species:cdnom:52793,Formica,species:cdnom:52790,Formica,coherent_random
species:cdnom:52809,Myrmica,species:cdnom:219394,Myrmica,coherent_random
species:cdnom:219401,Myrmecina,NA,NA,no_candidate
species:cdnom:219394,Myrmica,species:cdnom:628335,Myrmica,coherent_random
species:cdnom:52817,Lasius,species:cdnom:52815,Lasius,coherent_random
species:cdnom:219482,Lasius,species:cdnom:219492,Lasius,coherent_random
species:cdnom:219397,Myrmica,species:cdnom:628335,Myrmica,coherent_random
species:cdnom:219493,Lasius,species:cdnom:52817,Lasius,coherent_random
species:cdnom:628335,Myrmica,species:cdnom:52809,Myrmica,coherent_random
species:cdnom:52777,Aphaenogaster,species:cdnom:938134,Aphaenogaster,coherent_random
species:cdnom:52831,Tapinoma,species:cdnom:628325,Tapinoma,coherent_random
species:cdnom:219483,Lasius,species:cdnom:52815,Lasius,coherent_random
species:cdnom:52781,Camponotus,species:cdnom:264499,Camponotus,coherent_random
species:cdnom:52811,Crematogaster,species:cdnom:52812,Crematogaster,coherent_random
species:cdnom:219492,Lasius,species:cdnom:52816,Lasius,coherent_random
species:cdnom:219520,Camponotus,species:cdnom:52779,Camponotus,coherent_random
species:cdnom:264065,Stenamma,NA,NA,no_candidate
species:cdnom:219528,Hypoponera,NA,NA,no_candidate
species:cdnom:264499,Camponotus,species:cdnom:219519,Camponotus,coherent_random
species:cdnom:199813,Formica,species:cdnom:52792,Formica,coherent_random
species:cdnom:219507,Formica,species:cdnom:52788,Formica,coherent_random
species:cdnom:219413,Leptothorax,NA,NA,no_candidate
species:cdnom:52815,Lasius,species:cdnom:219493,Lasius,coherent_random
species:cdnom:219496,Formica,species:cdnom:219507,Formica,coherent_random
species:cdnom:219398,Myrmica,species:cdnom:219396,Myrmica,coherent_random
species:cdnom:219512,Cataglyphis,NA,NA,no_candidate
