scenario_family,scenario,baseline_scenario,term,r2_mean,r2_sd,p_median,p_prop_lt_005,n_iter,n_valid
species_error_strict,species_same_genus_taxref_mainland_3pct,species_baseline,ph,0.017162113264205484,5.042335235623063e-4,0.275,0,10,10
species_error_strict,species_same_genus_taxref_mainland_3pct,species_baseline,t360_mean,0.013298544557366357,2.5925482629315553e-4,0.75,0,10,10
species_error_strict,species_same_genus_taxref_mainland_5pct,species_baseline,mos,0.021244834391230767,6.564602677751525e-4,0.15,0,10,10
species_error_strict,species_same_genus_taxref_mainland_5pct,species_baseline,ph,0.0174995652507737,4.275994326206893e-4,0.3,0,10,10
species_error_strict,species_same_genus_taxref_mainland_5pct,species_baseline,t360_mean,0.013692808254489592,3.390646423663842e-4,0.6499999999999999,0,10,10
workflow_filtering,rtu_expert_difficult_genera_to_genus,rtu_mixed_best_available,mos,0.02713885780163374,NA,0.1,0,1,1
workflow_filtering,rtu_expert_difficult_genera_to_genus,rtu_mixed_best_available,ph,0.022713083460346062,NA,0.05,0,1,1
workflow_filtering,rtu_expert_difficult_genera_to_genus,rtu_mixed_best_available,t360_mean,0.014554594874897749,NA,0.45,0,1,1
workflow_filtering,rtu_mixed_best_available,rtu_mixed_best_available,mos,0.027201948149764534,NA,0.05,0,1,1
workflow_filtering,rtu_mixed_best_available,rtu_mixed_best_available,ph,0.022293489396586045,NA,0.05,0,1,1
workflow_filtering,rtu_mixed_best_available,rtu_mixed_best_available,t360_mean,0.014229281158692063,NA,0.6,0,1,1
workflow_filtering,rtu_rare_species_to_genus,rtu_mixed_best_available,mos,0.02715149185542653,NA,0.05,0,1,1
workflow_filtering,rtu_rare_species_to_genus,rtu_mixed_best_available,ph,0.022309747811072794,NA,0.1,0,1,1
workflow_filtering,rtu_rare_species_to_genus,rtu_mixed_best_available,t360_mean,0.014317215882361628,NA,0.55,0,1,1
workflow_filtering,rtu_species_only_drop_unresolved,rtu_mixed_best_available,mos,0.0218662171432256,NA,0.1,0,1,1
workflow_filtering,rtu_species_only_drop_unresolved,rtu_mixed_best_available,ph,0.017721794323248156,NA,0.35,0,1,1
workflow_filtering,rtu_species_only_drop_unresolved,rtu_mixed_best_available,t360_mean,0.01347718217589755,NA,0.8,0,1,1
