scenario_family,scenario,baseline_scenario,unit_type,iter,n_units,total_abundance,mean_local_q0,mean_local_q1,mean_local_q2,mean_coverage_chao,p10_coverage_chao,median_coverage_chao,p90_coverage_chao,gamma_taxon_units
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,family_units,1,68,3055,4.3088235294117645,2.7186798761399738,2.249409210850784,0.943364457886325,0.8793333333333333,0.9941921497174557,1,16
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,mixed_RTU_family_resolvable,1,68,3055,6.955882352941177,4.4590431729959565,3.5345332167562264,0.8809165551767177,0.763995427398283,0.9151220550086334,0.9896143381519078,69
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,68,3040,6.588235294117647,4.22456694658653,3.3528334611627875,0.8905603352908295,0.7923076923076924,0.9264102564102564,1,46
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,68,3040,6.897058823529412,4.403852361936717,3.4847056460278263,0.8813459932831056,0.7782135627530363,0.9132410985784689,0.9896143381519078,67
species_error_strict,species_baseline,species_baseline,species_units,1,68,2352,5.352941176470588,3.582867936622921,2.905406941235482,0.852733656036106,0.7002849002849003,0.9207575757575758,1,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,1,68,2352,5.955882352941177,3.834280728925079,3.022645084751842,0.8379798763159676,0.6336348684210527,0.9083777424582398,1,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,2,68,2352,6.044117647058823,3.9720681650616823,3.162689847162711,0.8270976905052551,0.5736139986139985,0.8946019189921629,1,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,3,68,2352,5.955882352941177,3.9152674219619006,3.1074100665041384,0.8405845109982472,0.6387968117408906,0.9013888888888889,1,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,4,68,2352,5.985294117647059,3.914150530163826,3.11935431839751,0.8310296682768806,0.6238157894736842,0.8924162257495591,1,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,5,68,2352,5.970588235294118,3.88590912204084,3.104690923981402,0.8307557149469279,0.6610284331518451,0.9020158481365378,1,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,6,68,2352,5.9411764705882355,3.845715905904628,3.051641572925283,0.8423427538844398,0.6873931623931624,0.9073934837092732,1,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,7,68,2352,6,3.8972224602147243,3.0841401819151377,0.8306286698100325,0.6336348684210527,0.9013888888888889,0.9933334009493286,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,8,68,2352,5.882352941176471,3.835412424065012,3.043257365035178,0.8405684375887251,0.6861778846153845,0.9062474166437036,1,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,9,68,2352,5.926470588235294,3.8157988293380614,3.0124744100264005,0.8367428294169696,0.6238157894736842,0.9026315789473685,1,51
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,10,68,2352,6.014705882352941,3.8999358192870623,3.0948815848749254,0.8268754957935758,0.6000175073859284,0.9064890008223685,1,51
species_error_strict,species_same_genus_observed_3pct,species_baseline,species_units,1,68,2352,5.632352941176471,3.7019232102154027,2.9699542714894838,0.838445593498263,0.6350961538461538,0.8994787489975942,1,51
species_error_strict,species_same_genus_observed_3pct,species_baseline,species_units,2,68,2352,5.617647058823529,3.6753368440879357,2.9526293634351153,0.8472636071285794,0.6758160425101214,0.9138528138528139,1,51
species_error_strict,species_same_genus_observed_3pct,species_baseline,species_units,3,68,2352,5.705882352941177,3.7260112858057735,2.986432164758379,0.8392915023067715,0.625,0.9073934837092732,1,51
species_error_strict,species_same_genus_observed_3pct,species_baseline,species_units,4,68,2352,5.573529411764706,3.6549698841356295,2.9425002924501102,0.8445884535688464,0.6880636604774535,0.9026315789473685,1,51
species_error_strict,species_same_genus_observed_3pct,species_baseline,species_units,5,68,2352,5.676470588235294,3.6781499099013257,2.9403580920570866,0.8428029391779678,0.6800925925925927,0.9138528138528139,1,51
species_error_strict,species_same_genus_observed_3pct,species_baseline,species_units,6,68,2352,5.676470588235294,3.705513409626351,2.972338669722841,0.8428405404250996,0.6721153846153847,0.9138528138528139,1,51
species_error_strict,species_same_genus_observed_3pct,species_baseline,species_units,7,68,2352,5.632352941176471,3.683257954484515,2.9544406713932956,0.844014223879294,0.7002849002849003,0.9040204678362573,1,50
species_error_strict,species_same_genus_observed_3pct,species_baseline,species_units,8,68,2352,5.573529411764706,3.670251083967103,2.9430382833115307,0.8467186673765613,0.7002849002849003,0.9050047265852239,1,51
species_error_strict,species_same_genus_observed_3pct,species_baseline,species_units,9,68,2352,5.544117647058823,3.649785590299135,2.936758838067113,0.8450169072167276,0.7002849002849003,0.9073934837092732,1,51
species_error_strict,species_same_genus_observed_3pct,species_baseline,species_units,10,68,2352,5.529411764705882,3.6540707273756845,2.937521490584489,0.8497248488916226,0.7002849002849003,0.9073934837092732,1,51
species_error_strict,species_same_genus_observed_5pct,species_baseline,species_units,1,68,2352,5.735294117647059,3.718019503387451,2.9722310043386626,0.8464823229041517,0.7002849002849003,0.9043557168784029,1,51
species_error_strict,species_same_genus_observed_5pct,species_baseline,species_units,2,68,2352,5.705882352941177,3.719687238211139,2.980792090962298,0.8426738785631877,0.6336348684210527,0.9136779886779887,1,51
species_error_strict,species_same_genus_observed_5pct,species_baseline,species_units,3,68,2352,5.661764705882353,3.7207452100378675,2.9872963936819192,0.8405615376785648,0.6721153846153847,0.9040204678362573,1,51
species_error_strict,species_same_genus_observed_5pct,species_baseline,species_units,4,68,2352,5.764705882352941,3.781862869176941,3.0294363792544847,0.8383319367086636,0.6721153846153847,0.9013888888888889,1,51
species_error_strict,species_same_genus_observed_5pct,species_baseline,species_units,5,68,2352,5.764705882352941,3.737570467330358,2.9818094597677747,0.8454288994182039,0.6764423076923076,0.9073934837092732,1,51
species_error_strict,species_same_genus_observed_5pct,species_baseline,species_units,6,68,2352,5.676470588235294,3.705844756849561,2.9829397828817714,0.8451006627970375,0.7002849002849003,0.9111255411255411,1,51
species_error_strict,species_same_genus_observed_5pct,species_baseline,species_units,7,68,2352,5.720588235294118,3.7213338671639455,2.9746691731022916,0.8449755396381566,0.7002849002849003,0.9040204678362573,1,51
species_error_strict,species_same_genus_observed_5pct,species_baseline,species_units,8,68,2352,5.794117647058823,3.7663050741537805,3.0090995527092965,0.8328798559720972,0.6238157894736842,0.900867637886483,1,51
species_error_strict,species_same_genus_observed_5pct,species_baseline,species_units,9,68,2352,5.838235294117647,3.8162337756418854,3.0385106343656667,0.8284530630223463,0.6000175073859284,0.9020158481365378,1,51
species_error_strict,species_same_genus_observed_5pct,species_baseline,species_units,10,68,2352,5.764705882352941,3.7467424776088056,2.9844920336683987,0.8371601747598404,0.6721153846153847,0.9040204678362573,1,51
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,species_units,1,68,2352,5.955882352941177,3.838242317694808,3.0434897530567255,0.8413047946949581,0.6764423076923076,0.9079047619047619,1,51
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,species_units,2,68,2352,5.852941176470588,3.8167350860076574,3.0421758250230835,0.8479109837166191,0.6350961538461538,0.9154545454545455,1,51
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,species_units,3,68,2352,6,3.917277085147048,3.1225773198521862,0.8349710512376162,0.6350961538461538,0.9073934837092732,1,51
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,species_units,4,68,2352,5.955882352941177,3.9239566337878387,3.1221344828952104,0.8203673333010977,0.6097368421052631,0.8895864661654136,1,51
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,species_units,5,68,2352,5.955882352941177,3.8729861180641727,3.070261224788912,0.8357997792017064,0.6578125,0.8964285714285715,1,51
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,species_units,6,68,2352,6.147058823529412,3.9679387357742493,3.124882500983059,0.8118631892693424,0.6027777777777779,0.8715078421380442,1,51
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,species_units,7,68,2352,6.102941176470588,3.987471578730814,3.1702500560306413,0.8248673686160186,0.6709311740890688,0.8964285714285715,1,51
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,species_units,8,68,2352,6.029411764705882,3.8834887882341738,3.0721764989815044,0.8389829217708047,0.6758160425101214,0.9013888888888889,1,51
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,species_units,9,68,2352,6.161764705882353,3.9591639661370692,3.1217911362613004,0.8275996976109681,0.6238157894736842,0.9010330745049572,1,51
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,species_units,10,68,2352,6.044117647058823,3.9106908617539937,3.091788471518454,0.8335277002003462,0.6238157894736842,0.9013888888888889,1,51
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,species_units,1,68,2352,5.6911764705882355,3.6907303094944472,2.9525754168235983,0.8477821413227761,0.6721153846153847,0.9207575757575758,1,51
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,species_units,2,68,2352,5.6911764705882355,3.6777234690819234,2.9430030961723768,0.8462224116884726,0.7002849002849003,0.910235003092146,1,51
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,species_units,3,68,2352,5.602941176470588,3.690760864467629,2.9710668611250814,0.8381981476273924,0.7002849002849003,0.9207575757575758,1,51
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,species_units,4,68,2352,5.764705882352941,3.7251606419938166,2.9783283075154983,0.8358212621509088,0.6336348684210527,0.9073934837092732,1,51
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,species_units,5,68,2352,5.617647058823529,3.6871215253068828,2.9622863717669645,0.8454823303558168,0.6721153846153847,0.9103174603174603,1,51
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,species_units,6,68,2352,5.588235294117647,3.6529260794434224,2.938532390983895,0.8479361949200427,0.7002849002849003,0.9138528138528139,1,51
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,species_units,7,68,2352,5.6911764705882355,3.701297579259455,2.954094294992366,0.8384750192669909,0.6721153846153847,0.9040204678362573,1,51
