scenario_family,scenario,baseline_scenario,unit_type,scenario_label,scenario_group_label,n_iter,rel_delta_alpha_med,rel_delta_alpha_p10,rel_delta_alpha_p90,rel_delta_gamma_med,rel_delta_gamma_p10,rel_delta_gamma_p90,rel_delta_occupancy_med,rel_delta_occupancy_p10,rel_delta_occupancy_p90,alpha_baseline,gamma_baseline,occupancy_baseline,beta_signature
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,family_units,"Family-level
resolution",Taxonomic coarsening,1,-38.054968287526435,-38.054968287526435,-38.054968287526435,-76.81159420289855,-76.81159420289855,-76.81159420289855,167.13794926004226,167.13794926004226,167.13794926004226,6.955882352941177,69,0.10080988917306052,Apparent homogenisation
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,mixed_RTU_family_resolvable,rtu_mixed_family_resolvable,NA,1,0,0,0,0,0,0,0,0,0,6.955882352941177,69,0.10080988917306052,No meaningful change
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,"Genus-level
resolution",Taxonomic coarsening,1,-4.477611940298517,-4.477611940298517,-4.477611940298517,-31.34328358208955,-31.34328358208955,-31.34328358208955,39.13043478260868,39.13043478260868,39.13043478260868,6.897058823529412,67,0.10294117647058824,Apparent homogenisation
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,rtu_mixed_genus_resolvable,NA,1,0,0,0,0,0,0,0,0,0,6.897058823529412,67,0.10294117647058824,No meaningful change
species_error_strict,species_baseline,species_baseline,species_units,species_baseline,NA,1,0,0,0,0,0,0,0,0,0,5.352941176470588,51,0.104959630911188,No meaningful change
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,"Diffuse congeneric
error 10%",Species-level error,10,11.40109890109891,10.631868131868144,12.417582417582425,0,0,0,11.401098901098907,10.63186813186814,12.417582417582423,5.352941176470588,51,0.104959630911188,Apparent homogenisation
species_error_strict,species_same_genus_observed_3pct,species_baseline,species_units,species_same_genus_observed_3pct,NA,10,5.082417582417589,3.5439560439560482,6.098901098901111,0,-0.19607843137254918,0,5.082417582417586,3.5439560439560416,6.666483516483526,5.352941176470588,51,0.104959630911188,Apparent homogenisation
species_error_strict,species_same_genus_observed_5pct,species_baseline,species_units,species_same_genus_observed_5pct,NA,10,7.417582417582425,6.016483516483529,8.324175824175828,0,0,0,7.417582417582426,6.016483516483526,8.324175824175832,5.352941176470588,51,0.104959630911188,Apparent homogenisation
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,species_units,"Rare-weighted
error 10%",Species-level error,10,12.362637362637368,11.07142857142858,14.862637362637379,0,0,0,12.362637362637368,11.071428571428575,14.862637362637379,5.352941176470588,51,0.104959630911188,Apparent homogenisation
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,species_units,species_same_genus_observed_rare_weighted_mean_3pct,NA,10,5.906593406593419,4.340659340659342,6.703296703296713,0,-1.9607843137254901,0,6.1208791208791276,4.64285714285714,7.7956043956044025,5.352941176470588,51,0.104959630911188,Apparent homogenisation
species_error_strict,species_same_genus_observed_rare_weighted_mean_5pct,species_baseline,species_units,species_same_genus_observed_rare_weighted_mean_5pct,NA,10,7.692307692307699,7.032967032967041,8.241758241758246,-1.9607843137254901,-1.9607843137254901,0,8.903846153846164,7.3901098901098985,10.406593406593407,5.352941176470588,51,0.104959630911188,Apparent homogenisation
species_error_strict,species_same_genus_taxref_mainland_10pct,species_baseline,species_units,"TAXREF congeneric
error 10%",Species-level error,10,28.159340659340664,25.24725274725276,30.63186813186814,106.86274509803921,93.72549019607844,124.50980392156862,-38.37556648203548,-41.44829885664272,-34.858554480122294,5.352941176470588,51,0.104959630911188,Apparent differentiation
species_error_strict,species_same_genus_taxref_mainland_3pct,species_baseline,species_units,species_same_genus_taxref_mainland_3pct,NA,10,10.302197802197817,9.313186813186814,12.115384615384624,49.01960784313726,44.70588235294118,59.99999999999999,-26.62666281087333,-30.218832891246677,-24.34221611721611,5.352941176470588,51,0.104959630911188,Apparent differentiation
species_error_strict,species_same_genus_taxref_mainland_5pct,species_baseline,species_units,species_same_genus_taxref_mainland_5pct,NA,10,17.03296703296704,16.043956043956054,17.77472527472528,76.47058823529412,58.4313725490196,80.3921568627451,-33.422990358444665,-34.848901098901095,-26.597000046367125,5.352941176470588,51,0.104959630911188,Apparent differentiation
workflow_filtering,rtu_mixed_best_available,rtu_mixed_best_available,mixed_RTU,rtu_mixed_best_available,NA,1,0,0,0,0,0,0,0,0,0,6.955882352941177,69,0.10080988917306052,No meaningful change
workflow_filtering,rtu_rare_species_to_genus,rtu_mixed_best_available,mixed_RTU,"Rare species
reported as genus",Workflow decision,1,0,0,0,-2.898550724637681,-2.898550724637681,-2.898550724637681,2.985074626865678,2.985074626865678,2.985074626865678,6.955882352941177,69,0.10080988917306052,Apparent homogenisation
workflow_filtering,rtu_species_only_drop_unresolved,rtu_mixed_best_available,species_only,"Drop unresolved
records",Workflow decision,1,-23.04439746300212,-23.04439746300212,-23.04439746300212,-26.08695652173913,-26.08695652173913,-26.08695652173913,4.1164034324089025,4.1164034324089025,4.1164034324089025,6.955882352941177,69,0.10080988917306052,Apparent homogenisation
