scenario_family,scenario,baseline_scenario,unit_type,iter,n_units,total_abundance,mean_local_q0,mean_local_q1,mean_local_q2,mean_coverage_chao,p10_coverage_chao,median_coverage_chao,p90_coverage_chao,gamma_taxon_units,mean_occupancy,alpha_baseline,gamma_baseline,occupancy_baseline,delta_alpha,delta_gamma,delta_occupancy,rel_delta_alpha_pct,rel_delta_gamma_pct,rel_delta_occupancy_pct,beta_signature,scenario_label,scenario_group_label
species_error_strict,species_same_genus_observed_3pct,species_baseline,species_units,1,68,2352,5.632352941176471,3.7019232102154027,2.9699542714894838,0.838445593498263,0.6350961538461538,0.8994787489975942,1,51,0.11043829296424452,5.352941176470588,51,0.104959630911188,0.27941176470588314,0,0.005478662053056527,5.219780219780235,0,5.21978021978023,Apparent homogenisation,species_same_genus_observed_3pct,NA
species_error_strict,species_same_genus_observed_3pct,species_baseline,species_units,2,68,2352,5.617647058823529,3.6753368440879357,2.9526293634351153,0.8472636071285794,0.6758160425101214,0.9138528138528139,1,51,0.11014994232987312,5.352941176470588,51,0.104959630911188,0.2647058823529411,0,0.005190311418685117,4.945054945054944,0,4.945054945054942,Apparent homogenisation,species_same_genus_observed_3pct,NA
species_error_strict,species_same_genus_observed_3pct,species_baseline,species_units,3,68,2352,5.705882352941177,3.7260112858057735,2.986432164758379,0.8392915023067715,0.625,0.9073934837092732,1,51,0.1118800461361015,5.352941176470588,51,0.104959630911188,0.35294117647058876,0,0.006920415224913504,6.593406593406604,0,6.593406593406602,Apparent homogenisation,species_same_genus_observed_3pct,NA
species_error_strict,species_same_genus_observed_3pct,species_baseline,species_units,4,68,2352,5.573529411764706,3.6549698841356295,2.9425002924501102,0.8445884535688464,0.6880636604774535,0.9026315789473685,1,51,0.10928489042675893,5.352941176470588,51,0.104959630911188,0.22058823529411775,0,0.004325259515570931,4.120879120879123,0,4.120879120879118,Apparent homogenisation,species_same_genus_observed_3pct,NA
species_error_strict,species_same_genus_observed_3pct,species_baseline,species_units,5,68,2352,5.676470588235294,3.6781499099013257,2.9403580920570866,0.8428029391779678,0.6800925925925927,0.9138528138528139,1,51,0.11130334486735871,5.352941176470588,51,0.104959630911188,0.3235294117647065,0,0.006343713956170713,6.043956043956056,0,6.043956043956054,Apparent homogenisation,species_same_genus_observed_3pct,NA
species_error_strict,species_same_genus_observed_3pct,species_baseline,species_units,6,68,2352,5.676470588235294,3.705513409626351,2.972338669722841,0.8428405404250996,0.6721153846153847,0.9138528138528139,1,51,0.11130334486735871,5.352941176470588,51,0.104959630911188,0.3235294117647065,0,0.006343713956170713,6.043956043956056,0,6.043956043956054,Apparent homogenisation,species_same_genus_observed_3pct,NA
species_error_strict,species_same_genus_observed_3pct,species_baseline,species_units,7,68,2352,5.632352941176471,3.683257954484515,2.9544406713932956,0.844014223879294,0.7002849002849003,0.9040204678362573,1,50,0.11264705882352942,5.352941176470588,51,0.104959630911188,0.27941176470588314,-1,0.007687427912341421,5.219780219780235,-1.9607843137254901,7.324175824175838,Apparent homogenisation,species_same_genus_observed_3pct,NA
species_error_strict,species_same_genus_observed_3pct,species_baseline,species_units,8,68,2352,5.573529411764706,3.670251083967103,2.9430382833115307,0.8467186673765613,0.7002849002849003,0.9050047265852239,1,51,0.10928489042675893,5.352941176470588,51,0.104959630911188,0.22058823529411775,0,0.004325259515570931,4.120879120879123,0,4.120879120879118,Apparent homogenisation,species_same_genus_observed_3pct,NA
species_error_strict,species_same_genus_observed_3pct,species_baseline,species_units,9,68,2352,5.544117647058823,3.649785590299135,2.936758838067113,0.8450169072167276,0.7002849002849003,0.9073934837092732,1,51,0.10870818915801614,5.352941176470588,51,0.104959630911188,0.1911764705882355,0,0.0037485582468281403,3.5714285714285756,0,3.571428571428569,Apparent homogenisation,species_same_genus_observed_3pct,NA
species_error_strict,species_same_genus_observed_3pct,species_baseline,species_units,10,68,2352,5.529411764705882,3.6540707273756845,2.937521490584489,0.8497248488916226,0.7002849002849003,0.9073934837092732,1,51,0.10841983852364474,5.352941176470588,51,0.104959630911188,0.17647058823529438,0,0.003460207612456745,3.296703296703302,0,3.2967032967032943,Apparent homogenisation,species_same_genus_observed_3pct,NA
species_error_strict,species_same_genus_observed_5pct,species_baseline,species_units,1,68,2352,5.735294117647059,3.718019503387451,2.9722310043386626,0.8464823229041517,0.7002849002849003,0.9043557168784029,1,51,0.11245674740484429,5.352941176470588,51,0.104959630911188,0.382352941176471,0,0.0074971164936562945,7.142857142857151,0,7.142857142857152,Apparent homogenisation,species_same_genus_observed_5pct,NA
species_error_strict,species_same_genus_observed_5pct,species_baseline,species_units,2,68,2352,5.705882352941177,3.719687238211139,2.980792090962298,0.8426738785631877,0.6336348684210527,0.9136779886779887,1,51,0.1118800461361015,5.352941176470588,51,0.104959630911188,0.35294117647058876,0,0.006920415224913504,6.593406593406604,0,6.593406593406602,Apparent homogenisation,species_same_genus_observed_5pct,NA
species_error_strict,species_same_genus_observed_5pct,species_baseline,species_units,3,68,2352,5.661764705882353,3.7207452100378675,2.9872963936819192,0.8405615376785648,0.6721153846153847,0.9040204678362573,1,51,0.11101499423298732,5.352941176470588,51,0.104959630911188,0.3088235294117654,0,0.0060553633217993175,5.7692307692307825,0,5.769230769230779,Apparent homogenisation,species_same_genus_observed_5pct,NA
species_error_strict,species_same_genus_observed_5pct,species_baseline,species_units,4,68,2352,5.764705882352941,3.781862869176941,3.0294363792544847,0.8383319367086636,0.6721153846153847,0.9013888888888889,1,51,0.11303344867358708,5.352941176470588,51,0.104959630911188,0.41176470588235325,0,0.008073817762399085,7.692307692307699,0,7.6923076923077,Apparent homogenisation,species_same_genus_observed_5pct,NA
species_error_strict,species_same_genus_observed_5pct,species_baseline,species_units,5,68,2352,5.764705882352941,3.737570467330358,2.9818094597677747,0.8454288994182039,0.6764423076923076,0.9073934837092732,1,51,0.11303344867358708,5.352941176470588,51,0.104959630911188,0.41176470588235325,0,0.008073817762399085,7.692307692307699,0,7.6923076923077,Apparent homogenisation,species_same_genus_observed_5pct,NA
species_error_strict,species_same_genus_observed_5pct,species_baseline,species_units,6,68,2352,5.676470588235294,3.705844756849561,2.9829397828817714,0.8451006627970375,0.7002849002849003,0.9111255411255411,1,51,0.11130334486735871,5.352941176470588,51,0.104959630911188,0.3235294117647065,0,0.006343713956170713,6.043956043956056,0,6.043956043956054,Apparent homogenisation,species_same_genus_observed_5pct,NA
species_error_strict,species_same_genus_observed_5pct,species_baseline,species_units,7,68,2352,5.720588235294118,3.7213338671639455,2.9746691731022916,0.8449755396381566,0.7002849002849003,0.9040204678362573,1,51,0.1121683967704729,5.352941176470588,51,0.104959630911188,0.3676470588235299,0,0.007208765859284899,6.868131868131877,0,6.868131868131877,Apparent homogenisation,species_same_genus_observed_5pct,NA
species_error_strict,species_same_genus_observed_5pct,species_baseline,species_units,8,68,2352,5.794117647058823,3.7663050741537805,3.0090995527092965,0.8328798559720972,0.6238157894736842,0.900867637886483,1,51,0.11361014994232987,5.352941176470588,51,0.104959630911188,0.4411764705882355,0,0.008650519031141876,8.241758241758246,0,8.24175824175825,Apparent homogenisation,species_same_genus_observed_5pct,NA
species_error_strict,species_same_genus_observed_5pct,species_baseline,species_units,9,68,2352,5.838235294117647,3.8162337756418854,3.0385106343656667,0.8284530630223463,0.6000175073859284,0.9020158481365378,1,51,0.11447520184544406,5.352941176470588,51,0.104959630911188,0.4852941176470589,0,0.009515570934256062,9.065934065934067,0,9.065934065934073,Apparent homogenisation,species_same_genus_observed_5pct,NA
species_error_strict,species_same_genus_observed_5pct,species_baseline,species_units,10,68,2352,5.764705882352941,3.7467424776088056,2.9844920336683987,0.8371601747598404,0.6721153846153847,0.9040204678362573,1,51,0.11303344867358708,5.352941176470588,51,0.104959630911188,0.41176470588235325,0,0.008073817762399085,7.692307692307699,0,7.6923076923077,Apparent homogenisation,species_same_genus_observed_5pct,NA
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,species_units,1,68,2352,5.955882352941177,3.838242317694808,3.0434897530567255,0.8413047946949581,0.6764423076923076,0.9079047619047619,1,51,0.11678200692041522,5.352941176470588,51,0.104959630911188,0.6029411764705888,0,0.011822376009227226,11.263736263736273,0,11.263736263736268,Apparent homogenisation,"Rare-weighted
error 10%",Species-level error
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,species_units,2,68,2352,5.852941176470588,3.8167350860076574,3.0421758250230835,0.8479109837166191,0.6350961538461538,0.9154545454545455,1,51,0.11476355247981544,5.352941176470588,51,0.104959630911188,0.5,0,0.009803921568627444,9.340659340659341,0,9.340659340659334,Apparent homogenisation,"Rare-weighted
error 10%",Species-level error
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,species_units,3,68,2352,6,3.917277085147048,3.1225773198521862,0.8349710512376162,0.6350961538461538,0.9073934837092732,1,51,0.11764705882352941,5.352941176470588,51,0.104959630911188,0.6470588235294121,0,0.012687427912341412,12.087912087912096,0,12.087912087912093,Apparent homogenisation,"Rare-weighted
error 10%",Species-level error
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,species_units,4,68,2352,5.955882352941177,3.9239566337878387,3.1221344828952104,0.8203673333010977,0.6097368421052631,0.8895864661654136,1,51,0.11678200692041522,5.352941176470588,51,0.104959630911188,0.6029411764705888,0,0.011822376009227226,11.263736263736273,0,11.263736263736268,Apparent homogenisation,"Rare-weighted
error 10%",Species-level error
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,species_units,5,68,2352,5.955882352941177,3.8729861180641727,3.070261224788912,0.8357997792017064,0.6578125,0.8964285714285715,1,51,0.11678200692041522,5.352941176470588,51,0.104959630911188,0.6029411764705888,0,0.011822376009227226,11.263736263736273,0,11.263736263736268,Apparent homogenisation,"Rare-weighted
error 10%",Species-level error
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,species_units,6,68,2352,6.147058823529412,3.9679387357742493,3.124882500983059,0.8118631892693424,0.6027777777777779,0.8715078421380442,1,51,0.12053056516724338,5.352941176470588,51,0.104959630911188,0.7941176470588243,0,0.01557093425605538,14.835164835164852,0,14.835164835164852,Apparent homogenisation,"Rare-weighted
error 10%",Species-level error
