scenario_family,scenario,baseline_scenario,unit_type,iter,inference,stability,inference_label
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,1,q2_cor,0.9898898777928978,Hill q2 / dominant units
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,1,coverage_chao_cor,0.9991379013290788,sample coverage Chao
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,1,bray_curtis_cor,0.9980228685478932,Bray-Curtis abundance distance
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,1,jaccard_pa_cor,0.9893525657879806,Jaccard presence-absence distance
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,1,sorensen_pa_cor,0.9910649714895605,Sørensen presence-absence distance
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,1,procrustes_r2,0.9984436514112993,ordination Procrustes R2
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,2,abundance_cor,1,total abundance
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,2,q0_cor,0.9923571162606085,q0 richness / number of units
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,2,q1_cor,0.9903930041362926,Hill q1 / effective units
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,2,q2_cor,0.991139015665479,Hill q2 / dominant units
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,2,coverage_chao_cor,0.9971643804492921,sample coverage Chao
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,2,bray_curtis_cor,0.9963986414374848,Bray-Curtis abundance distance
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,2,jaccard_pa_cor,0.9795307583224465,Jaccard presence-absence distance
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,2,sorensen_pa_cor,0.9821217205859217,Sørensen presence-absence distance
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,2,procrustes_r2,0.9954379854480131,ordination Procrustes R2
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,3,abundance_cor,1,total abundance
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,3,q0_cor,0.9917919602641639,q0 richness / number of units
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,3,q1_cor,0.9879405250580274,Hill q1 / effective units
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,3,q2_cor,0.9855034101325961,Hill q2 / dominant units
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,3,coverage_chao_cor,0.9983179042435064,sample coverage Chao
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,3,bray_curtis_cor,0.9950272444793765,Bray-Curtis abundance distance
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,3,jaccard_pa_cor,0.9800894135512975,Jaccard presence-absence distance
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,3,sorensen_pa_cor,0.982599980692176,Sørensen presence-absence distance
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,3,procrustes_r2,0.9922444056080515,ordination Procrustes R2
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,4,abundance_cor,1,total abundance
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,4,q0_cor,0.993650298048687,q0 richness / number of units
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,4,q1_cor,0.9863440277027776,Hill q1 / effective units
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,4,q2_cor,0.9817868616982424,Hill q2 / dominant units
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,4,coverage_chao_cor,0.9973817305496444,sample coverage Chao
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,4,bray_curtis_cor,0.9955682411034347,Bray-Curtis abundance distance
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,4,jaccard_pa_cor,0.985992416233188,Jaccard presence-absence distance
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,4,sorensen_pa_cor,0.9869055155048415,Sørensen presence-absence distance
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,4,procrustes_r2,0.9957055965785393,ordination Procrustes R2
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,5,abundance_cor,1,total abundance
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,5,q0_cor,0.9931736975732149,q0 richness / number of units
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,5,q1_cor,0.9861001892120416,Hill q1 / effective units
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,5,q2_cor,0.9847111554587653,Hill q2 / dominant units
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,5,coverage_chao_cor,0.999449251239807,sample coverage Chao
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,5,bray_curtis_cor,0.9936809346439518,Bray-Curtis abundance distance
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,5,jaccard_pa_cor,0.9811752159179862,Jaccard presence-absence distance
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,5,sorensen_pa_cor,0.983665052198068,Sørensen presence-absence distance
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,5,procrustes_r2,0.9878671316710219,ordination Procrustes R2
