scenario_family,scenario,baseline_scenario,iter,term,df,sumsq,r2,f,p,n_units,n_taxa,model
species_error_strict,species_same_genus_observed_10pct,species_baseline,7,mos,1,0.5722064113191543,0.021698543771555487,1.4265136347772593,0.07,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_10pct,species_baseline,7,p_h,1,0.4454131697783943,0.016890438432143166,1.1104174074761342,0.32,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_10pct,species_baseline,8,t360_mean,1,0.33891909910416373,0.012845854475214082,0.8448512026346552,0.66,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_10pct,species_baseline,8,mos,1,0.5501271405177555,0.020851150639299914,1.37134666502092,0.1,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_10pct,species_baseline,8,p_h,1,0.49422078518149704,0.018732164406929274,1.2319843462091324,0.13,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_10pct,species_baseline,9,t360_mean,1,0.35304286147057695,0.013378612301182785,0.8794824123746888,0.64,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_10pct,species_baseline,9,mos,1,0.563140015723608,0.021340275541234882,1.402865752532984,0.11,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_10pct,species_baseline,9,p_h,1,0.4454006307580727,0.016878523850598067,1.109559387720305,0.35,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_10pct,species_baseline,10,t360_mean,1,0.3298737276166932,0.012521668660783504,0.8225085927561017,0.8,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_10pct,species_baseline,10,mos,1,0.5544792003934376,0.021047462241947437,1.3825408592650097,0.15,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_10pct,species_baseline,10,p_h,1,0.4691702054049891,0.01780922021295193,1.169831038678997,0.24,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_3pct,species_baseline,1,t360_mean,1,0.35470842067677566,0.013412407561188198,0.8827314217358428,0.65,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_3pct,species_baseline,1,mos,1,0.579256054273884,0.02190311204730801,1.441543224044918,0.04,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_3pct,species_baseline,1,p_h,1,0.4697920310978496,0.01776400508919555,1.1691298073497536,0.28,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_3pct,species_baseline,2,t360_mean,1,0.35117728564025086,0.013290841776533413,0.8748044130162625,0.67,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_3pct,species_baseline,2,mos,1,0.5745436869813112,0.021744485049631904,1.4312239811454286,0.07,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_3pct,species_baseline,2,p_h,1,0.47023152970097115,0.017796631829984595,1.1713759236216625,0.27,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_3pct,species_baseline,3,t360_mean,1,0.3424272487562128,0.012983765047978641,0.8533837396963952,0.65,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_3pct,species_baseline,3,mos,1,0.5606911862713702,0.021259647570286463,1.3973325519305324,0.05,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_3pct,species_baseline,3,p_h,1,0.46018641874335486,0.017448822665068437,1.1468585178637023,0.36,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_3pct,species_baseline,4,t360_mean,1,0.3516558077584371,0.013303515677206331,0.8746982040464244,0.7,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_3pct,species_baseline,4,mos,1,0.5588498992406485,0.021141889972311343,1.3900666288244814,0.14,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_3pct,species_baseline,4,p_h,1,0.45480644428594985,0.017205814686299416,1.1312720314260638,0.34,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_3pct,species_baseline,5,t360_mean,1,0.35604541005472967,0.013458718546225823,0.8862358426641593,0.67,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_3pct,species_baseline,5,mos,1,0.5715454274873082,0.02160474149561872,1.4226388804512358,0.1,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_3pct,species_baseline,5,p_h,1,0.4851541004221538,0.018339100307810326,1.2076014487688749,0.19,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_3pct,species_baseline,6,t360_mean,1,0.3565761409372641,0.013463592710234562,0.8870601086955777,0.6,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_3pct,species_baseline,6,mos,1,0.5737129083729116,0.021662237160999513,1.427234681276305,0.05,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_3pct,species_baseline,6,p_h,1,0.48531841105942775,0.018324640016876354,1.2073342914496465,0.25,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_3pct,species_baseline,7,t360_mean,1,0.35055985074586005,0.013263411647329944,0.8719560880152779,0.67,66,50,multivariate_margin
species_error_strict,species_same_genus_observed_3pct,species_baseline,7,mos,1,0.5646675217928525,0.021364162979535677,1.4045113331837873,0.08,66,50,multivariate_margin
species_error_strict,species_same_genus_observed_3pct,species_baseline,7,p_h,1,0.4542439787530803,0.01718629462473963,1.129852154704309,0.32,66,50,multivariate_margin
species_error_strict,species_same_genus_observed_3pct,species_baseline,8,t360_mean,1,0.35391961209595024,0.013378406636261577,0.8802962496264372,0.62,66,51,multivariate_margin
