scenario_family,scenario,baseline_scenario,unit_type,abundance_cor_mean,q0_cor_mean,q1_cor_mean,q2_cor_mean,coverage_chao_cor_mean,bray_curtis_cor_mean,jaccard_pa_cor_mean,sorensen_pa_cor_mean,bray_mean_ratio_mean,jaccard_mean_ratio_mean,sorensen_mean_ratio_mean,procrustes_r2_mean,n_common_units_mean,abundance_cor_sd,q0_cor_sd,q1_cor_sd,q2_cor_sd,coverage_chao_cor_sd,bray_curtis_cor_sd,jaccard_pa_cor_sd,sorensen_pa_cor_sd,bray_mean_ratio_sd,jaccard_mean_ratio_sd,sorensen_mean_ratio_sd,procrustes_r2_sd,n_common_units_sd,n_iter
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,family_units,1,0.8606324395396759,0.7390279161831446,0.6930593914179797,0.867772241261012,0.5434069292152773,0.5084485879364934,0.5204714784888549,0.7713549177934,0.7412881919113111,0.6370989428118662,0.11924237239334334,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,mixed_RTU_family_resolvable,1,1,1,0.9999999999999998,0.9999999999999999,1,1,1,1,1,1,0.9999999999999996,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,0.9888394615787783,0.9748511989231337,0.9595448033061266,0.9745261747407851,0.9614874480675492,0.9247045601017616,0.9321403236541307,0.9852037524630124,0.9695272377521429,0.9528239988463135,0.9701827565241936,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,0.9999999999999998,1,1,1,1,1,1,1,1,1,0.9999999999999996,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
species_error_strict,species_baseline,species_baseline,species_units,1,1,1,1,1,1,1,1,1,1,1,1,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,1,0.9721101502922672,0.973559496712457,0.974653608483067,0.9656014624791336,0.9876659177829804,0.9395447953481935,0.9483359839672647,0.9981942815213625,1.0076567805773777,1.010938735851493,0.9931303120276945,68,0,0.00752732865476149,0.006166056454420611,0.010031145075311415,0.017552081509017433,0.0031157883981624674,0.01035605815614208,0.008585324203016855,9.82633909167284e-4,0.0020838070439688364,0.0033371761797857274,0.004163456378126073,0,10
species_error_strict,species_same_genus_observed_3pct,species_baseline,species_units,1,0.9847261128358777,0.991636557516907,0.9938090188527711,0.9887671355245117,0.9960478261323393,0.9771178484561884,0.980506545912476,0.9994215924907609,1.0039106349771758,1.005646116145743,0.9976464559615471,68,0,0.004961548574545998,0.003095420756248758,0.0036372153210431158,0.009011221818257498,0.0019762525478259083,0.008698922206153604,0.008324933696702766,5.364906409860816e-4,0.0015879205526601852,0.0025480316465924346,0.00268929739290537,0,10
species_error_strict,species_same_genus_observed_5pct,species_baseline,species_units,1,0.9758462396178433,0.9851727899406385,0.9879228401975797,0.9785274579915533,0.9932550933033157,0.9624146746628939,0.9679187979400559,0.9991954916182549,1.0063912890258875,1.009244498944923,0.9958311180123305,68,0,0.005230522002525691,0.0032731905111381236,0.004683298601656948,0.016687337130715966,0.0028974863933838185,0.010565442212154469,0.008775327516397587,3.990811286964909e-4,0.0015964902516387282,0.0024683670654941986,0.002875607247391945,0,10
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,species_units,1,0.9698656613864134,0.96948279273518,0.968499358327356,0.9550109477408368,0.9829878143136113,0.9229761483423294,0.9335415643898909,0.9974404026978507,1.0083196398137624,1.0119337503501893,0.9889287609217855,68,0,0.004202227835505989,0.00636707631212446,0.008408237862019182,0.02987130512181234,0.004547838709529174,0.01128007838376036,0.009603667578518006,0.0017069712090846982,0.0029711424071073235,0.0048064343406937935,0.006439276875147315,0,10
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,species_units,1,0.9826883061770241,0.9906841288892688,0.9926839712855291,0.978692076172481,0.9938998806275803,0.96510450977361,0.9701109116561308,0.9989413696612016,1.004305170147231,1.0059779796059478,0.9962280138107722,68,0,0.00343825608030557,0.003163947471280671,0.003772688793898589,0.01809184605144046,0.002467332474533332,0.009960634198305353,0.00852295316690833,7.171960159819986e-4,0.0018863197961098556,0.0029916742361044174,0.001596607524591738,0,10
