scenario_family,scenario,baseline_scenario,unit_type,iter,unit,total_abundance,q0,q1,q2,coverage_zhanghuang,coverage_chao,coverage_turing
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,family_units,1,1030,206,3,1.0890626711638898,1.029650118891639,0.9951925331832465,0.9951925331832465,0.9951456310679612
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,family_units,1,1058,16,3,2.01963929931604,1.6623376623376624,1,1,0.9375
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,family_units,1,1064,36,4,3.41288343796744,2.9589041095890405,1,1,1
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,family_units,1,1090,38,4,3.0721301713703832,2.587813620071684,1,1,1
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,family_units,1,1141,33,5,3.0719552409043125,2.503448275862069,0.9429590017825312,0.9429590017825312,0.9393939393939394
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,family_units,1,1166,21,4,3.2876136806968637,2.9999999999999996,0.9525360346567777,1,0.9523809523809523
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,family_units,1,1174,15,4,2.686271638678713,2.0642201834862384,0.9481481481481482,0.9481481481481482,0.9333333333333333
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,family_units,1,1180,22,3,1.9149427234268241,1.5816993464052287,1,1,0.9545454545454546
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,family_units,1,1237,53,4,2.7777730497567723,2.3906382978723397,1,1,0.9811320754716981
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,family_units,1,1243,27,3,2.4239502440662744,2.100864553314121,1,1,1
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,family_units,1,1274,36,4,2.7426301987762156,2.257839721254355,1,1,0.9722222222222222
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,family_units,1,1310,53,2,1.1743097897720112,1.0783109404990403,1,1,1
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,family_units,1,1366,13,3,2.2945065862214054,1.898876404494382,1,1,1
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,family_units,1,137,19,2,1.2289892094880017,1.1107692307692307,1,1,0.9473684210526316
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,family_units,1,1372,53,6,2.79214556020704,2.2346857597454255,0.9441127298781944,0.9441127298781944,0.9433962264150944
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,family_units,1,1464,23,4,1.9019086091320903,1.44141689373297,0.9168241965973535,0.9168241965973535,0.9130434782608696
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,family_units,1,1477,56,4,1.7345344382651058,1.3876106194690265,0.9655388471177945,0.9655388471177945,0.9642857142857143
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,family_units,1,1491,10,3,2.586409289858933,2.272727272727273,1,1,1
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,family_units,1,152,24,4,2.306877349358597,1.8227848101265822,0.9233333333333333,0.9233333333333333,0.9166666666666666
