scenario_family,scenario,baseline_scenario,unit_type,iter,taxon_unit
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,mixed_RTU_family_resolvable,1,species:cdref:216421
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,mixed_RTU_family_resolvable,1,species:cdref:216426
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,mixed_RTU_family_resolvable,1,species:cdref:28893
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,mixed_RTU_family_resolvable,1,species:cdref:28898
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,mixed_RTU_family_resolvable,1,species:cdref:28902
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,mixed_RTU_family_resolvable,1,species:name_fallback:Bourletiella hortensis
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,mixed_RTU_family_resolvable,1,species:name_fallback:Ceratophysella gibbosa
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,mixed_RTU_family_resolvable,1,species:name_fallback:Folsomides parvulus
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,mixed_RTU_family_resolvable,1,species:name_fallback:Hemisotoma thermophila
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,mixed_RTU_family_resolvable,1,species:name_fallback:Neelus murinus
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,mixed_RTU_family_resolvable,1,species:name_fallback:Proisotomodes debilis
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,mixed_RTU_family_resolvable,1,species:name_fallback:Sminthurides pseudassimilis
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,mixed_RTU_family_resolvable,1,species:name_fallback:Stenaphorura denisi
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,mixed_RTU_family_resolvable,1,species:name_fallback:Willemia intermedia
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,mixed_RTU_family_resolvable,1,species:name_fallback:Xenylla welchi
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,genus:Anurida
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,genus:Arrhopalites
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,genus:Bourletiella
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,genus:Brachystomella
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,genus:Ceratophysella
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,genus:Cyphoderus
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,genus:Desoria
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,genus:Detriturus
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,genus:Deuteraphorura
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,genus:Deuterosminthurus
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,genus:Dicyrtomina
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,genus:Entomobrya
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,genus:Folsomia
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,genus:Folsomides
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,genus:Friesea
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,genus:Hemisotoma
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,genus:Heteromurus
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,genus:Hypogastrura
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,genus:Isotoma
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,genus:Isotomiella
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,genus:Isotomodes
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,genus:Isotomurus
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,genus:Lathriopyga
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,genus:Lepidocyrtus
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,genus:Megalothorax
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,genus:Mesaphorura
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,genus:Metaphorura
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,genus:Neanura
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,genus:Neelus
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,genus:Paratullbergia
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,genus:Parisotoma
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,genus:Proisotoma
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,genus:Proisotomodes
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,genus:Protaphorura
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,genus:Pseudachorutes
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,genus:Pseudosinella
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,genus:Sminthurides
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,genus:Sminthurinus
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,genus:Sminthurus
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,genus:Sphaeridia
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,genus:Stenaphorura
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,genus:Tetracanthella
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,genus:Tomocerina
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,genus:Triacanthella
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,genus:Willemia
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,genus:Xenylla
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,genus:Anurida
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,genus:Arrhopalites
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,genus:Brachystomella
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,genus:Desoria
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,genus:Detriturus
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,genus:Deuteraphorura
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,genus:Deuterosminthurus
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,genus:Entomobrya
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,genus:Folsomia
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,genus:Friesea
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,genus:Isotomurus
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,genus:Mesaphorura
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,genus:Paratullbergia
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,genus:Protaphorura
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,genus:Pseudachorutes
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,genus:Xenylla
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,species:cdref:215800
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,species:cdref:215802
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,species:cdref:215819
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,species:cdref:215824
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,species:cdref:215856
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,species:cdref:215867
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,species:cdref:215868
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,species:cdref:215873
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,species:cdref:215877
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,species:cdref:215889
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,species:cdref:215945
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,species:cdref:216006
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,species:cdref:216107
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,species:cdref:216125
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,species:cdref:216130
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,species:cdref:216150
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,species:cdref:216154
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,species:cdref:216155
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,species:cdref:216181
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,species:cdref:216206
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,species:cdref:216236
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,species:cdref:216246
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,species:cdref:216269
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,species:cdref:216271
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,species:cdref:216289
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,species:cdref:216290
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,species:cdref:216302
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,species:cdref:216313
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,species:cdref:216329
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,species:cdref:216341
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,species:cdref:216346
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,species:cdref:216361
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,species:cdref:216387
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,species:cdref:216395
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,species:cdref:216396
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,species:cdref:216409
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,species:cdref:216421
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,species:cdref:216426
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,species:cdref:28893
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,species:cdref:28898
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,species:cdref:28902
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,species:name_fallback:Bourletiella hortensis
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,species:name_fallback:Ceratophysella gibbosa
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,species:name_fallback:Folsomides parvulus
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,species:name_fallback:Hemisotoma thermophila
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,species:name_fallback:Neelus murinus
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,species:name_fallback:Proisotomodes debilis
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,species:name_fallback:Sminthurides pseudassimilis
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,species:name_fallback:Stenaphorura denisi
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,species:name_fallback:Willemia intermedia
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,species:name_fallback:Xenylla welchi
species_error_strict,species_baseline,species_baseline,species_units,1,species:cdref:215800
species_error_strict,species_baseline,species_baseline,species_units,1,species:cdref:215802
species_error_strict,species_baseline,species_baseline,species_units,1,species:cdref:215819
species_error_strict,species_baseline,species_baseline,species_units,1,species:cdref:215824
species_error_strict,species_baseline,species_baseline,species_units,1,species:cdref:215856
species_error_strict,species_baseline,species_baseline,species_units,1,species:cdref:215867
species_error_strict,species_baseline,species_baseline,species_units,1,species:cdref:215868
species_error_strict,species_baseline,species_baseline,species_units,1,species:cdref:215873
species_error_strict,species_baseline,species_baseline,species_units,1,species:cdref:215877
species_error_strict,species_baseline,species_baseline,species_units,1,species:cdref:215889
species_error_strict,species_baseline,species_baseline,species_units,1,species:cdref:215945
species_error_strict,species_baseline,species_baseline,species_units,1,species:cdref:216006
species_error_strict,species_baseline,species_baseline,species_units,1,species:cdref:216107
species_error_strict,species_baseline,species_baseline,species_units,1,species:cdref:216125
species_error_strict,species_baseline,species_baseline,species_units,1,species:cdref:216130
species_error_strict,species_baseline,species_baseline,species_units,1,species:cdref:216150
species_error_strict,species_baseline,species_baseline,species_units,1,species:cdref:216154
species_error_strict,species_baseline,species_baseline,species_units,1,species:cdref:216155
species_error_strict,species_baseline,species_baseline,species_units,1,species:cdref:216181
species_error_strict,species_baseline,species_baseline,species_units,1,species:cdref:216206
species_error_strict,species_baseline,species_baseline,species_units,1,species:cdref:216236
species_error_strict,species_baseline,species_baseline,species_units,1,species:cdref:216246
species_error_strict,species_baseline,species_baseline,species_units,1,species:cdref:216269
species_error_strict,species_baseline,species_baseline,species_units,1,species:cdref:216271
species_error_strict,species_baseline,species_baseline,species_units,1,species:cdref:216289
species_error_strict,species_baseline,species_baseline,species_units,1,species:cdref:216290
species_error_strict,species_baseline,species_baseline,species_units,1,species:cdref:216302
species_error_strict,species_baseline,species_baseline,species_units,1,species:cdref:216313
species_error_strict,species_baseline,species_baseline,species_units,1,species:cdref:216329
species_error_strict,species_baseline,species_baseline,species_units,1,species:cdref:216341
species_error_strict,species_baseline,species_baseline,species_units,1,species:cdref:216346
species_error_strict,species_baseline,species_baseline,species_units,1,species:cdref:216361
species_error_strict,species_baseline,species_baseline,species_units,1,species:cdref:216387
species_error_strict,species_baseline,species_baseline,species_units,1,species:cdref:216395
species_error_strict,species_baseline,species_baseline,species_units,1,species:cdref:216396
species_error_strict,species_baseline,species_baseline,species_units,1,species:cdref:216409
species_error_strict,species_baseline,species_baseline,species_units,1,species:cdref:216421
species_error_strict,species_baseline,species_baseline,species_units,1,species:cdref:216426
species_error_strict,species_baseline,species_baseline,species_units,1,species:cdref:28893
species_error_strict,species_baseline,species_baseline,species_units,1,species:cdref:28898
species_error_strict,species_baseline,species_baseline,species_units,1,species:cdref:28902
species_error_strict,species_baseline,species_baseline,species_units,1,species:name_fallback:Bourletiella hortensis
species_error_strict,species_baseline,species_baseline,species_units,1,species:name_fallback:Ceratophysella gibbosa
species_error_strict,species_baseline,species_baseline,species_units,1,species:name_fallback:Folsomides parvulus
species_error_strict,species_baseline,species_baseline,species_units,1,species:name_fallback:Hemisotoma thermophila
species_error_strict,species_baseline,species_baseline,species_units,1,species:name_fallback:Neelus murinus
species_error_strict,species_baseline,species_baseline,species_units,1,species:name_fallback:Proisotomodes debilis
species_error_strict,species_baseline,species_baseline,species_units,1,species:name_fallback:Sminthurides pseudassimilis
species_error_strict,species_baseline,species_baseline,species_units,1,species:name_fallback:Stenaphorura denisi
species_error_strict,species_baseline,species_baseline,species_units,1,species:name_fallback:Willemia intermedia
species_error_strict,species_baseline,species_baseline,species_units,1,species:name_fallback:Xenylla welchi
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,1,species:cdref:215800
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,1,species:cdref:215802
