scenario_family,scenario,baseline_scenario,alpha_metric,term,estimate_mean,estimate_sd,p_median,p_prop_lt_005,adj_r2_mean,n_iter,n_valid
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,q0,mos,0.0716403557294472,NA,0.20404802652577653,0,-0.02099819800765501,1,1
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,q0,ph,0.011582049796614546,NA,0.8424507847748823,0,-0.02099819800765501,1,1
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,q0,t360_mean,0.009248682401175209,NA,0.873606287789813,0,-0.02099819800765501,1,1
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,q1,mos,0.050163722517726744,NA,0.32560256440914603,0,-0.010703653423369985,1,1
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,q1,ph,0.015056345867463718,NA,0.7758015750504904,0,-0.010703653423369985,1,1
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,q1,t360_mean,-0.0469482380599569,NA,0.37482909657944385,0,-0.010703653423369985,1,1
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,q2,mos,0.04119507637058283,NA,0.38490178225802607,0,-0.001305659823965133,1,1
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,q2,ph,-0.0031327093756596865,NA,0.9491727074862022,0,-0.001305659823965133,1,1
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,q2,t360_mean,-0.05181145949568255,NA,0.2928430257345309,0,-0.001305659823965133,1,1
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,coverage_chao,mos,0.010245050628597931,NA,0.3668741666966576,0,0.18310732517563932,1,1
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,coverage_chao,ph,-0.006305133748009505,NA,0.5924697542060873,0,0.18310732517563932,1,1
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,coverage_chao,t360_mean,0.04797138051789027,NA,1.2114807680039416e-4,1,0.18310732517563932,1,1
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,q0,mos,0.05896331705849716,NA,0.3120935471547678,0,-0.028030907410777406,1,1
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,q0,ph,0.002455185390417521,NA,0.9675744860572477,0,-0.028030907410777406,1,1
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,q0,t360_mean,0.03707279450992599,NA,0.5390537801391356,0,-0.028030907410777406,1,1
