"","STATION","LAT","LON","kopp"
"1",1030,47.0848050528202,-0.625406540946352,222
"2",1058,47.0870418392033,5.27350873305645,220
"3",1064,47.0487852584465,6.53783195380408,220
"4",1090,46.9826323289556,2.74851568722079,220
"5",1141,46.8204597659373,4.21101505944702,220
"6",1166,46.6834260740623,0.860928957263222,222
"7",1174,46.6928659613774,2.53499704476721,220
"8",1180,46.6825057220501,3.78802433819848,220
"11",1237,46.3506497510169,-1.40321679085194,222
"12",1243,46.3766366548151,-0.172179021232904,222
"13",1274,46.3317772191028,6.28092715602017,220
"15",1310,46.228868438387,5.02443580687463,220
"16",1366,45.9346254946214,-0.567270869874808,222
"31",137,49.7054460263859,3.65039504410087,220
"32",1372,45.9598382118547,0.672536029377586,222
"35",1464,45.6779077470276,2.94301610784092,220
"36",1477,45.6401693491095,5.61003921649128,220
"37",1491,45.5173490694814,0.0710220240044624,222
"38",152,49.5559367282316,0.555290562591357,220
"39",1537,45.3884443655317,0.892398066995418,220
"40",1549,45.3911047765517,3.34517713570663,222
"41",1556,45.3690149100078,4.77475157668675,221
"43",157,49.5671766642783,1.6591608703299,220
"44",1587,45.2538548457955,2.52555216920108,220
"45",1660,44.9526610124959,0.70364058861398,222
"46",1677,44.9465981199809,4.14437731617619,220
"47",1686,44.9048619493119,5.96937133617335,220
"48",1694,44.7733595204167,-0.907607097076179,222
"49",1706,44.8178511311097,1.51554524633862,222
"51",1768,44.6346263421969,5.34894544254264,222
"59",1826,44.3664478290357,0.117461238742218,222
"62",1837,44.3889199310117,2.32434462405189,222
"63",1875,44.2406504349493,1.32315689391354,222
"64",1887,44.2375443985216,3.7226445983764,222
"65",1893,44.2166800911093,4.92701588816509,222
"67",1992,43.8921670756657,6.10461897406734,222
"76",1996,43.8563416618755,6.90327394449335,110
"86",2011,43.7995981085167,0.738134796235499,220
"87",2021,43.8125780995336,2.72179965795729,222
"89",2034,43.7733624323249,5.30087879165883,110
"91",2076,43.6487932757976,4.50250101102574,110
"92",215,49.3740703250416,5.84561377272516,220
"93",2182,43.2099108298878,-0.231911972629328,220
"96",2205,43.1807256825456,5.85371529787471,110
"97",223,49.2362523222868,-0.971023266931689,222
"99",2257,42.9518241882324,2.12771511077881,222
"100",2260,42.949275970459,2.7153799533844,110
"101",2276,42.8033485412598,1.34712195396423,220
"102",2312,42.5280876159668,1.73446702957153,220
"103",288,49.1281765661728,3.85678097784408,220
"104",291,49.1161109411299,4.51525817503008,220
"107",391,48.844838275277,2.33579524769974,222
"115",400,48.8342724406152,4.28350622064533,220
"116",408,48.7932010535351,6.02441183229234,220
"121",423,48.5339381716991,-3.97184170007459,210
"134",476,48.5925618400509,7.53207205813478,220
"145",609,48.1951376535824,-1.9822890094208,222
"148",620,48.2601626337537,0.383482346651963,222
"154",633,48.2742531650272,3.18548869500691,222
"163",644,48.230551833153,5.55313038104552,220
"164",730,47.9484894161672,-0.676113973755391,222
"165",788,47.8193557784935,-0.027466457254098,222
"167",792,47.8334896790882,0.826715632239393,222
"172",805,47.836519711785,3.60554545922775,222
"181",812,47.8106367801133,5.10079251722604,220
"182",870,47.6294797750949,6.37142360891853,220
"183",926,47.4531196404966,7.20806698950873,220
