npar,AIC,BIC,logLik,-2*log(L),Chisq,Df,Pr(>Chisq)
9,436.5927855087812,464.38115252587266,-209.2963927543906,418.5927855087812,NA,NA,NA
14,445.8668448634633,489.0931935567167,-208.93342243173166,417.8668448634633,0.7259406453179054,5,0.9815147146491296
