method,p_med,n_sp
GPD,0.719889209047067,29
Pitfall10,0.8955440901492361,29
Pitfall2,0.4360661994752678,29
Pitfall4,0.6254928469827074,29
Pitfall6,0.7456592227339539,29
Pitfall8,0.8049334213900714,29
