method,p_med,n_sp
GPD,0.6962779050037924,45
Pitfall10,0.8736421553335835,45
Pitfall2,0.3647403809905658,45
Pitfall4,0.5846073191138512,45
Pitfall6,0.6869376153627782,45
Pitfall8,0.7911052273478739,45
