k,chisq,df,p_value
5,10.910874020525274,5,0.05317600658363365
6,6.880905422417284,5,0.22964927566327242
7,5.902145564933795,5,0.31585735279660143
8,4.648766502736695,5,0.46022897290861003
9,6.08889009663209,5,0.29766538665615366
10,7.0200388164552585,5,0.21915425695764976
