k,chisq,df,p_value
5,1.5247389025856415,5,0.9101974163275994
6,0.6061164102622206,5,0.9877214877357259
7,0.546627694843953,5,0.9903163489264113
8,0.6762234429041305,5,0.9842480597697993
9,0.7284323117817917,5,0.9813718776134458
10,0.7362312758147884,5,0.9809212027935211
