delta_alpha_pct,delta_gamma_pct,delta_occupancy_pct,beta_signature,world_id,varied_parameter,factor_label,factor_value,factor_value_label,n_regional_species,n_genera,n_families,difficult_genus_fraction,n_sites,n_observed_species,occupancy_mean,occupancy_precision,mean_abundance,abundance_nb_size,occupancy_abundance_slope,observed_selection_bias,environmental_gradient_strength,regional_observed_ratio_input,mean_species_per_genus_input,mean_genera_per_family_input,occupancy_mean_input,mean_species_per_family_input,replicate_id,scenario,scenario_label,scenario_domain,mechanism,intensity_type,requested_intensity,intensity_label,metric,baseline,target,delta,relative_delta_pct,alpha_q0_spearman,bray_spearman,jaccard_spearman,sorensen_spearman,requested_mean_error,realised_mean_error,candidate_pool,rarity_exponent,difficulty_multiplier,n_eligible_source_species,n_moved_individuals,workflow,realised_unresolved_rate
NA,NA,NA,NA,1,regional_observed_ratio,Regional / observed species ratio,1.5,1.5,120,30,8,0.2,70,80,0.2,6,8,1.5,0.6,0,0,1.5,4,4,0.2,15,1,id_observed_uniform_1pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.01,    1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.006264293526896689,observed,0,1,67,63,species,0
NA,NA,NA,NA,1,regional_observed_ratio,Regional / observed species ratio,1.5,1.5,120,30,8,0.2,70,80,0.2,6,8,1.5,0.6,0,0,1.5,4,4,0.2,15,1,id_regional_uniform_1pct,Regional-pool congeneric error,identification_error,regional_uniform,identification_error_rate,0.01,    1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.009147857213880879,regional,0,1,75,92,species,0
NA,NA,NA,NA,1,regional_observed_ratio,Regional / observed species ratio,1.5,1.5,120,30,8,0.2,70,80,0.2,6,8,1.5,0.6,0,0,1.5,4,4,0.2,15,1,id_observed_rare_weighted_1pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.01,    1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.01034105598090882,observed,0.5,1,67,104,species,0
NA,NA,NA,NA,1,regional_observed_ratio,Regional / observed species ratio,1.5,1.5,120,30,8,0.2,70,80,0.2,6,8,1.5,0.6,0,0,1.5,4,4,0.2,15,1,id_regional_difficult_bias_1pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.01,    1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.009943323058566173,regional,0,4,75,100,species,0
NA,NA,NA,NA,1,regional_observed_ratio,Regional / observed species ratio,1.5,1.5,120,30,8,0.2,70,80,0.2,6,8,1.5,0.6,0,0,1.5,4,4,0.2,15,1,id_observed_uniform_3pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.03,    3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.024361141493487122,observed,0,1,67,245,species,0
NA,NA,NA,NA,1,regional_observed_ratio,Regional / observed species ratio,1.5,1.5,120,30,8,0.2,70,80,0.2,6,8,1.5,0.6,0,0,1.5,4,4,0.2,15,1,id_regional_uniform_3pct,Regional-pool congeneric error,identification_error,regional_uniform,identification_error_rate,0.03,    3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.030824301481555134,regional,0,1,75,310,species,0
NA,NA,NA,NA,1,regional_observed_ratio,Regional / observed species ratio,1.5,1.5,120,30,8,0.2,70,80,0.2,6,8,1.5,0.6,0,0,1.5,4,4,0.2,15,1,id_observed_rare_weighted_3pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.03,    3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.0254549070299294,observed,0.5,1,67,256,species,0
NA,NA,NA,NA,1,regional_observed_ratio,Regional / observed species ratio,1.5,1.5,120,30,8,0.2,70,80,0.2,6,8,1.5,0.6,0,0,1.5,4,4,0.2,15,1,id_regional_difficult_bias_3pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.03,    3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.031321467634483444,regional,0,4,75,315,species,0
NA,NA,NA,NA,1,regional_observed_ratio,Regional / observed species ratio,1.5,1.5,120,30,8,0.2,70,80,0.2,6,8,1.5,0.6,0,0,1.5,4,4,0.2,15,1,id_observed_uniform_5pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.05,    5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.04345232176593417,observed,0,1,67,437,species,0
NA,NA,NA,NA,1,regional_observed_ratio,Regional / observed species ratio,1.5,1.5,120,30,8,0.2,70,80,0.2,6,8,1.5,0.6,0,0,1.5,4,4,0.2,15,1,id_regional_uniform_5pct,Regional-pool congeneric error,identification_error,regional_uniform,identification_error_rate,0.05,    5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.04643531868350403,regional,0,1,75,467,species,0
NA,NA,NA,NA,1,regional_observed_ratio,Regional / observed species ratio,1.5,1.5,120,30,8,0.2,70,80,0.2,6,8,1.5,0.6,0,0,1.5,4,4,0.2,15,1,id_observed_rare_weighted_5pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.05,    5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.0449438202247191,observed,0.5,1,67,452,species,0
NA,NA,NA,NA,1,regional_observed_ratio,Regional / observed species ratio,1.5,1.5,120,30,8,0.2,70,80,0.2,6,8,1.5,0.6,0,0,1.5,4,4,0.2,15,1,id_regional_difficult_bias_5pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.05,    5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.05071094759868748,regional,0,4,75,510,species,0
NA,NA,NA,NA,1,regional_observed_ratio,Regional / observed species ratio,1.5,1.5,120,30,8,0.2,70,80,0.2,6,8,1.5,0.6,0,0,1.5,4,4,0.2,15,1,id_observed_uniform_10pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.1,   10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.08511484538132644,observed,0,1,67,856,species,0
NA,NA,NA,NA,1,regional_observed_ratio,Regional / observed species ratio,1.5,1.5,120,30,8,0.2,70,80,0.2,6,8,1.5,0.6,0,0,1.5,4,4,0.2,15,1,id_regional_uniform_10pct,Regional-pool congeneric error,identification_error,regional_uniform,identification_error_rate,0.1,   10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.09923436412449041,regional,0,1,75,998,species,0
NA,NA,NA,NA,1,regional_observed_ratio,Regional / observed species ratio,1.5,1.5,120,30,8,0.2,70,80,0.2,6,8,1.5,0.6,0,0,1.5,4,4,0.2,15,1,id_observed_rare_weighted_10pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.1,   10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.08531371184249777,observed,0.5,1,67,858,species,0
NA,NA,NA,NA,1,regional_observed_ratio,Regional / observed species ratio,1.5,1.5,120,30,8,0.2,70,80,0.2,6,8,1.5,0.6,0,0,1.5,4,4,0.2,15,1,id_regional_difficult_bias_10pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.1,   10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.09724569951277717,regional,0,4,75,978,species,0
