varied_parameter,factor_label,factor_value,factor_value_label,scenario,scenario_label,scenario_domain,mechanism,intensity_type,requested_intensity,intensity_label,n_replicates,delta_alpha_med,delta_alpha_p10,delta_alpha_p90,delta_gamma_med,delta_gamma_p10,delta_gamma_p90,delta_occupancy_med,delta_occupancy_p10,delta_occupancy_p90,apparent_differentiation_probability,apparent_homogenisation_probability
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_rare_weighted_10pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.1,   10%,5,31.322094055013295,29.58242850181739,35.265631676399366,0,0,0,31.322094055013295,29.582428501817404,35.265631676399366,0,1
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_rare_weighted_1pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.01,    1%,5,5.084745762711877,4.735006640360002,5.354953575633138,0,0,0,5.084745762711856,4.735006640360012,5.354953575633146,0,1
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_rare_weighted_20pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.2,   20%,5,43.63166953528397,42.44323775091527,48.26662868537245,0,0,0,43.63166953528398,42.44323775091528,48.26662868537244,0,1
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_rare_weighted_3pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.03,    3%,5,13.538748832866466,12.66424937040291,14.252457772980543,0,0,0,13.538748832866478,12.664249370402924,14.252457772980542,0,1
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_rare_weighted_5pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.05,    5%,5,19.209039548022613,18.120824023690133,20.73708785655419,0,0,0,19.209039548022588,18.120824023690137,20.73708785655419,0,1
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_uniform_10pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.1,   10%,5,31.72085646312449,30.39458633112752,33.706499548972126,0,0,0,31.720856463124502,30.39458633112753,33.706499548972126,0,1
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_uniform_1pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.01,    1%,5,4.575163398692806,4.216662731132974,5.170769855473512,0,0,0,4.575163398692798,4.2166627311329865,5.170769855473507,0,1
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_uniform_20pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.2,   20%,5,44.720496894409926,43.884603782753075,48.750890186583106,0,0,0,44.720496894409926,43.884603782753096,48.75089018658309,0,1
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_uniform_3pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.03,    3%,5,13.16415543219666,12.415542488181718,14.256015659275747,0,0,0,13.16415543219667,12.415542488181707,14.256015659275754,0,1
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_uniform_5pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.05,    5%,5,20.740103270223752,18.68027726899468,21.78828593584327,0,0,0,20.740103270223745,18.680277268994693,21.78828593584325,0,1
mean_genera_per_family,Mean genera per family,1.5,1.5,id_regional_difficult_bias_10pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.1,   10%,5,64.9859943977591,60.89094112942081,66.89065014362413,151.28205128205127,137.40259740259742,168.7578947368421,-35.64842460219889,-38.32020856009782,-30.7156530893229,1,0
mean_genera_per_family,Mean genera per family,1.5,1.5,id_regional_difficult_bias_1pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.01,    1%,5,8.08950086058519,6.975773793984709,9.241798414280966,53.246753246753244,52.49870129870129,64.68286099865047,-30.140190056317962,-33.90958049691597,-29.01808809471895,1,0
mean_genera_per_family,Mean genera per family,1.5,1.5,id_regional_difficult_bias_20pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.2,   20%,5,107.2639225181598,95.36946471737178,112.34511195782659,163.63636363636363,155.5178155178155,188.14736842105262,-23.903100911207027,-28.43468926842452,-18.443730218346865,1,0
mean_genera_per_family,Mean genera per family,1.5,1.5,id_regional_difficult_bias_3pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.03,    3%,5,23.08313155770783,22.70413476723251,25.458067284884955,103.8961038961039,97.94205794205794,123.8736842105263,-39.909686478732375,-44.374162971852606,-37.72262787429733,1,0
mean_genera_per_family,Mean genera per family,1.5,1.5,id_regional_difficult_bias_5pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.05,    5%,5,37.521514629948356,36.103907618282975,39.04571998290841,126.92307692307692,109.87012987012987,145.6421052631579,-39.397298637649875,-44.02489614477973,-34.165697671111154,1,0
mean_genera_per_family,Mean genera per family,1.5,1.5,id_regional_uniform_10pct,Regional-pool congeneric error,identification_error,regional_uniform,identification_error_rate,0.1,   10%,5,67.39305891848267,63.62341173917375,72.94778781077648,155.84415584415584,138.96769896769896,177.78947368421052,-36.24067596017985,-37.72528734356354,-30.331301000112827,1,0
mean_genera_per_family,Mean genera per family,1.5,1.5,id_regional_uniform_1pct,Regional-pool congeneric error,identification_error,regional_uniform,identification_error_rate,0.01,    1%,5,8.123249299719893,6.75965306753354,9.927839129365722,60.256410256410255,59.74025974025974,74.33684210526316,-33.37717516746936,-37.261675673496924,-31.973221365341125,1,0
mean_genera_per_family,Mean genera per family,1.5,1.5,id_regional_uniform_20pct,Regional-pool congeneric error,identification_error,regional_uniform,identification_error_rate,0.2,   20%,5,111.48459383753499,106.03804591880606,127.59207736152678,172.72727272727272,161.998001998002,194.50526315789472,-21.459752051684994,-24.504153927852123,-19.59594422634177,1,0
mean_genera_per_family,Mean genera per family,1.5,1.5,id_regional_uniform_3pct,Regional-pool congeneric error,identification_error,regional_uniform,identification_error_rate,0.03,    3%,5,23.552735923869925,22.85198907008177,26.17243999048894,119.48051948051948,103.88611388611389,138,-43.706741620485296,-47.240035367206644,-39.36196213066866,1,0
mean_genera_per_family,Mean genera per family,1.5,1.5,id_regional_uniform_5pct,Regional-pool congeneric error,identification_error,regional_uniform,identification_error_rate,0.05,    5%,5,39.40242763772176,36.88788915717246,43.1227347239559,138.96103896103895,125.55444555444555,157.57894736842104,-42.8201392959349,-44.55721770597021,-38.544575865997786,1,0
mean_genera_per_family,Mean genera per family,1.5,1.5,workflow_difficult_genera_to_genus,Difficult genera reported at genus,fixed_workflow,difficult_to_genus,fixed_workflow,NA,fixed,5,-2.307009760425923,-2.8080360181646684,-1.7732876920263316,-7.6923076923076925,-8.643198906356801,-4.197402597402599,5.070281124497987,2.1207622307299796,7.125700980726078,0,0.8
mean_genera_per_family,Mean genera per family,1.5,1.5,workflow_drop_unresolved_10pct,Dropping unresolved records,reporting_workflow,drop_unresolved,unresolved_reporting_rate,0.1,   10%,5,-33.5423197492163,-33.69021041386948,-32.83820072261403,-36.36363636363637,-37.047980482515584,-35.90138674884438,5.27105788423153,3.522903709411795,6.169315829561018,0,1
mean_genera_per_family,Mean genera per family,1.5,1.5,workflow_drop_unresolved_1pct,Dropping unresolved records,reporting_workflow,drop_unresolved,unresolved_reporting_rate,0.01,    1%,5,-8.075040783034257,-8.798163453964964,-7.771951992328652,-30.90909090909091,-31.86306474149977,-28.473888496824276,31.711945063550385,28.57312339243083,34.88077851641189,0,1
mean_genera_per_family,Mean genera per family,1.5,1.5,workflow_drop_unresolved_20pct,Dropping unresolved records,reporting_workflow,drop_unresolved,unresolved_reporting_rate,0.2,   20%,5,-39.93399339933993,-40.84633668110432,-39.45477460472951,-37.6,-38.28455284552845,-36.22612681436211,-4.6619547369172585,-5.423551628558087,-3.1906991009058494,1,0
