scenario,outcome,predictor,n,spearman_rho,spearman_p,predictor_label,abs_rho,screen_label
family_level,delta_occupancy_med,true_mean_occupancy,60,-0.46218393998332885,2.0111815068647187e-4,Realised mean occupancy,0.46218393998332885,Family coarsening: change in mean occupancy
family_level,delta_occupancy_med,n_eligible_source_species,60,0.31214998758326323,0.015180352888263107,Eligible source species,0.31214998758326323,Family coarsening: change in mean occupancy
family_level,delta_occupancy_med,true_gamma,60,0.29859953363883507,0.020480293235898755,True gamma richness,0.29859953363883507,Family coarsening: change in mean occupancy
family_level,delta_occupancy_med,log_mean_species_per_genus,60,0.2922179101190612,0.023476251671614254,Mean species per genus (log10),0.2922179101190612,Family coarsening: change in mean occupancy
family_level,delta_occupancy_med,cv_genera_per_family,60,-0.2663517643789942,0.03967919052262806,CV of genera per family,0.2663517643789942,Family coarsening: change in mean occupancy
family_level,delta_occupancy_med,prop_monotypic_genera,60,-0.21932112915585475,0.0922426388678914,Proportion of monotypic genera,0.21932112915585475,Family coarsening: change in mean occupancy
family_level,delta_occupancy_med,occupancy_precision,60,0.17627118644067802,0.17790143932819316,Occupancy heterogeneity parameter,0.17627118644067802,Family coarsening: change in mean occupancy
family_level,delta_occupancy_med,log_regional_to_observed,60,-0.1368157821617116,0.29723152651225515,Regional / observed species ratio (log10),0.1368157821617116,Family coarsening: change in mean occupancy
family_level,delta_occupancy_med,genera_per_family_concentration,60,-0.12459016393442625,0.34288900457461413,Genera-per-family concentration parameter,0.12459016393442625,Family coarsening: change in mean occupancy
family_level,delta_occupancy_med,true_alpha_q0,60,-0.06223951097527092,0.6366255521424413,True mean local richness,0.06223951097527092,Family coarsening: change in mean occupancy
family_level,delta_occupancy_med,species_per_genus_concentration,60,-0.03767713253681579,0.7750251630025108,Species-per-genus concentration parameter,0.03767713253681579,Family coarsening: change in mean occupancy
family_level,delta_occupancy_med,cv_species_per_genus,60,0.02834908391872193,0.8297556952735182,CV of species per genus,0.02834908391872193,Family coarsening: change in mean occupancy
family_level,delta_occupancy_med,log_n_sites,60,0.018928498119745972,0.8858573781842414,Number of sites (log10),0.018928498119745972,Family coarsening: change in mean occupancy
family_level,delta_occupancy_med,realised_mean_error,60,NA,NA,Realised identification-error rate,NA,Family coarsening: change in mean occupancy
family_level,delta_gamma_med,taxonomic_compression_family,60,-0.9094874894944045,8.896003648087586e-24,Species per family,0.9094874894944045,Family coarsening: change in gamma richness
family_level,delta_gamma_med,n_eligible_source_species,60,-0.7576364282744664,2.433146427040628e-12,Eligible source species,0.7576364282744664,Family coarsening: change in gamma richness
family_level,delta_gamma_med,log_mean_species_per_genus,60,-0.705262743632651,3.151580488274245e-10,Mean species per genus (log10),0.705262743632651,Family coarsening: change in gamma richness
family_level,delta_gamma_med,log_mean_genera_per_family,60,-0.6677318069410099,5.62342388640071e-9,Mean genera per family (log10),0.6677318069410099,Family coarsening: change in gamma richness
family_level,delta_gamma_med,true_gamma,60,-0.6365126785661114,4.5955170228983073e-8,True gamma richness,0.6365126785661114,Family coarsening: change in gamma richness
family_level,delta_gamma_med,prop_monotypic_genera,60,0.6215576996286335,1.1589395044780968e-7,Proportion of monotypic genera,0.6215576996286335,Family coarsening: change in gamma richness
family_level,delta_gamma_med,true_alpha_q0,60,-0.5158726851384917,2.458893269578986e-5,True mean local richness,0.5158726851384917,Family coarsening: change in gamma richness
family_level,delta_gamma_med,occupancy_precision,60,-0.2722460717972069,0.03534568094442515,Occupancy heterogeneity parameter,0.2722460717972069,Family coarsening: change in gamma richness
family_level,delta_gamma_med,true_mean_occupancy,60,-0.19908584450163166,0.12726332683886368,Realised mean occupancy,0.19908584450163166,Family coarsening: change in gamma richness
family_level,delta_gamma_med,occupancy_mean,60,-0.1966962586499722,0.13198755822387437,Input mean occupancy,0.1966962586499722,Family coarsening: change in gamma richness
family_level,delta_gamma_med,log_regional_to_observed,60,0.153572569792117,0.2413941436374822,Regional / observed species ratio (log10),0.153572569792117,Family coarsening: change in gamma richness
family_level,delta_gamma_med,genera_per_family_concentration,60,-0.13506717238275387,0.30350705619604434,Genera-per-family concentration parameter,0.13506717238275387,Family coarsening: change in gamma richness
family_level,delta_gamma_med,cv_species_per_genus,60,-0.12284773701896817,0.34973391471142434,CV of species per genus,0.12284773701896817,Family coarsening: change in gamma richness
family_level,delta_gamma_med,species_per_genus_concentration,60,0.024868364386456433,0.8504012525039902,Species-per-genus concentration parameter,0.024868364386456433,Family coarsening: change in gamma richness
family_level,delta_gamma_med,cv_genera_per_family,60,0.01833868211738687,0.8893914510286767,CV of genera per family,0.01833868211738687,Family coarsening: change in gamma richness
family_level,delta_gamma_med,log_n_sites,60,-0.00979792699803714,0.9407719554691205,Number of sites (log10),0.00979792699803714,Family coarsening: change in gamma richness
family_level,delta_gamma_med,realised_mean_error,60,NA,NA,Realised identification-error rate,NA,Family coarsening: change in gamma richness
