varied_parameter,factor_label,factor_value,factor_value_label,scenario,scenario_label,scenario_domain,mechanism,intensity_type,requested_intensity,intensity_label,metric,n_replicates,relative_delta_med,relative_delta_p10,relative_delta_p90
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_rare_weighted_20pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.2,   20%,mean_occupancy,5,43.63166953528398,42.44323775091528,48.26662868537244
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_rare_weighted_20pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.2,   20%,mean_sorensen,5,-11.093333272520946,-11.534014390112322,-9.767585053936294
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_rare_weighted_3pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.03,    3%,alpha_q0,5,13.538748832866466,12.66424937040291,14.252457772980543
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_rare_weighted_3pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.03,    3%,alpha_q1,5,5.582995816305328,5.470050229166581,6.070269248273933
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_rare_weighted_3pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.03,    3%,alpha_q2,5,3.138460049129038,2.8953896007216935,3.3537922362185606
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_rare_weighted_3pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.03,    3%,gamma,5,0,0,0
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_rare_weighted_3pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.03,    3%,mean_bray_curtis,5,-0.5904319162737008,-0.6365347339547205,-0.5013267106995518
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_rare_weighted_3pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.03,    3%,mean_jaccard,5,-0.9226448444067252,-1.2286910158097841,-0.8946669335857699
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_rare_weighted_3pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.03,    3%,mean_occupancy,5,13.538748832866478,12.664249370402924,14.252457772980542
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_rare_weighted_3pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.03,    3%,mean_sorensen,5,-1.5799522298370994,-2.074041698646627,-1.5428459151586464
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_rare_weighted_5pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.05,    5%,alpha_q0,5,19.209039548022613,18.120824023690133,20.73708785655419
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_rare_weighted_5pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.05,    5%,alpha_q1,5,9.192752860267724,8.417858323414718,9.896031243001572
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_rare_weighted_5pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.05,    5%,alpha_q2,5,5.435174545161707,4.959614488240154,5.86271383876937
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_rare_weighted_5pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.05,    5%,gamma,5,0,0,0
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_rare_weighted_5pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.05,    5%,mean_bray_curtis,5,-0.9352028986656014,-1.018494453725547,-0.7946975652458068
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_rare_weighted_5pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.05,    5%,mean_jaccard,5,-1.6993226804040573,-1.9485619419070888,-1.5541491385482435
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_rare_weighted_5pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.05,    5%,mean_occupancy,5,19.209039548022588,18.120824023690137,20.73708785655419
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_rare_weighted_5pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.05,    5%,mean_sorensen,5,-2.74793143202894,-3.232181761589836,-2.631152416510206
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_uniform_10pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.1,   10%,alpha_q0,5,31.72085646312449,30.39458633112752,33.706499548972126
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_uniform_10pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.1,   10%,alpha_q1,5,18.13416316130941,17.191874474718134,19.56352385743242
